# BUSCO version is: 5.4.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
395147at33208	Complete	Avas.s002.g201.i1	321.7	271
395183at33208	Complete	Avas.s022.g442.i1	250.9	173
395556at33208	Complete	Avas.s010.g434.i1	220.4	236
395919at33208	Complete	Avas.s001.g857.i1	246.8	256
395948at33208	Complete	Avas.s016.g521.i1	86.9	232
396237at33208	Complete	Avas.s009.g528.i1	301.2	270
397019at33208	Complete	Avas.s005.g919.i1	395.0	290
397659at33208	Complete	Avas.s004.g74.i1	79.2	237
398013at33208	Complete	Avas.s005.g249.i1	445.9	278
398202at33208	Complete	Avas.s021.g251.i1	143.8	244
398607at33208	Complete	Avas.s017.g416.i1	278.4	219
399092at33208	Complete	Avas.s001.g2122.i1	213.1	183
399439at33208	Missing
400042at33208	Complete	Avas.s006.g1046.i1	192.3	268
401196at33208	Fragmented	Avas.s027.g47.i1	55.8	85
401220at33208	Complete	Avas.s011.g589.i1	343.7	314
401679at33208	Complete	Avas.s001.g786.i1	61.5	76
401779at33208	Complete	Avas.s001.g1164.i1	325.7	256
403171at33208	Complete	Avas.s005.g912.i1	173.9	275
403817at33208	Complete	Avas.s003.g1056.i1	28.9	93
404988at33208	Complete	Avas.s017.g5.i1	258.8	310
405257at33208	Complete	Avas.s021.g531.i1	330.8	364
406927at33208	Complete	Avas.s011.g161.i1	106.2	159
407472at33208	Complete	Avas.s001.g1431.i1	381.2	350
409006at33208	Complete	Avas.s005.g317.i1	272.5	290
409186at33208	Complete	Avas.s003.g328.i1	404.6	458
411515at33208	Complete	Avas.s010.g33.i1	296.3	257
411664at33208	Fragmented	Avas.s021.g153.i1	22.0	70
411755at33208	Complete	Avas.s004.g132.i1	260.2	364
412370at33208	Missing
412542at33208	Complete	Avas.s001.g1150.i1	316.8	222
412930at33208	Missing
413334at33208	Complete	Avas.s018.g64.i1	225.9	281
414001at33208	Complete	Avas.s001.g1058.i1	358.0	274
414571at33208	Complete	Avas.s026.g16.i1	311.3	239
414579at33208	Complete	Avas.s020.g137.i1	290.7	239
414603at33208	Missing
415618at33208	Complete	Avas.s008.g458.i1	197.2	200
416175at33208	Complete	Avas.s007.g742.i1	289.4	262
418979at33208	Complete	Avas.s011.g611.i1	124.7	125
419502at33208	Complete	Avas.s021.g78.i1	286.7	208
419914at33208	Complete	Avas.s005.g645.i1	246.1	323
421396at33208	Complete	Avas.s004.g682.i1	330.7	237
421685at33208	Fragmented	Avas.s014.g98.i1	102.2	153
421732at33208	Complete	Avas.s022.g313.i1	114.4	272
422158at33208	Complete	Avas.s006.g1090.i1	331.8	296
422751at33208	Complete	Avas.s005.g1116.i1	395.4	333
423799at33208	Complete	Avas.s007.g296.i1	147.6	198
423848at33208	Missing
424392at33208	Complete	Avas.s008.g80.i1	335.4	230
424569at33208	Duplicated	Avas.s010.g303.i1	219.5	158
424569at33208	Duplicated	Avas.s002.g248.i1	194.7	159
424646at33208	Fragmented	Avas.s010.g538.i1	79.4	128
427349at33208	Complete	Avas.s016.g15.i1	363.6	242
427789at33208	Complete	Avas.s005.g817.i1	394.2	396
428202at33208	Complete	Avas.s022.g152.i1	450.7	353
428754at33208	Complete	Avas.s003.g1011.i1	214.8	335
429011at33208	Complete	Avas.s002.g300.i1	148.9	167
429274at33208	Complete	Avas.s001.g1394.i1	200.9	209
429751at33208	Complete	Avas.s008.g107.i1	166.4	438
430701at33208	Missing
432050at33208	Complete	Avas.s003.g967.i1	323.4	242
432155at33208	Complete	Avas.s001.g1941.i1	176.8	158
432287at33208	Missing
432522at33208	Missing
433216at33208	Complete	Avas.s005.g1019.i1	331.8	249
433606at33208	Missing
434068at33208	Complete	Avas.s008.g326.i1	386.5	356
434863at33208	Complete	Avas.s011.g695.i1	200.0	238
435253at33208	Missing
435678at33208	Complete	Avas.s018.g126.i1	255.1	340
435921at33208	Complete	Avas.s005.g605.i1	125.8	107
435939at33208	Missing
436007at33208	Complete	Avas.s008.g848.i1	575.8	408
436098at33208	Missing
436539at33208	Missing
437653at33208	Complete	Avas.s009.g677.i1	122.9	135
438133at33208	Complete	Avas.s008.g902.i1	472.9	301
438433at33208	Complete	Avas.s020.g553.i1	311.9	202
438453at33208	Complete	Avas.s021.g329.i1	378.8	240
439736at33208	Missing
440195at33208	Missing
440493at33208	Complete	Avas.s001.g1786.i1	198.0	238
441575at33208	Complete	Avas.s008.g302.i1	448.8	630
442169at33208	Missing
442203at33208	Complete	Avas.s021.g58.i1	385.5	346
442823at33208	Complete	Avas.s020.g469.i1	230.9	302
443305at33208	Complete	Avas.s014.g327.i1	187.9	370
443518at33208	Complete	Avas.s001.g1077.i1	326.4	241
443659at33208	Complete	Avas.s013.g88.i1	100.8	123
443928at33208	Complete	Avas.s011.g557.i1	372.3	288
444160at33208	Complete	Avas.s018.g96.i1	270.7	197
444231at33208	Complete	Avas.s008.g690.i1	85.8	122
445031at33208	Complete	Avas.s009.g708.i1	248.5	309
445034at33208	Complete	Avas.s004.g389.i1	317.8	315
445091at33208	Complete	Avas.s004.g674.i1	44.3	184
446000at33208	Complete	Avas.s002.g196.i1	259.2	256
446031at33208	Duplicated	Avas.s001.g1824.i1	303.4	241
446031at33208	Duplicated	Avas.s001.g1823.i1	277.2	241
447320at33208	Missing
447400at33208	Complete	Avas.s014.g195.i1	99.3	149
448196at33208	Complete	Avas.s009.g367.i2	355.8	219
448514at33208	Missing
449056at33208	Missing
449139at33208	Complete	Avas.s018.g73.i1	371.6	316
449189at33208	Complete	Avas.s001.g1099.i1	237.3	341
450643at33208	Missing
450785at33208	Complete	Avas.s022.g537.i1	115.4	101
451242at33208	Complete	Avas.s001.g941.i1	151.9	200
451957at33208	Complete	Avas.s022.g74.i1	396.8	263
452208at33208	Complete	Avas.s008.g599.i1	194.7	173
452499at33208	Missing
452574at33208	Complete	Avas.s022.g177.i1	403.9	340
453049at33208	Missing
453052at33208	Complete	Avas.s005.g560.i1	327.2	321
453056at33208	Complete	Avas.s021.g515.i1	350.3	367
453687at33208	Complete	Avas.s005.g1071.i1	343.7	283
454911at33208	Complete	Avas.s010.g495.i1	328.1	637
455512at33208	Complete	Avas.s022.g220.i1	192.2	181
455941at33208	Complete	Avas.s008.g674.i1	170.4	233
456998at33208	Complete	Avas.s001.g1420.i1	174.7	224
457777at33208	Complete	Avas.s007.g542.i1	325.3	304
458807at33208	Complete	Avas.s010.g558.i1	263.8	259
458974at33208	Complete	Avas.s003.g622.i1	101.9	131
458988at33208	Complete	Avas.s022.g211.i1	278.0	432
459253at33208	Missing
460044at33208	Complete	Avas.s001.g962.i1	322.2	293
460518at33208	Complete	Avas.s005.g1127.i1	393.2	281
461123at33208	Complete	Avas.s001.g1893.i1	168.0	217
461193at33208	Complete	Avas.s023.g111.i1	148.4	190
462325at33208	Complete	Avas.s021.g108.i1	280.4	272
462897at33208	Complete	Avas.s008.g624.i1	367.9	328
463071at33208	Complete	Avas.s007.g808.i1	190.1	234
464204at33208	Complete	Avas.s001.g1484.i1	303.4	279
464243at33208	Missing
464286at33208	Complete	Avas.s005.g647.i1	171.0	325
464312at33208	Complete	Avas.s008.g22.i1	211.9	310
464987at33208	Complete	Avas.s014.g155.i1	201.9	165
465092at33208	Complete	Avas.s015.g140.i1	284.0	219
465401at33208	Complete	Avas.s014.g144.i1	239.5	203
465512at33208	Complete	Avas.s021.g265.i1	383.0	780
465651at33208	Complete	Avas.s008.g901.i1	103.7	128
465703at33208	Missing
465933at33208	Complete	Avas.s003.g403.i1	289.7	222
466616at33208	Complete	Avas.s007.g838.i1	411.8	536
466942at33208	Complete	Avas.s006.g464.i1	120.5	194
467106at33208	Complete	Avas.s022.g24.i1	287.9	254
467142at33208	Missing
467744at33208	Complete	Avas.s010.g570.i1	167.1	260
468248at33208	Complete	Avas.s006.g443.i1	329.4	263
468359at33208	Missing
468631at33208	Complete	Avas.s014.g656.i1	119.7	161
468710at33208	Complete	Avas.s014.g544.i1	71.8	156
468757at33208	Complete	Avas.s012.g439.i1	345.7	269
469367at33208	Complete	Avas.s001.g2099.i1	250.7	287
470197at33208	Missing
470523at33208	Complete	Avas.s001.g1534.i1	210.8	194
471608at33208	Complete	Avas.s001.g1389.i1	285.2	214
471787at33208	Complete	Avas.s008.g560.i1	343.8	328
472313at33208	Complete	Avas.s017.g348.i1	300.0	257
472352at33208	Complete	Avas.s013.g355.i1	173.8	250
473106at33208	Complete	Avas.s001.g2005.i1	401.3	289
474144at33208	Complete	Avas.s006.g276.i1	202.2	232
474302at33208	Complete	Avas.s003.g1028.i1	177.0	243
474387at33208	Complete	Avas.s003.g415.i1	263.2	294
475826at33208	Complete	Avas.s004.g367.i1	88.9	169
476036at33208	Fragmented	Avas.s009.g524.i1	202.9	156
477052at33208	Missing
477939at33208	Complete	Avas.s005.g469.i1	242.9	296
477998at33208	Complete	Avas.s008.g86.i1	101.9	310
478073at33208	Complete	Avas.s005.g387.i1	365.1	226
478984at33208	Complete	Avas.s016.g312.i1	267.1	239
480700at33208	Complete	Avas.s009.g414.i1	141.8	155
480735at33208	Complete	Avas.s007.g262.i1	243.9	236
481557at33208	Complete	Avas.s004.g179.i1	125.1	246
482691at33208	Complete	Avas.s016.g64.i1	350.3	240
483489at33208	Complete	Avas.s021.g323.i1	245.6	278
485003at33208	Complete	Avas.s013.g432.i1	195.5	202
485696at33208	Complete	Avas.s003.g565.i1	115.6	222
486370at33208	Complete	Avas.s008.g634.i1	213.9	245
486431at33208	Complete	Avas.s008.g225.i1	199.9	379
486743at33208	Complete	Avas.s022.g260.i1	63.3	130
486993at33208	Complete	Avas.s004.g640.i1	265.5	247
487873at33208	Complete	Avas.s018.g107.i1	57.2	112
487987at33208	Complete	Avas.s011.g64.i1	145.6	147
488559at33208	Complete	Avas.s020.g353.i1	99.7	132
488635at33208	Complete	Avas.s005.g883.i1	208.8	239
489359at33208	Complete	Avas.s022.g511.i1	108.5	204
489858at33208	Complete	Avas.s005.g748.i1	122.9	146
489997at33208	Complete	Avas.s004.g190.i1	238.3	297
490248at33208	Complete	Avas.s006.g151.i1	181.5	167
490961at33208	Missing
491252at33208	Complete	Avas.s010.g502.i1	174.2	178
491289at33208	Complete	Avas.s014.g637.i1	247.7	242
492033at33208	Complete	Avas.s001.g1808.i1	245.5	164
493148at33208	Complete	Avas.s009.g142.i1	91.7	172
493505at33208	Missing
493913at33208	Complete	Avas.s006.g322.i1	361.9	381
494057at33208	Complete	Avas.s006.g565.i1	138.3	170
495100at33208	Complete	Avas.s001.g1125.i1	351.4	215
