Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_261	29	269695	9265
ONT_TR_PE_scaff_264	139	1309309	9357
ONT_TR_PE_scaff_265	40	355064	8689
ONT_TR_PE_scaff_266	28	273192	9517
ONT_TR_PE_scaff_269	34	334147	9729
ONT_TR_PE_scaff_271	40	400692	9802
ONT_TR_PE_scaff_278	29	312050	10518
ONT_TR_PE_scaff_280	29	310438	10654
ONT_TR_PE_scaff_282	28	305122	10693
ONT_TR_PE_scaff_283	139	1398105	9987
ONT_TR_PE_scaff_284	21	206046	9435
ONT_TR_PE_scaff_285	58	635944	10793
ONT_TR_PE_scaff_287	28	313103	10924
ONT_TR_PE_scaff_289	84	931007	11050
ONT_TR_PE_scaff_290	56	627205	11092
ONT_TR_PE_scaff_293	25	281523	10916
ONT_TR_PE_scaff_300	63	741388	11669
ONT_TR_PE_scaff_301	67	749096	11106
ONT_TR_PE_scaff_302	32	381160	11861
ONT_TR_PE_scaff_304	121	1205664	9946
ONT_TR_PE_scaff_305	62	748983	12023
ONT_TR_PE_scaff_306	75	893934	11888
ONT_TR_PE_scaff_307	29	358381	12063
ONT_TR_PE_scaff_308	57	692343	12064
ONT_TR_PE_scaff_309	23	263984	11050
ONT_TR_PE_scaff_311	53	643284	12123
ONT_TR_PE_scaff_314	52	650713	12481
ONT_TR_PE_scaff_318	49	624602	12611
ONT_TR_PE_scaff_320	73	952550	13017
ONT_TR_PE_scaff_321	84	1108573	13099
ONT_TR_PE_scaff_323	53	704097	13080
ONT_TR_PE_scaff_326	58	807088	13711
ONT_TR_PE_scaff_332	33	487630	14444
ONT_TR_PE_scaff_333	39	558736	14066
ONT_TR_PE_scaff_337	60	888684	14775
ONT_TR_PE_scaff_338	31	460870	14858
ONT_TR_PE_scaff_340	27	407477	15089
ONT_TR_PE_scaff_341	57	714559	12389
ONT_TR_PE_scaff_342	61	852954	13955
ONT_TR_PE_scaff_343	73	1056493	14471
ONT_TR_PE_scaff_344	149	2290717	15338
ONT_TR_PE_scaff_348	33	539343	16038
ONT_TR_PE_scaff_349	27	414762	15359
ONT_TR_PE_scaff_350	34	560297	16467
ONT_TR_PE_scaff_351	31	520738	16784
ONT_TR_PE_scaff_352	71	1199192	16848
ONT_TR_PE_scaff_353	25	418508	16372
ONT_TR_PE_scaff_354	30	503200	16646
ONT_TR_PE_scaff_356	65	1126020	17261
ONT_TR_PE_scaff_357	49	845778	17179
ONT_TR_PE_scaff_358	39	714107	17900
ONT_TR_PE_scaff_359	46	813782	17620
ONT_TR_PE_scaff_360	36	668296	18380
ONT_TR_PE_scaff_361	53	970840	18302
ONT_TR_PE_scaff_362	49	918044	18637
ONT_TR_PE_scaff_368	136	2626781	19189
ONT_TR_PE_scaff_373	302	5468025	18097
ONT_TR_PE_scaff_380	34	720855	20649
ONT_TR_PE_scaff_383	58	1259108	21380
ONT_TR_PE_scaff_384	29	643581	21542
ONT_TR_PE_scaff_385	45	976462	21518
ONT_TR_PE_scaff_386	50	740109	14790
ONT_TR_PE_scaff_387	31	694796	21980
ONT_TR_PE_scaff_391	42	994978	23542
ONT_TR_PE_scaff_393	31	756821	24028
ONT_TR_PE_scaff_395	58	1427648	24423
ONT_TR_PE_scaff_398	34	658357	18956
ONT_TR_PE_scaff_402	32	883381	26830
ONT_TR_PE_scaff_405	98	2668859	27216
ONT_TR_PE_scaff_406	57	1603443	27972
ONT_TR_PE_scaff_409	37	1056823	28448
ONT_TR_PE_scaff_411	37	1076306	28745
ONT_TR_PE_scaff_414	70	2054579	29199
ONT_TR_PE_scaff_419	28	842043	29797
ONT_TR_PE_scaff_422	30	946994	30974
ONT_TR_PE_scaff_423	30	920265	30534
ONT_TR_PE_scaff_424	55	1667599	30289
ONT_TR_PE_scaff_426	37	1182535	31710
ONT_TR_PE_scaff_428	29	940097	31468
ONT_TR_PE_scaff_429	54	1778572	32840
ONT_TR_PE_scaff_430	40	1222482	30436
ONT_TR_PE_scaff_431	106	3547444	33279
ONT_TR_PE_scaff_432	136	4548216	33239
ONT_TR_PE_scaff_434	85	2928835	34456
ONT_TR_PE_scaff_435	55	1862091	33852
ONT_TR_PE_scaff_448	26	986038	37764
ONT_TR_PE_scaff_449	68	2592181	37738
ONT_TR_PE_scaff_450	75	2905128	38329
ONT_TR_PE_scaff_457	142	5867138	41180
ONT_TR_PE_scaff_458	106	2349990	22078
ONT_TR_PE_scaff_464	29	1275363	43452
ONT_TR_PE_scaff_465	53	1647408	30741
ONT_TR_PE_scaff_467	66	1413012	21333
ONT_TR_PE_scaff_470	74	3414880	45995
ONT_TR_PE_scaff_471	46	2109533	45413
ONT_TR_PE_scaff_472	61	1342098	21920
ONT_TR_PE_scaff_474	68	3278317	47941
ONT_TR_PE_scaff_475	34	697068	19978
ONT_TR_PE_scaff_476	90	4383327	48444
ONT_TR_PE_scaff_477	87	2100986	24031
ONT_TR_PE_scaff_478	43	1961638	44805
ONT_TR_PE_scaff_480	49	2459727	49438
ONT_TR_PE_scaff_481	27	1336241	48014
ONT_TR_PE_scaff_482	55	2737222	49707
ONT_TR_PE_scaff_483	33	1649735	49142
ONT_TR_PE_scaff_484	105	5375720	50785
ONT_TR_PE_scaff_485	30	1549123	50869
ONT_TR_PE_scaff_488	37	1620020	43368
ONT_TR_PE_scaff_490	57	3018816	52622
ONT_TR_PE_scaff_491	66	3499308	52569
ONT_TR_PE_scaff_492	66	3425043	51650
ONT_TR_PE_scaff_493	46	2467826	53255
ONT_TR_PE_scaff_494	298	15206832	50935
ONT_TR_PE_scaff_495	33	995394	29638
ONT_TR_PE_scaff_496	52	2964299	56289
ONT_TR_PE_scaff_498	36	964053	26649
ONT_TR_PE_scaff_499	71	4091384	56921
ONT_TR_PE_scaff_501	29	409669	13748
ONT_TR_PE_scaff_502	53	3087786	57835
ONT_TR_PE_scaff_504	98	5763951	58634
ONT_TR_PE_scaff_505	34	2113271	60634
ONT_TR_PE_scaff_506	66	4093459	61346
ONT_TR_PE_scaff_507	110	6813239	61734
ONT_TR_PE_scaff_511	102	5721028	55913
ONT_TR_PE_scaff_512	83	5542929	66228
ONT_TR_PE_scaff_513	45	2976063	65938
ONT_TR_PE_scaff_514	302	19573314	64751
ONT_TR_PE_scaff_516	74	5154293	68952
ONT_TR_PE_scaff_518	60	4295684	70660
ONT_TR_PE_scaff_519	56	3939789	70254
ONT_TR_PE_scaff_520	31	1368021	43358
ONT_TR_PE_scaff_521	111	8022638	71730
ONT_TR_PE_scaff_522	9	635468	68641
ONT_TR_PE_scaff_523	45	3347048	72871
ONT_TR_PE_scaff_524	67	4909572	72896
ONT_TR_PE_scaff_525	90	6069977	67324
ONT_TR_PE_scaff_527	62	4676025	74242
ONT_TR_PE_scaff_528	59	4455412	74990
ONT_TR_PE_scaff_529	46	3315074	71091
ONT_TR_PE_scaff_530	105	7962196	75428
ONT_TR_PE_scaff_532	129	9926202	76490
ONT_TR_PE_scaff_533	32	2501345	76312
ONT_TR_PE_scaff_541	90	4717356	52130
ONT_TR_PE_scaff_542	46	3936963	83935
ONT_TR_PE_scaff_543	40	1497410	37219
ONT_TR_PE_scaff_545	115	9914239	85872
ONT_TR_PE_scaff_546	107	9433532	87942
ONT_TR_PE_scaff_547	104	9163475	87512
ONT_TR_PE_scaff_548	28	1302388	46179
ONT_TR_PE_scaff_549	104	9384351	90144
ONT_TR_PE_scaff_550	103	9401750	90519
ONT_TR_PE_scaff_551	93	8306221	88502
ONT_TR_PE_scaff_552	52	4876627	92574
ONT_TR_PE_scaff_553	93	6088302	64797
ONT_TR_PE_scaff_556	101	9733359	95932
ONT_TR_PE_scaff_557	33	1665442	49675
ONT_TR_PE_scaff_558	87	8650224	98813
ONT_TR_PE_scaff_559	53	5398430	100895
ONT_TR_PE_scaff_560	31	3202369	100635
ONT_TR_PE_scaff_561	38	3838976	100787
ONT_TR_PE_scaff_562	33	3511020	103635
ONT_TR_PE_scaff_563	103	7167269	69549
ONT_TR_PE_scaff_564	104	9568749	91829
ONT_TR_PE_scaff_565	53	5742312	106596
ONT_TR_PE_scaff_566	77	8317330	107871
ONT_TR_PE_scaff_567	87	8238804	93656
ONT_TR_PE_scaff_568	161	17527111	108422
ONT_TR_PE_scaff_569	65	7449878	112891
ONT_TR_PE_scaff_570	106	12249055	114747
ONT_TR_PE_scaff_571	68	4996680	72712
ONT_TR_PE_scaff_572	85	8703518	101514
ONT_TR_PE_scaff_573	81	9446649	116594
ONT_TR_PE_scaff_574	52	6256922	118996
ONT_TR_PE_scaff_575	40	4911865	121437
ONT_TR_PE_scaff_576	51	5159469	99707
ONT_TR_PE_scaff_577	161	19504254	120614
ONT_TR_PE_scaff_578	43	4784147	111096
ONT_TR_PE_scaff_579	60	5491524	90984
ONT_TR_PE_scaff_580	89	10661611	119328
ONT_TR_PE_scaff_581	100	12063245	120473
ONT_TR_PE_scaff_582	31	1848933	58852
ONT_TR_PE_scaff_583	41	5294819	128091
ONT_TR_PE_scaff_584	71	9289888	130309
ONT_TR_PE_scaff_585	96	8632259	89449
ONT_TR_PE_scaff_586	79	10461986	131167
ONT_TR_PE_scaff_587	98	12844544	130982
ONT_TR_PE_scaff_588	144	18966510	131518
ONT_TR_PE_scaff_589	40	2193506	54641
ONT_TR_PE_scaff_590	71	3584322	50418
ONT_TR_PE_scaff_591	156	16861306	108006
ONT_TR_PE_scaff_592	90	12023112	132864
ONT_TR_PE_scaff_593	103	12036981	115961
ONT_TR_PE_scaff_594	36	4886673	135557
ONT_TR_PE_scaff_595	112	15709449	139364
ONT_TR_PE_scaff_596	107	11739167	109000
ONT_TR_PE_scaff_597	99	8452690	84949
ONT_TR_PE_scaff_598	58	8415982	145054
ONT_TR_PE_scaff_599	112	5556178	49335
ONT_TR_PE_scaff_600	72	10686354	148376
ONT_TR_PE_scaff_601	84	12730925	149862
ONT_TR_PE_scaff_603	62	9365063	150609
ONT_TR_PE_scaff_604	101	10351751	101661
ONT_TR_PE_scaff_605	111	17069211	152917
ONT_TR_PE_scaff_606	104	15938972	152509
ONT_TR_PE_scaff_607	107	16364627	152793
ONT_TR_PE_scaff_608	92	11891746	127877
ONT_TR_PE_scaff_609	103	10569054	102388
ONT_TR_PE_scaff_610	102	13731265	133800
ONT_TR_PE_scaff_611	105	12278110	116552
ONT_TR_PE_scaff_612	81	6267610	76961
ONT_TR_PE_scaff_613	93	15537237	166072
ONT_TR_PE_scaff_614	88	16211202	183635
ONT_TR_PE_scaff_615	123	20890722	169692
ONT_TR_PE_scaff_616	79	15718174	196905
ONT_TR_PE_scaff_617	93	18622144	198622
ONT_TR_PE_scaff_619	97	20072862	205271
ONT_TR_PE_scaff_620	83	13250887	159158
ONT_TR_PE_scaff_621	104	21349092	204511
ONT_TR_PE_scaff_622	42	8917008	208475
ONT_TR_PE_scaff_623	101	21161001	209076
ONT_TR_PE_scaff_624	83	17843338	213567
ONT_TR_PE_scaff_625	70	14354649	202725
ONT_TR_PE_scaff_626	59	13280432	223668
ONT_TR_PE_scaff_627	107	19837569	184792
ONT_TR_PE_scaff_628	73	16478622	223482
ONT_TR_PE_scaff_629	48	9970724	206220
ONT_TR_PE_scaff_630	104	23816591	228226
ONT_TR_PE_scaff_631	114	26651959	231866
ONT_TR_PE_scaff_632	90	21151244	234586
ONT_TR_PE_scaff_633	86	19762747	227763
ONT_TR_PE_scaff_634	107	25665671	237805
ONT_TR_PE_scaff_635	106	25078373	235443
ONT_TR_PE_scaff_636	93	17611151	187639
ONT_TR_PE_scaff_637	110	27272588	246192
ONT_TR_PE_scaff_638	101	27248439	269649
ONT_TR_PE_scaff_639	105	28746434	272687
ONT_TR_PE_scaff_640	102	26734210	261859
ONT_TR_PE_scaff_641	95	18644417	195972
ONT_TR_PE_scaff_642	105	23916614	227005
ONT_TR_PE_scaff_643	42	5352983	124959
ONT_TR_PE_scaff_644	103	27898356	270454
ONT_TR_PE_scaff_645	78	22331170	285098
ONT_TR_PE_scaff_646	91	22839015	248705
ONT_TR_PE_scaff_647	88	26183517	294905
ONT_TR_PE_scaff_648	86	25956219	298505
ONT_TR_PE_scaff_649	94	27741417	294785
ONT_TR_PE_scaff_650	95	24549215	258229
ONT_TR_PE_scaff_651	95	29119268	303972
ONT_TR_PE_scaff_652	101	26628129	261167
ONT_TR_PE_scaff_653	94	24426194	257697
ONT_TR_PE_scaff_654	79	24061118	301218
ONT_TR_PE_scaff_655	108	34444870	316441
ONT_TR_PE_scaff_656	102	32804290	321532
ONT_TR_PE_scaff_657	97	31143799	318271
ONT_TR_PE_scaff_658	114	37918650	330991
ONT_TR_PE_scaff_659	88	29044497	327747
ONT_TR_PE_scaff_660	97	32473872	331559
ONT_TR_PE_scaff_661	104	31333798	298532
ONT_TR_PE_scaff_662	88	30642423	347114
ONT_TR_PE_scaff_663	107	36318309	337681
ONT_TR_PE_scaff_664	90	31107407	344571
ONT_TR_PE_scaff_665	91	32836496	360655
ONT_TR_PE_scaff_666	107	40119083	373446
ONT_TR_PE_scaff_667	99	38145992	381971
ONT_TR_PE_scaff_668	103	41010930	397290
ONT_TR_PE_scaff_669	105	41787789	397738
ONT_TR_PE_scaff_670	62	24836384	396545
ONT_TR_PE_scaff_671	98	40730249	414069
ONT_TR_PE_scaff_672	67	26566958	392911
ONT_TR_PE_scaff_673	111	47449671	425496
ONT_TR_PE_scaff_674	98	43035341	436370
ONT_TR_PE_scaff_675	91	36193866	397454
ONT_TR_PE_scaff_676	116	51484839	443679
ONT_TR_PE_scaff_677	106	48001075	450937
ONT_TR_PE_scaff_678	58	24981926	429800
ONT_TR_PE_scaff_679	90	41231536	456792
ONT_TR_PE_scaff_680	97	34134366	351813
ONT_TR_PE_scaff_681	97	45123356	460759
ONT_TR_PE_scaff_682	106	52231475	490527
ONT_TR_PE_scaff_683	100	49807328	494189
ONT_TR_PE_scaff_684	49	24496847	492064
ONT_TR_PE_scaff_685	101	51108197	502029
ONT_TR_PE_scaff_686	98	50803356	513218
ONT_TR_PE_scaff_687	101	52012332	512259
ONT_TR_PE_scaff_688	103	53936093	519835
ONT_TR_PE_scaff_689	104	56049017	537976
ONT_TR_PE_scaff_690	104	54455366	523609
ONT_TR_PE_scaff_691	104	60671007	578557
ONT_TR_PE_scaff_692	106	62078372	581144
ONT_TR_PE_scaff_693	62	36671176	588575
ONT_TR_PE_scaff_694	103	62974049	607799
ONT_TR_PE_scaff_695	113	73503328	645720
ONT_TR_PE_scaff_696	126	81938851	646670
ONT_TR_PE_scaff_697	106	69372087	651713
ONT_TR_PE_scaff_698	99	64419188	650637
ONT_TR_PE_scaff_699	107	76473138	708466
ONT_TR_PE_scaff_700	102	73719218	716000
ONT_TR_PE_scaff_701	110	79304532	714941
ONT_TR_PE_scaff_702	104	74947652	718344
ONT_TR_PE_scaff_703	104	76337561	730069
ONT_TR_PE_scaff_704	93	59740099	640598
ONT_TR_PE_scaff_705	93	68719946	736651
ONT_TR_PE_scaff_706	111	84922326	760230
ONT_TR_PE_scaff_707	109	81231361	739606
ONT_TR_PE_scaff_708	106	84054209	787895
ONT_TR_PE_scaff_709	102	81978872	797749
ONT_TR_PE_scaff_710	100	87194911	870752
ONT_TR_PE_scaff_711	98	79982502	810389
ONT_TR_PE_scaff_712	109	96286653	883262
ONT_TR_PE_scaff_713	104	94296749	904708
ONT_TR_PE_scaff_714	106	100877214	945957
ONT_TR_PE_scaff_715	100	94865403	941402
ONT_TR_PE_scaff_716	102	100674340	979613
ONT_TR_PE_scaff_717	103	97712405	948599
ONT_TR_PE_scaff_718	102	102176490	994660
ONT_TR_PE_scaff_719	101	110767387	1087892
ONT_TR_PE_scaff_720	99	109591565	1096789
ONT_TR_PE_scaff_721	44	48562465	1098589
ONT_TR_PE_scaff_722	100	111819625	1108588
ONT_TR_PE_scaff_723	106	133540690	1257381
ONT_TR_PE_scaff_724	106	135041853	1270566
ONT_TR_PE_scaff_725	103	132579351	1275006
ONT_TR_PE_scaff_726	99	133931927	1347254
ONT_TR_PE_scaff_727	111	174074881	1566974
ONT_TR_PE_scaff_728	110	186407088	1683915
ONT_TR_PE_scaff_729	105	206130878	1958307
ONT_TR_PE_scaff_730	105	210227844	2001788
ONT_TR_PE_scaff_731	101	221739380	2176094
ONT_TR_PE_scaff_732	107	248502725	2321156
ONT_TR_PE_scaff_733	110	441412076	3997231
