Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_169	5	28922	4965
ONT_TR_PE_scaff_170	1	385	385
ONT_TR_PE_scaff_171	5	8182	1569
ONT_TR_PE_scaff_172	1	120	120
ONT_TR_PE_scaff_174	17	51086	2846
ONT_TR_PE_scaff_175	1	541	541
ONT_TR_PE_scaff_177	0	785	787
ONT_TR_PE_scaff_179	0	251	252
ONT_TR_PE_scaff_181	7	34548	4346
ONT_TR_PE_scaff_183	2	3347	1479
ONT_TR_PE_scaff_184	3	9517	2882
ONT_TR_PE_scaff_185	3	10467	2754
ONT_TR_PE_scaff_186	9	33592	3688
ONT_TR_PE_scaff_187	61	320130	5177
ONT_TR_PE_scaff_188	2	5600	2559
ONT_TR_PE_scaff_189	3	9415	2856
ONT_TR_PE_scaff_191	1	6366	5603
ONT_TR_PE_scaff_193	6	32550	4726
ONT_TR_PE_scaff_194	1	8412	4843
ONT_TR_PE_scaff_197	3	6465	1653
ONT_TR_PE_scaff_198	1	465	458
ONT_TR_PE_scaff_200	10	25276	2381
ONT_TR_PE_scaff_207	7	42184	5726
ONT_TR_PE_scaff_209	14	80403	5574
ONT_TR_PE_scaff_210	3	8074	2021
ONT_TR_PE_scaff_211	4	26154	6265
ONT_TR_PE_scaff_214	1	1858	1185
ONT_TR_PE_scaff_217	16	26655	1592
ONT_TR_PE_scaff_219	0	622	624
ONT_TR_PE_scaff_221	19	67274	3518
ONT_TR_PE_scaff_222	1	1859	1416
ONT_TR_PE_scaff_223	2	1742	862
ONT_TR_PE_scaff_225	1	5571	4791
ONT_TR_PE_scaff_228	1	925	587
ONT_TR_PE_scaff_229	5	27715	5095
ONT_TR_PE_scaff_232	1	5937	3092
ONT_TR_PE_scaff_233	1	2361	1894
ONT_TR_PE_scaff_234	11	22499	1886
ONT_TR_PE_scaff_238	0	113	114
ONT_TR_PE_scaff_239	0	4687	7008
ONT_TR_PE_scaff_240	6	19209	2906
ONT_TR_PE_scaff_249	3	6334	2046
ONT_TR_PE_scaff_252	1	138	138
ONT_TR_PE_scaff_253	1	2140	1762
ONT_TR_PE_scaff_256	1	1181	721
ONT_TR_PE_scaff_257	51	101186	1964
ONT_TR_PE_scaff_258	15	108208	7193
ONT_TR_PE_scaff_259	92	369992	4003
ONT_TR_PE_scaff_261	0	578	580
ONT_TR_PE_scaff_264	1	2316	1335
ONT_TR_PE_scaff_265	1	1456	1456
ONT_TR_PE_scaff_266	3	14117	4255
ONT_TR_PE_scaff_269	1	12357	6560
ONT_TR_PE_scaff_271	6	33347	5471
ONT_TR_PE_scaff_278	1	1450	1348
ONT_TR_PE_scaff_280	3	30533	9919
ONT_TR_PE_scaff_282	9	53703	5673
ONT_TR_PE_scaff_283	24	252569	10515
ONT_TR_PE_scaff_284	2	7478	3265
ONT_TR_PE_scaff_285	19	139630	6983
ONT_TR_PE_scaff_287	10	81389	7453
ONT_TR_PE_scaff_289	0	2407	4130
ONT_TR_PE_scaff_290	2	19100	9016
ONT_TR_PE_scaff_293	1	2662	1384
ONT_TR_PE_scaff_300	1	2029	1363
ONT_TR_PE_scaff_301	6	50910	8355
ONT_TR_PE_scaff_302	21	76802	3621
ONT_TR_PE_scaff_304	0	8910	11229
ONT_TR_PE_scaff_305	1	11367	5686
ONT_TR_PE_scaff_306	0	724	725
ONT_TR_PE_scaff_307	2	15341	7128
ONT_TR_PE_scaff_308	57	218715	3822
ONT_TR_PE_scaff_309	2	25669	10304
ONT_TR_PE_scaff_311	3	22125	5536
ONT_TR_PE_scaff_314	1	300	300
ONT_TR_PE_scaff_318	4	4249	1024
ONT_TR_PE_scaff_320	7	49613	6872
ONT_TR_PE_scaff_321	12	51659	4228
ONT_TR_PE_scaff_326	10	94567	9319
ONT_TR_PE_scaff_332	2	11246	4917
ONT_TR_PE_scaff_333	1	10187	6637
ONT_TR_PE_scaff_337	2	5928	2203
ONT_TR_PE_scaff_341	45	364633	7987
ONT_TR_PE_scaff_342	1	6611	3948
ONT_TR_PE_scaff_343	55	481404	8750
ONT_TR_PE_scaff_344	1	274	156
ONT_TR_PE_scaff_348	2	35885	14100
ONT_TR_PE_scaff_349	0	5960	8103
ONT_TR_PE_scaff_350	5	47129	8708
ONT_TR_PE_scaff_351	15	198462	12848
ONT_TR_PE_scaff_352	3	34632	10105
ONT_TR_PE_scaff_354	9	93922	10051
ONT_TR_PE_scaff_356	31	487661	15299
ONT_TR_PE_scaff_357	0	2881	6055
ONT_TR_PE_scaff_358	1	1992	1565
ONT_TR_PE_scaff_361	1	21364	11171
ONT_TR_PE_scaff_362	2	34741	15338
ONT_TR_PE_scaff_368	1	3466	2659
ONT_TR_PE_scaff_373	102	1727821	16909
ONT_TR_PE_scaff_380	0	3946	4137
ONT_TR_PE_scaff_383	1	15544	8089
ONT_TR_PE_scaff_384	10	158082	15051
ONT_TR_PE_scaff_385	76	958682	12496
ONT_TR_PE_scaff_386	2	31672	11248
ONT_TR_PE_scaff_387	3	44356	14215
ONT_TR_PE_scaff_391	2	14039	4880
ONT_TR_PE_scaff_393	15	94591	6252
ONT_TR_PE_scaff_395	718	5829569	8118
ONT_TR_PE_scaff_398	4	10081	2089
ONT_TR_PE_scaff_402	2	19243	9502
ONT_TR_PE_scaff_405	6	117793	19485
ONT_TR_PE_scaff_406	1	17432	11003
ONT_TR_PE_scaff_409	18	390396	21354
ONT_TR_PE_scaff_411	1	3790	2915
ONT_TR_PE_scaff_414	23	618725	26295
ONT_TR_PE_scaff_419	7	57658	8118
ONT_TR_PE_scaff_422	4	33422	8177
ONT_TR_PE_scaff_423	0	12720	15841
ONT_TR_PE_scaff_424	3	4724	1453
ONT_TR_PE_scaff_426	1	8252	8146
ONT_TR_PE_scaff_428	4	115071	26494
ONT_TR_PE_scaff_429	1	1470	1205
ONT_TR_PE_scaff_430	9	259701	27595
ONT_TR_PE_scaff_431	35	353187	9813
ONT_TR_PE_scaff_432	11	259462	22376
ONT_TR_PE_scaff_434	3	113262	34156
ONT_TR_PE_scaff_435	3	99057	31004
ONT_TR_PE_scaff_448	4	45585	10223
ONT_TR_PE_scaff_449	34	1298111	37386
ONT_TR_PE_scaff_450	4	97425	21511
ONT_TR_PE_scaff_457	52	1504255	28394
ONT_TR_PE_scaff_458	2	20873	7040
ONT_TR_PE_scaff_464	0	6137	38386
ONT_TR_PE_scaff_465	1	35679	20228
ONT_TR_PE_scaff_467	1	13234	8880
ONT_TR_PE_scaff_470	4	86457	20093
ONT_TR_PE_scaff_471	4	160792	34725
ONT_TR_PE_scaff_474	17	557974	31279
ONT_TR_PE_scaff_475	4	53071	11652
ONT_TR_PE_scaff_476	17	365405	20675
ONT_TR_PE_scaff_477	32	373808	11436
ONT_TR_PE_scaff_478	1	45196	27160
ONT_TR_PE_scaff_480	2	84275	37539
ONT_TR_PE_scaff_481	1	20022	19734
ONT_TR_PE_scaff_482	1	63950	35710
ONT_TR_PE_scaff_483	1	72122	43587
ONT_TR_PE_scaff_484	28	1101417	38278
ONT_TR_PE_scaff_485	0	11297	12137
ONT_TR_PE_scaff_488	11	360902	31244
ONT_TR_PE_scaff_490	5	233863	45213
ONT_TR_PE_scaff_491	53	2819621	52808
ONT_TR_PE_scaff_492	24	1087325	43523
ONT_TR_PE_scaff_493	2	48207	16429
ONT_TR_PE_scaff_494	40	2057355	51296
ONT_TR_PE_scaff_495	1	16412	14404
ONT_TR_PE_scaff_496	0	14158	28358
ONT_TR_PE_scaff_498	10	15650	1439
ONT_TR_PE_scaff_499	2	126765	47326
ONT_TR_PE_scaff_501	5	28635	5470
ONT_TR_PE_scaff_502	5	161877	31221
ONT_TR_PE_scaff_504	161	8203205	50926
ONT_TR_PE_scaff_505	1	1173	707
ONT_TR_PE_scaff_506	9	517367	57042
ONT_TR_PE_scaff_507	23	1216245	52873
ONT_TR_PE_scaff_511	113	5717753	50578
ONT_TR_PE_scaff_512	34	1888487	54490
ONT_TR_PE_scaff_513	5	358556	62900
ONT_TR_PE_scaff_514	52	2916808	55093
ONT_TR_PE_scaff_516	33	2291813	68139
ONT_TR_PE_scaff_518	5	178706	32374
ONT_TR_PE_scaff_519	3	117027	32181
ONT_TR_PE_scaff_520	5	71976	12638
ONT_TR_PE_scaff_521	3	193638	62466
ONT_TR_PE_scaff_523	11	768018	68970
ONT_TR_PE_scaff_524	1	97662	54372
ONT_TR_PE_scaff_525	57	2981225	52271
ONT_TR_PE_scaff_527	4	337735	74384
ONT_TR_PE_scaff_528	14	1041017	70052
ONT_TR_PE_scaff_529	10	738182	73038
ONT_TR_PE_scaff_530	22	1526558	67716
ONT_TR_PE_scaff_532	28	1503697	52500
ONT_TR_PE_scaff_541	1	17681	10740
ONT_TR_PE_scaff_542	6	531606	81901
ONT_TR_PE_scaff_543	2	24239	11202
ONT_TR_PE_scaff_545	0	18451	70110
ONT_TR_PE_scaff_546	4	262870	60093
ONT_TR_PE_scaff_547	0	63291	72619
ONT_TR_PE_scaff_548	0	3507	7990
ONT_TR_PE_scaff_549	76	5905831	77653
ONT_TR_PE_scaff_550	9	754084	79520
ONT_TR_PE_scaff_551	1	28341	22513
ONT_TR_PE_scaff_552	0	43989	80192
ONT_TR_PE_scaff_553	8	522279	60221
ONT_TR_PE_scaff_556	13	1282059	93442
ONT_TR_PE_scaff_557	21	1042800	49314
ONT_TR_PE_scaff_558	0	46071	68480
ONT_TR_PE_scaff_559	6	488552	73324
ONT_TR_PE_scaff_560	0	29203	89416
ONT_TR_PE_scaff_561	0	44719	97454
ONT_TR_PE_scaff_562	12	913645	70651
ONT_TR_PE_scaff_563	27	1859833	67280
ONT_TR_PE_scaff_564	26	2034762	76434
ONT_TR_PE_scaff_565	0	17677	91644
ONT_TR_PE_scaff_566	21	2074380	94354
ONT_TR_PE_scaff_567	129	11559980	89450
ONT_TR_PE_scaff_568	41	4583413	109412
ONT_TR_PE_scaff_569	1	108315	107704
ONT_TR_PE_scaff_570	1	69512	65034
ONT_TR_PE_scaff_571	13	919245	70326
ONT_TR_PE_scaff_572	12	1001328	83020
ONT_TR_PE_scaff_573	68	7396547	108207
ONT_TR_PE_scaff_574	3	388095	104788
ONT_TR_PE_scaff_575	4	502234	117749
ONT_TR_PE_scaff_576	2	242307	99287
ONT_TR_PE_scaff_577	29	3208438	107148
ONT_TR_PE_scaff_578	1	138	138
ONT_TR_PE_scaff_579	1	1225	725
ONT_TR_PE_scaff_580	3	380406	122532
ONT_TR_PE_scaff_581	31	3592647	115319
ONT_TR_PE_scaff_582	4	232461	51923
ONT_TR_PE_scaff_583	4	535117	122964
ONT_TR_PE_scaff_584	37	3318871	88257
ONT_TR_PE_scaff_585	0	31731	33470
ONT_TR_PE_scaff_586	13	1528606	111682
ONT_TR_PE_scaff_587	40	4170361	103759
ONT_TR_PE_scaff_588	61	7702730	125117
ONT_TR_PE_scaff_589	5	273230	47508
ONT_TR_PE_scaff_590	0	9291	16574
ONT_TR_PE_scaff_591	3	284814	93261
ONT_TR_PE_scaff_592	0	56443	88072
ONT_TR_PE_scaff_593	45	5151913	113503
ONT_TR_PE_scaff_594	2	322647	111741
ONT_TR_PE_scaff_595	0	44367	65775
ONT_TR_PE_scaff_596	7	560473	73960
ONT_TR_PE_scaff_597	94	7897011	83257
ONT_TR_PE_scaff_598	2	4683	1625
ONT_TR_PE_scaff_599	1	8265	4439
ONT_TR_PE_scaff_600	2	571	238
ONT_TR_PE_scaff_601	26	3944033	148201
ONT_TR_PE_scaff_603	1	103	103
ONT_TR_PE_scaff_604	53	5241314	98703
ONT_TR_PE_scaff_605	50	6965116	138366
ONT_TR_PE_scaff_606	57	8953354	154620
ONT_TR_PE_scaff_607	18	2923496	155758
ONT_TR_PE_scaff_608	104	15314299	146093
ONT_TR_PE_scaff_609	68	6926247	101674
ONT_TR_PE_scaff_610	10	1361222	127578
ONT_TR_PE_scaff_611	20	2306360	115034
ONT_TR_PE_scaff_612	125	9826963	78562
ONT_TR_PE_scaff_613	204	34065557	166840
ONT_TR_PE_scaff_614	5	926761	180764
ONT_TR_PE_scaff_615	71	12437090	173669
ONT_TR_PE_scaff_616	30	6122204	198549
ONT_TR_PE_scaff_617	24	4006820	160757
ONT_TR_PE_scaff_619	5	644544	125072
ONT_TR_PE_scaff_620	43	6973504	158825
ONT_TR_PE_scaff_621	40	8220138	203639
ONT_TR_PE_scaff_622	4	752019	169476
ONT_TR_PE_scaff_623	56	10757867	189030
ONT_TR_PE_scaff_624	16	3472500	210116
ONT_TR_PE_scaff_625	11	2307712	198948
ONT_TR_PE_scaff_626	5	1023750	198340
ONT_TR_PE_scaff_627	0	82055	131064
ONT_TR_PE_scaff_628	5	1097168	201371
ONT_TR_PE_scaff_629	11	2314590	207299
ONT_TR_PE_scaff_630	222	51741095	232795
ONT_TR_PE_scaff_631	68	15971462	233423
ONT_TR_PE_scaff_632	1	342394	230551
ONT_TR_PE_scaff_633	12	2698230	211081
ONT_TR_PE_scaff_634	78	17560111	223302
ONT_TR_PE_scaff_635	0	95669	162318
ONT_TR_PE_scaff_636	58	11097450	190080
ONT_TR_PE_scaff_637	11	2713310	230572
ONT_TR_PE_scaff_638	21	5543698	262176
ONT_TR_PE_scaff_639	75	20325705	268934
ONT_TR_PE_scaff_640	5	1271148	250557
ONT_TR_PE_scaff_641	21	3989599	189635
ONT_TR_PE_scaff_642	136	30917885	225696
ONT_TR_PE_scaff_643	4	595549	122589
ONT_TR_PE_scaff_644	12	2994635	233687
ONT_TR_PE_scaff_645	1	1832	956
ONT_TR_PE_scaff_646	100	23358492	232838
ONT_TR_PE_scaff_647	28	7597392	269952
ONT_TR_PE_scaff_648	0	219702	253308
ONT_TR_PE_scaff_649	12	3628958	300476
ONT_TR_PE_scaff_650	8	2025390	238813
ONT_TR_PE_scaff_651	15	3232217	210279
ONT_TR_PE_scaff_652	43	11256866	261283
ONT_TR_PE_scaff_653	46	12093874	260885
ONT_TR_PE_scaff_654	90	28857721	317329
ONT_TR_PE_scaff_655	20	6223472	297204
ONT_TR_PE_scaff_656	63	19551060	308831
ONT_TR_PE_scaff_657	51	16616748	322799
ONT_TR_PE_scaff_658	86	27607776	320625
ONT_TR_PE_scaff_659	17	5547967	324474
ONT_TR_PE_scaff_660	10	3349587	311595
ONT_TR_PE_scaff_661	23	6136801	261407
ONT_TR_PE_scaff_662	73	25488761	345716
ONT_TR_PE_scaff_663	34	11138670	325410
ONT_TR_PE_scaff_664	98	34161147	348579
ONT_TR_PE_scaff_665	33	12158231	358605
ONT_TR_PE_scaff_666	9	3562537	371824
ONT_TR_PE_scaff_667	27	10288124	372351
ONT_TR_PE_scaff_668	24	9692290	395126
ONT_TR_PE_scaff_669	6	1769203	287518
ONT_TR_PE_scaff_670	0	6628	27698
ONT_TR_PE_scaff_671	49	20752899	420819
ONT_TR_PE_scaff_672	3	1418314	384646
ONT_TR_PE_scaff_673	36	15172544	417040
ONT_TR_PE_scaff_674	20	8961513	434026
ONT_TR_PE_scaff_675	41	16779811	401319
ONT_TR_PE_scaff_676	6	2447768	403073
ONT_TR_PE_scaff_677	34	15787445	451411
ONT_TR_PE_scaff_678	5	2620089	444541
ONT_TR_PE_scaff_679	60	27942680	459521
ONT_TR_PE_scaff_680	52	18749547	355684
ONT_TR_PE_scaff_681	54	25114542	464449
ONT_TR_PE_scaff_682	16	7802832	460620
ONT_TR_PE_scaff_683	84	39828080	473486
ONT_TR_PE_scaff_684	1	211	211
ONT_TR_PE_scaff_685	15	7607326	484727
ONT_TR_PE_scaff_686	77	39387509	506921
ONT_TR_PE_scaff_687	22	11902870	517746
ONT_TR_PE_scaff_688	52	26897720	513758
ONT_TR_PE_scaff_689	69	37436493	535449
ONT_TR_PE_scaff_690	139	74938193	536563
ONT_TR_PE_scaff_691	88	50810433	572705
ONT_TR_PE_scaff_692	18	11087547	586001
ONT_TR_PE_scaff_693	5	3226658	542974
ONT_TR_PE_scaff_694	7	4381847	603241
ONT_TR_PE_scaff_695	12	8356712	648838
ONT_TR_PE_scaff_696	66	42975425	644866
ONT_TR_PE_scaff_697	100	63122435	629794
ONT_TR_PE_scaff_698	76	50307113	657490
ONT_TR_PE_scaff_699	41	29038441	706617
ONT_TR_PE_scaff_700	74	53660107	720844
ONT_TR_PE_scaff_701	25	18599987	715798
ONT_TR_PE_scaff_702	55	40555495	725507
ONT_TR_PE_scaff_703	55	39066816	702748
ONT_TR_PE_scaff_704	38	25093509	647073
ONT_TR_PE_scaff_705	97	73211765	748041
ONT_TR_PE_scaff_706	82	63423498	764460
ONT_TR_PE_scaff_707	29	24182361	812265
ONT_TR_PE_scaff_708	55	43405302	781402
ONT_TR_PE_scaff_709	32	26213808	816614
ONT_TR_PE_scaff_710	84	74548693	877786
ONT_TR_PE_scaff_711	70	57478695	813634
ONT_TR_PE_scaff_712	17	15259094	865181
ONT_TR_PE_scaff_713	68	60219089	885384
ONT_TR_PE_scaff_714	29	27616978	949580
ONT_TR_PE_scaff_715	87	83845124	955635
ONT_TR_PE_scaff_716	28	27623865	978499
ONT_TR_PE_scaff_717	89	85001553	944754
ONT_TR_PE_scaff_718	24	24324900	1013311
ONT_TR_PE_scaff_719	78	86574834	1096678
ONT_TR_PE_scaff_720	80	88938712	1100970
ONT_TR_PE_scaff_721	0	942420	987485
ONT_TR_PE_scaff_722	73	82579471	1126036
ONT_TR_PE_scaff_723	60	75726133	1256713
ONT_TR_PE_scaff_724	86	110323391	1269308
ONT_TR_PE_scaff_725	71	92635630	1293860
ONT_TR_PE_scaff_726	102	140973562	1373990
ONT_TR_PE_scaff_727	25	40146031	1570497
ONT_TR_PE_scaff_728	13	22884225	1690509
ONT_TR_PE_scaff_729	36	72562603	1978341
ONT_TR_PE_scaff_730	58	118284652	2019009
ONT_TR_PE_scaff_731	95	209576914	2196386
ONT_TR_PE_scaff_732	33	79351605	2334469
ONT_TR_PE_scaff_733	44	180079056	4023662
