Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_391	3	3404	1021
ONT_TR_PE_scaff_393	16	94352	5590
ONT_TR_PE_scaff_395	1049	5821774	5546
ONT_TR_PE_scaff_398	5	8919	1621
ONT_TR_PE_scaff_402	1	4175	2584
ONT_TR_PE_scaff_405	2	29260	10256
ONT_TR_PE_scaff_406	4	17061	3574
ONT_TR_PE_scaff_409	18	402435	21655
ONT_TR_PE_scaff_411	1	291	291
ONT_TR_PE_scaff_414	19	434964	22018
ONT_TR_PE_scaff_419	3	49659	13337
ONT_TR_PE_scaff_422	0	11224	23882
ONT_TR_PE_scaff_423	0	13157	27265
ONT_TR_PE_scaff_424	5	3751	652
ONT_TR_PE_scaff_426	0	6333	7252
ONT_TR_PE_scaff_428	3	60650	19118
ONT_TR_PE_scaff_429	1	603	445
ONT_TR_PE_scaff_430	9	258946	27026
ONT_TR_PE_scaff_431	69	338179	4837
ONT_TR_PE_scaff_432	12	141795	11059
ONT_TR_PE_scaff_434	2	69375	32942
ONT_TR_PE_scaff_435	6	69984	10084
ONT_TR_PE_scaff_448	1	7916	4190
ONT_TR_PE_scaff_449	30	1091365	35943
ONT_TR_PE_scaff_450	2	37829	13379
ONT_TR_PE_scaff_457	58	1488979	25598
ONT_TR_PE_scaff_458	1	8845	4761
ONT_TR_PE_scaff_464	0	5336	36391
ONT_TR_PE_scaff_465	0	15457	17876
ONT_TR_PE_scaff_467	0	9226	17042
ONT_TR_PE_scaff_470	2	79037	35751
ONT_TR_PE_scaff_471	10	129008	12706
ONT_TR_PE_scaff_474	11	275387	23158
ONT_TR_PE_scaff_475	1	16104	8184
ONT_TR_PE_scaff_476	13	236510	17994
ONT_TR_PE_scaff_477	31	335223	10616
ONT_TR_PE_scaff_478	1	44632	31394
ONT_TR_PE_scaff_480	1	36459	23025
ONT_TR_PE_scaff_481	0	10104	20190
ONT_TR_PE_scaff_482	1	14634	8428
ONT_TR_PE_scaff_483	1	55797	43579
ONT_TR_PE_scaff_484	29	1078374	36506
ONT_TR_PE_scaff_485	2	9546	3401
ONT_TR_PE_scaff_488	7	193646	26528
ONT_TR_PE_scaff_490	2	102488	40300
ONT_TR_PE_scaff_491	57	2834002	49426
ONT_TR_PE_scaff_492	19	848330	43133
ONT_TR_PE_scaff_493	7	8055	1077
ONT_TR_PE_scaff_494	19	976319	51296
ONT_TR_PE_scaff_495	0	7198	10082
ONT_TR_PE_scaff_496	0	1161	1579
ONT_TR_PE_scaff_498	8	14165	1699
ONT_TR_PE_scaff_499	4	42998	10444
ONT_TR_PE_scaff_501	7	11855	1656
ONT_TR_PE_scaff_502	4	150353	30974
ONT_TR_PE_scaff_504	45	2272113	49813
ONT_TR_PE_scaff_505	0	201	207
ONT_TR_PE_scaff_506	7	435707	55423
ONT_TR_PE_scaff_507	27	1153164	42305
ONT_TR_PE_scaff_511	154	4903111	31834
ONT_TR_PE_scaff_512	143	1196222	8328
ONT_TR_PE_scaff_513	4	129584	31406
ONT_TR_PE_scaff_514	18	851052	46124
ONT_TR_PE_scaff_516	32	2258978	69277
ONT_TR_PE_scaff_518	6	168512	26294
ONT_TR_PE_scaff_519	2	98231	49043
ONT_TR_PE_scaff_520	4	38847	9517
ONT_TR_PE_scaff_521	2	149467	61336
ONT_TR_PE_scaff_523	9	594182	64788
ONT_TR_PE_scaff_524	1	48431	36906
ONT_TR_PE_scaff_525	55	2944969	52604
ONT_TR_PE_scaff_527	2	155283	67277
ONT_TR_PE_scaff_528	16	1171571	69856
ONT_TR_PE_scaff_529	9	694000	73775
ONT_TR_PE_scaff_530	24	1499828	60007
ONT_TR_PE_scaff_532	44	1452954	32334
ONT_TR_PE_scaff_541	0	4036	5067
ONT_TR_PE_scaff_542	4	354198	83780
ONT_TR_PE_scaff_543	0	729	1435
ONT_TR_PE_scaff_545	0	11791	69532
ONT_TR_PE_scaff_546	5	240534	47121
ONT_TR_PE_scaff_547	1	97762	75528
ONT_TR_PE_scaff_548	1	98	98
ONT_TR_PE_scaff_549	85	5798121	67524
ONT_TR_PE_scaff_550	9	730642	78826
ONT_TR_PE_scaff_551	1	14388	8007
ONT_TR_PE_scaff_552	2	119504	52416
ONT_TR_PE_scaff_553	4	227591	56805
ONT_TR_PE_scaff_556	19	1184078	60533
ONT_TR_PE_scaff_557	13	657051	47205
ONT_TR_PE_scaff_558	0	30378	75319
ONT_TR_PE_scaff_559	6	336004	54408
ONT_TR_PE_scaff_560	0	22133	72842
ONT_TR_PE_scaff_561	0	41178	57873
ONT_TR_PE_scaff_562	21	632937	29219
ONT_TR_PE_scaff_563	36	1935642	53601
ONT_TR_PE_scaff_564	30	2011255	66042
ONT_TR_PE_scaff_565	0	4083	4118
ONT_TR_PE_scaff_566	10	951697	91651
ONT_TR_PE_scaff_567	129	11617153	90015
ONT_TR_PE_scaff_568	31	3346255	107067
ONT_TR_PE_scaff_569	0	76337	91653
ONT_TR_PE_scaff_570	1	20123	11171
ONT_TR_PE_scaff_571	9	489397	49103
ONT_TR_PE_scaff_572	11	1017493	89673
ONT_TR_PE_scaff_573	177	7243921	40707
ONT_TR_PE_scaff_574	1	132914	108046
ONT_TR_PE_scaff_575	2	279831	117616
ONT_TR_PE_scaff_576	1	76032	41442
ONT_TR_PE_scaff_577	27	2866562	104776
ONT_TR_PE_scaff_579	1	1122	637
ONT_TR_PE_scaff_580	2	212592	91038
ONT_TR_PE_scaff_581	34	3563149	101904
ONT_TR_PE_scaff_582	4	231099	55088
ONT_TR_PE_scaff_583	1	183225	98193
ONT_TR_PE_scaff_584	31	3237095	102217
ONT_TR_PE_scaff_585	2	23645	8705
ONT_TR_PE_scaff_586	13	1571163	115916
ONT_TR_PE_scaff_587	47	3787091	79369
ONT_TR_PE_scaff_588	66	7097670	106306
ONT_TR_PE_scaff_589	5	213170	37101
ONT_TR_PE_scaff_590	0	5423	16113
ONT_TR_PE_scaff_591	2	252766	90819
ONT_TR_PE_scaff_592	1	9522	7171
ONT_TR_PE_scaff_593	42	4783061	112914
ONT_TR_PE_scaff_594	4	134959	27897
ONT_TR_PE_scaff_595	1	17563	8890
ONT_TR_PE_scaff_596	9	543097	55772
ONT_TR_PE_scaff_597	112	7710157	68491
ONT_TR_PE_scaff_598	2	4277	1832
ONT_TR_PE_scaff_599	1	6743	3788
ONT_TR_PE_scaff_600	2	571	238
ONT_TR_PE_scaff_601	35	3918920	109911
ONT_TR_PE_scaff_603	1	1072	603
ONT_TR_PE_scaff_604	69	4890895	70574
ONT_TR_PE_scaff_605	49	6979685	140116
ONT_TR_PE_scaff_606	63	8812191	139741
ONT_TR_PE_scaff_607	10	1205114	118913
ONT_TR_PE_scaff_608	122	15226684	124729
ONT_TR_PE_scaff_609	82	6204034	75390
ONT_TR_PE_scaff_610	12	1265864	97855
ONT_TR_PE_scaff_611	26	2192806	83037
ONT_TR_PE_scaff_612	117	9180582	78137
ONT_TR_PE_scaff_613	211	34933015	165526
ONT_TR_PE_scaff_614	2	417646	146438
ONT_TR_PE_scaff_615	68	10872625	158964
ONT_TR_PE_scaff_616	31	5735838	182546
ONT_TR_PE_scaff_617	26	3759794	140448
ONT_TR_PE_scaff_619	6	631106	92005
ONT_TR_PE_scaff_620	62	6674237	106323
ONT_TR_PE_scaff_621	43	7901820	180220
ONT_TR_PE_scaff_622	1	216314	149096
ONT_TR_PE_scaff_623	62	10573310	169033
ONT_TR_PE_scaff_624	12	2449192	203658
ONT_TR_PE_scaff_625	17	2270437	128553
ONT_TR_PE_scaff_626	5	1117042	212946
ONT_TR_PE_scaff_627	0	31696	135061
ONT_TR_PE_scaff_628	5	924866	180895
ONT_TR_PE_scaff_629	8	1654672	193774
ONT_TR_PE_scaff_630	226	49971929	220704
ONT_TR_PE_scaff_631	70	15130344	215599
ONT_TR_PE_scaff_632	1	187330	106170
ONT_TR_PE_scaff_633	7	1739002	220153
ONT_TR_PE_scaff_634	82	17604562	212648
ONT_TR_PE_scaff_635	1	21569	11808
ONT_TR_PE_scaff_636	69	11175490	159965
ONT_TR_PE_scaff_637	18	2650783	139591
ONT_TR_PE_scaff_638	34	5336809	156638
ONT_TR_PE_scaff_639	78	19982529	255143
ONT_TR_PE_scaff_640	7	1150095	151463
ONT_TR_PE_scaff_641	16	2775236	163373
ONT_TR_PE_scaff_642	147	30392554	205673
ONT_TR_PE_scaff_643	2	296626	104702
ONT_TR_PE_scaff_644	10	1682146	164402
ONT_TR_PE_scaff_645	1	1852	1092
ONT_TR_PE_scaff_646	96	22159129	230704
ONT_TR_PE_scaff_647	15	3767992	242887
ONT_TR_PE_scaff_648	0	151549	218619
ONT_TR_PE_scaff_649	13	3427993	254383
ONT_TR_PE_scaff_650	16	1521787	92622
ONT_TR_PE_scaff_651	13	2760807	200555
ONT_TR_PE_scaff_652	17	4236999	241818
ONT_TR_PE_scaff_653	50	11502610	229256
ONT_TR_PE_scaff_654	81	23038768	283749
ONT_TR_PE_scaff_655	23	6078566	258319
ONT_TR_PE_scaff_656	66	19387082	292349
ONT_TR_PE_scaff_657	54	14622220	266556
ONT_TR_PE_scaff_658	86	26964142	313052
ONT_TR_PE_scaff_659	15	4266297	281633
ONT_TR_PE_scaff_660	10	2855703	266832
ONT_TR_PE_scaff_661	22	6032603	273063
ONT_TR_PE_scaff_662	84	24477238	288163
ONT_TR_PE_scaff_663	46	10329862	220697
ONT_TR_PE_scaff_664	117	35608365	304047
ONT_TR_PE_scaff_665	36	11580772	313880
ONT_TR_PE_scaff_666	9	3320545	354804
ONT_TR_PE_scaff_667	60	9921143	162648
ONT_TR_PE_scaff_668	31	9378941	302227
ONT_TR_PE_scaff_669	9	1560714	160910
ONT_TR_PE_scaff_670	1	2018	1109
ONT_TR_PE_scaff_671	48	19770571	411697
ONT_TR_PE_scaff_672	2	813720	324745
ONT_TR_PE_scaff_673	41	14341866	349446
ONT_TR_PE_scaff_674	21	8565652	393963
ONT_TR_PE_scaff_675	44	15795405	353456
ONT_TR_PE_scaff_676	6	2104476	325423
ONT_TR_PE_scaff_677	41	14299765	340702
ONT_TR_PE_scaff_678	2	979407	434609
ONT_TR_PE_scaff_679	74	28118640	375334
ONT_TR_PE_scaff_680	53	18076122	336235
ONT_TR_PE_scaff_681	53	23208500	434453
ONT_TR_PE_scaff_682	23	7584264	316801
ONT_TR_PE_scaff_683	85	39238883	460476
ONT_TR_PE_scaff_684	1	252	252
ONT_TR_PE_scaff_685	21	7313326	333266
ONT_TR_PE_scaff_686	81	38517805	475120
ONT_TR_PE_scaff_687	25	11310078	437895
ONT_TR_PE_scaff_688	60	26546013	439965
ONT_TR_PE_scaff_689	70	36050478	512793
ONT_TR_PE_scaff_690	145	74949831	514717
ONT_TR_PE_scaff_691	80	44978472	557044
ONT_TR_PE_scaff_692	26	10599187	395936
ONT_TR_PE_scaff_693	326	2869845	8785
ONT_TR_PE_scaff_694	8	4238612	474496
ONT_TR_PE_scaff_695	13	7716062	562876
ONT_TR_PE_scaff_696	32	20199588	617071
ONT_TR_PE_scaff_697	104	63919498	611152
ONT_TR_PE_scaff_698	68	41635042	610346
ONT_TR_PE_scaff_699	45	27144366	591643
ONT_TR_PE_scaff_700	80	52333088	653049
ONT_TR_PE_scaff_701	33	17700030	527806
ONT_TR_PE_scaff_702	64	39393575	613253
ONT_TR_PE_scaff_703	60	38427078	638831
ONT_TR_PE_scaff_704	42	24748475	585952
ONT_TR_PE_scaff_705	101	72202183	713969
ONT_TR_PE_scaff_706	44	29267654	664793
ONT_TR_PE_scaff_707	32	18182371	556367
ONT_TR_PE_scaff_708	59	42907075	723916
ONT_TR_PE_scaff_709	39	31653449	794744
ONT_TR_PE_scaff_710	84	71523665	849423
ONT_TR_PE_scaff_711	77	56816913	731721
ONT_TR_PE_scaff_712	19	14736589	737544
ONT_TR_PE_scaff_713	76	59876156	781640
ONT_TR_PE_scaff_714	34	27189718	798155
ONT_TR_PE_scaff_715	91	84416657	919970
ONT_TR_PE_scaff_716	32	27817334	848920
ONT_TR_PE_scaff_717	91	76980437	837577
ONT_TR_PE_scaff_718	24	22927433	936908
ONT_TR_PE_scaff_719	88	86630589	977496
ONT_TR_PE_scaff_720	85	88425175	1028796
ONT_TR_PE_scaff_721	195	897756	4588
ONT_TR_PE_scaff_722	88	82386433	929936
ONT_TR_PE_scaff_723	61	70783097	1158229
ONT_TR_PE_scaff_724	93	106089133	1137899
ONT_TR_PE_scaff_725	72	91113369	1250740
ONT_TR_PE_scaff_726	106	141120922	1329790
ONT_TR_PE_scaff_727	27	39037116	1406779
ONT_TR_PE_scaff_728	12	17736374	1396353
ONT_TR_PE_scaff_729	36	62525248	1713156
ONT_TR_PE_scaff_730	63	119290828	1874205
ONT_TR_PE_scaff_731	90	187105201	2075456
ONT_TR_PE_scaff_732	39	76175946	1948967
ONT_TR_PE_scaff_733	49	171305125	3443364
