Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_307	48	131412	2719
ONT_TR_PE_scaff_308	1175	6142557	5226
ONT_TR_PE_scaff_309	27	44864	1645
ONT_TR_PE_scaff_311	7	6283	838
ONT_TR_PE_scaff_318	3	7106	1796
ONT_TR_PE_scaff_320	178	1032618	5790
ONT_TR_PE_scaff_321	68	322700	4707
ONT_TR_PE_scaff_323	2	6038	2503
ONT_TR_PE_scaff_326	421	5277283	12532
ONT_TR_PE_scaff_332	24	72593	2932
ONT_TR_PE_scaff_333	25	100688	4016
ONT_TR_PE_scaff_337	3	36367	11864
ONT_TR_PE_scaff_340	1	302	175
ONT_TR_PE_scaff_341	583	5610466	9613
ONT_TR_PE_scaff_342	2	512	221
ONT_TR_PE_scaff_343	96	841345	8683
ONT_TR_PE_scaff_348	258	4100149	15886
ONT_TR_PE_scaff_349	13	84889	6364
ONT_TR_PE_scaff_350	32	457982	13996
ONT_TR_PE_scaff_351	100	1037149	10282
ONT_TR_PE_scaff_352	167	1992460	11921
ONT_TR_PE_scaff_354	1030	11402751	11060
ONT_TR_PE_scaff_356	565	9813487	17364
ONT_TR_PE_scaff_357	27	435711	15590
ONT_TR_PE_scaff_358	37	328124	8675
ONT_TR_PE_scaff_361	88	1096265	12412
ONT_TR_PE_scaff_362	13	226228	17284
ONT_TR_PE_scaff_368	8	42974	4836
ONT_TR_PE_scaff_373	62	169522	2715
ONT_TR_PE_scaff_380	3	27908	7965
ONT_TR_PE_scaff_383	22	48133	2102
ONT_TR_PE_scaff_384	90	1587769	17566
ONT_TR_PE_scaff_385	596	7332031	12286
ONT_TR_PE_scaff_386	86	467801	5404
ONT_TR_PE_scaff_387	78	864127	11068
ONT_TR_PE_scaff_391	17	56682	3181
ONT_TR_PE_scaff_393	137	1647590	11989
ONT_TR_PE_scaff_395	177	2757495	15555
ONT_TR_PE_scaff_398	82	317184	3830
ONT_TR_PE_scaff_402	2	37772	16833
ONT_TR_PE_scaff_405	53	514124	9635
ONT_TR_PE_scaff_406	283	5647126	19902
ONT_TR_PE_scaff_409	95	2499638	26235
ONT_TR_PE_scaff_411	3	14705	4123
ONT_TR_PE_scaff_414	214	5088250	23732
ONT_TR_PE_scaff_419	5	40940	7830
ONT_TR_PE_scaff_422	41	1093196	26046
ONT_TR_PE_scaff_423	30	939354	30627
ONT_TR_PE_scaff_424	3	30348	8154
ONT_TR_PE_scaff_426	45	1108391	24582
ONT_TR_PE_scaff_428	80	1899465	23704
ONT_TR_PE_scaff_429	1	14431	10661
ONT_TR_PE_scaff_430	394	12547255	31791
ONT_TR_PE_scaff_431	206	3027331	14680
ONT_TR_PE_scaff_432	108	2214093	20418
ONT_TR_PE_scaff_434	101	3447878	34123
ONT_TR_PE_scaff_435	151	3307745	21766
ONT_TR_PE_scaff_448	11	219141	19162
ONT_TR_PE_scaff_449	335	11489207	34195
ONT_TR_PE_scaff_450	43	292454	6748
ONT_TR_PE_scaff_457	825	31269190	37868
ONT_TR_PE_scaff_458	26	219893	8240
ONT_TR_PE_scaff_464	31	1216388	39200
ONT_TR_PE_scaff_465	90	1709565	18981
ONT_TR_PE_scaff_467	73	674805	9149
ONT_TR_PE_scaff_470	24	938373	37753
ONT_TR_PE_scaff_471	121	5015215	41377
ONT_TR_PE_scaff_474	272	8492803	31168
ONT_TR_PE_scaff_475	30	177631	5735
ONT_TR_PE_scaff_476	206	8695012	42200
ONT_TR_PE_scaff_477	224	2590316	11557
ONT_TR_PE_scaff_478	48	1861371	38250
ONT_TR_PE_scaff_480	86	876647	10141
ONT_TR_PE_scaff_481	57	2225165	38825
ONT_TR_PE_scaff_482	7	332903	46421
ONT_TR_PE_scaff_483	18	774660	41357
ONT_TR_PE_scaff_484	621	29825977	47994
ONT_TR_PE_scaff_485	186	2510388	13465
ONT_TR_PE_scaff_488	203	6529463	32156
ONT_TR_PE_scaff_490	12	455083	37485
ONT_TR_PE_scaff_491	692	33929980	48963
ONT_TR_PE_scaff_492	246	13443229	54478
ONT_TR_PE_scaff_493	44	166399	3715
ONT_TR_PE_scaff_494	247	12676286	51296
ONT_TR_PE_scaff_495	54	1331111	24568
ONT_TR_PE_scaff_496	3	25710	6715
ONT_TR_PE_scaff_498	309	764001	2470
ONT_TR_PE_scaff_499	26	841109	31687
ONT_TR_PE_scaff_501	49	111360	2243
ONT_TR_PE_scaff_502	97	5277100	54074
ONT_TR_PE_scaff_504	515	30234715	58630
ONT_TR_PE_scaff_505	1	570	288
ONT_TR_PE_scaff_506	144	6852454	47544
ONT_TR_PE_scaff_507	221	10060526	45507
ONT_TR_PE_scaff_511	1300	52366411	40261
ONT_TR_PE_scaff_512	593	8911467	15011
ONT_TR_PE_scaff_513	31	1579023	49754
ONT_TR_PE_scaff_514	317	16771115	52863
ONT_TR_PE_scaff_516	832	58134467	69834
ONT_TR_PE_scaff_518	219	11579238	52813
ONT_TR_PE_scaff_519	39	2367630	60518
ONT_TR_PE_scaff_520	17	646658	38017
ONT_TR_PE_scaff_521	93	6415722	68686
ONT_TR_PE_scaff_523	159	10844590	68072
ONT_TR_PE_scaff_524	31	1618438	52113
ONT_TR_PE_scaff_525	648	41083353	63308
ONT_TR_PE_scaff_527	71	4827206	67623
ONT_TR_PE_scaff_528	192	14549481	75406
ONT_TR_PE_scaff_529	211	16013563	75834
ONT_TR_PE_scaff_530	1045	75015817	71773
ONT_TR_PE_scaff_532	362	27023807	74490
ONT_TR_PE_scaff_541	11	91206	7744
ONT_TR_PE_scaff_542	61	4531859	73867
ONT_TR_PE_scaff_543	12	68031	5521
ONT_TR_PE_scaff_545	13	1069486	80437
ONT_TR_PE_scaff_546	69	4465565	64407
ONT_TR_PE_scaff_547	52	4140819	78788
ONT_TR_PE_scaff_548	4	7784	1640
ONT_TR_PE_scaff_549	618	51174587	82722
ONT_TR_PE_scaff_550	241	20199462	83718
ONT_TR_PE_scaff_551	7	318988	45091
ONT_TR_PE_scaff_552	25	1696413	67410
ONT_TR_PE_scaff_553	101	5783259	56766
ONT_TR_PE_scaff_556	264	24295791	91838
ONT_TR_PE_scaff_557	184	9106604	49328
ONT_TR_PE_scaff_558	21	2192472	100499
ONT_TR_PE_scaff_559	55	4380889	78323
ONT_TR_PE_scaff_560	17	1590643	91300
ONT_TR_PE_scaff_561	104	10115169	96899
ONT_TR_PE_scaff_562	70	6165967	87351
ONT_TR_PE_scaff_563	768	52351146	68080
ONT_TR_PE_scaff_564	403	36006827	89286
ONT_TR_PE_scaff_565	2	24260	10501
ONT_TR_PE_scaff_566	100	9767220	97080
ONT_TR_PE_scaff_567	1656	152239601	91901
ONT_TR_PE_scaff_568	756	81227563	107310
ONT_TR_PE_scaff_569	38	3916364	101972
ONT_TR_PE_scaff_570	8	232530	26757
ONT_TR_PE_scaff_571	81	4007654	48960
ONT_TR_PE_scaff_572	267	27107167	101437
ONT_TR_PE_scaff_573	410	38248993	93171
ONT_TR_PE_scaff_574	26	2948121	111937
ONT_TR_PE_scaff_575	27	1988904	73603
ONT_TR_PE_scaff_576	8	476157	55022
ONT_TR_PE_scaff_577	260	31651559	121377
ONT_TR_PE_scaff_578	1	1002	506
ONT_TR_PE_scaff_579	1	2097	1399
ONT_TR_PE_scaff_580	57	7026719	121627
ONT_TR_PE_scaff_581	747	91469795	122311
ONT_TR_PE_scaff_582	192	11448739	59465
ONT_TR_PE_scaff_583	36	4533826	125354
ONT_TR_PE_scaff_584	263	33527354	127397
ONT_TR_PE_scaff_585	7	259534	35073
ONT_TR_PE_scaff_586	60	7361441	120929
ONT_TR_PE_scaff_587	296	39242566	132495
ONT_TR_PE_scaff_588	861	114177586	132464
ONT_TR_PE_scaff_589	379	12345890	32528
ONT_TR_PE_scaff_590	15	620760	41257
ONT_TR_PE_scaff_591	205	20166618	97933
ONT_TR_PE_scaff_592	14	500022	33373
ONT_TR_PE_scaff_593	583	68104555	116652
ONT_TR_PE_scaff_594	34	3335268	95652
ONT_TR_PE_scaff_595	4	155427	33272
ONT_TR_PE_scaff_596	312	33263320	106550
ONT_TR_PE_scaff_597	1576	132261650	83874
ONT_TR_PE_scaff_598	2	3194	1586
ONT_TR_PE_scaff_599	14	597979	42382
ONT_TR_PE_scaff_600	2	1993	916
ONT_TR_PE_scaff_601	409	61128318	149435
ONT_TR_PE_scaff_603	2	3484	1474
ONT_TR_PE_scaff_604	966	95484687	98834
ONT_TR_PE_scaff_605	1376	207194934	150473
ONT_TR_PE_scaff_606	843	125941728	149235
ONT_TR_PE_scaff_607	204	26910607	131292
ONT_TR_PE_scaff_608	526	77233810	146814
ONT_TR_PE_scaff_609	518	52378442	101016
ONT_TR_PE_scaff_610	236	29753581	126055
ONT_TR_PE_scaff_611	636	74752377	117415
ONT_TR_PE_scaff_612	609	47146706	77392
ONT_TR_PE_scaff_613	1373	224278452	163295
ONT_TR_PE_scaff_614	66	11955515	179298
ONT_TR_PE_scaff_615	233	38603087	165256
ONT_TR_PE_scaff_616	389	75184286	193174
ONT_TR_PE_scaff_617	194	31775731	163545
ONT_TR_PE_scaff_619	64	6325986	97996
ONT_TR_PE_scaff_620	604	92997421	153936
ONT_TR_PE_scaff_621	564	117013795	207331
ONT_TR_PE_scaff_622	13	1249322	96020
ONT_TR_PE_scaff_623	967	202046520	208819
ONT_TR_PE_scaff_624	275	56360281	204804
ONT_TR_PE_scaff_625	239	46760649	194898
ONT_TR_PE_scaff_626	97	18090104	184801
ONT_TR_PE_scaff_627	3	233313	77081
ONT_TR_PE_scaff_628	139	26589815	191124
ONT_TR_PE_scaff_629	83	10404180	123977
ONT_TR_PE_scaff_630	1344	310350409	230845
ONT_TR_PE_scaff_631	562	127450769	226512
ONT_TR_PE_scaff_632	28	5608830	199104
ONT_TR_PE_scaff_633	202	45201002	222941
ONT_TR_PE_scaff_634	1112	265687096	238854
ONT_TR_PE_scaff_635	4	277680	63138
ONT_TR_PE_scaff_636	653	117540188	179765
ONT_TR_PE_scaff_637	322	69898537	217055
ONT_TR_PE_scaff_638	414	90752021	218871
ONT_TR_PE_scaff_639	1007	276339503	274290
ONT_TR_PE_scaff_640	122	27688981	225966
ONT_TR_PE_scaff_641	192	29237941	151862
ONT_TR_PE_scaff_642	1293	295725882	228636
ONT_TR_PE_scaff_643	24	2205719	90425
ONT_TR_PE_scaff_644	207	52121045	251262
ONT_TR_PE_scaff_645	1	4362	2387
ONT_TR_PE_scaff_646	1423	342393387	240604
ONT_TR_PE_scaff_647	258	68883222	265993
ONT_TR_PE_scaff_648	66	17696348	266710
ONT_TR_PE_scaff_649	166	37777618	227393
ONT_TR_PE_scaff_650	182	38341424	209632
ONT_TR_PE_scaff_651	200	45494756	227080
ONT_TR_PE_scaff_652	358	94083056	262784
ONT_TR_PE_scaff_653	523	121811165	232585
ONT_TR_PE_scaff_654	776	236954424	305216
ONT_TR_PE_scaff_655	227	62662458	275384
ONT_TR_PE_scaff_656	1340	429375173	320270
ONT_TR_PE_scaff_657	828	257939291	311177
ONT_TR_PE_scaff_658	1318	432070028	327675
ONT_TR_PE_scaff_659	282	92299801	326631
ONT_TR_PE_scaff_660	160	50406219	314359
ONT_TR_PE_scaff_661	468	140463170	299745
ONT_TR_PE_scaff_662	629	137944592	219009
ONT_TR_PE_scaff_663	282	82796119	293194
ONT_TR_PE_scaff_664	952	330765654	347308
ONT_TR_PE_scaff_665	595	210086895	352946
ONT_TR_PE_scaff_666	170	56277307	331035
ONT_TR_PE_scaff_667	411	115401530	280410
ONT_TR_PE_scaff_668	388	153669148	395796
ONT_TR_PE_scaff_669	102	24912077	242293
ONT_TR_PE_scaff_670	1	5333	2988
ONT_TR_PE_scaff_671	802	333186391	414991
ONT_TR_PE_scaff_672	80	27179375	338806
ONT_TR_PE_scaff_673	175	67658018	385615
ONT_TR_PE_scaff_674	317	138016565	434927
ONT_TR_PE_scaff_675	638	254320916	398513
ONT_TR_PE_scaff_676	226	88021951	389256
ONT_TR_PE_scaff_677	293	122874722	418732
ONT_TR_PE_scaff_678	59	24614354	413111
ONT_TR_PE_scaff_679	442	201366968	455024
ONT_TR_PE_scaff_680	507	175162949	345172
ONT_TR_PE_scaff_681	693	327058354	471452
ONT_TR_PE_scaff_682	364	171205017	469394
ONT_TR_PE_scaff_683	1242	610806199	491590
ONT_TR_PE_scaff_684	0	5332	7369
ONT_TR_PE_scaff_685	193	90777062	468226
ONT_TR_PE_scaff_686	772	382553747	495470
ONT_TR_PE_scaff_687	364	181745544	498904
ONT_TR_PE_scaff_688	664	341670714	513947
ONT_TR_PE_scaff_689	1088	591177441	542919
ONT_TR_PE_scaff_690	1448	774274653	534455
ONT_TR_PE_scaff_691	793	461391674	581597
ONT_TR_PE_scaff_692	312	149067376	477594
ONT_TR_PE_scaff_693	11	614142	54551
ONT_TR_PE_scaff_694	142	82290602	576693
ONT_TR_PE_scaff_695	301	186282260	617879
ONT_TR_PE_scaff_696	193	123590161	639453
ONT_TR_PE_scaff_697	1108	721887573	651179
ONT_TR_PE_scaff_698	1185	779216088	657074
ONT_TR_PE_scaff_699	587	412516841	701764
ONT_TR_PE_scaff_700	1277	911185498	713185
ONT_TR_PE_scaff_701	289	176550315	608878
ONT_TR_PE_scaff_702	936	679538200	725718
ONT_TR_PE_scaff_703	1165	840575328	721493
ONT_TR_PE_scaff_704	905	560040838	618603
ONT_TR_PE_scaff_705	845	631822310	747197
ONT_TR_PE_scaff_706	197	149586477	758778
ONT_TR_PE_scaff_707	441	349415917	790897
ONT_TR_PE_scaff_708	1004	741810353	738832
ONT_TR_PE_scaff_709	380	308872637	812811
ONT_TR_PE_scaff_710	973	844511696	867545
ONT_TR_PE_scaff_711	1065	849864473	797390
ONT_TR_PE_scaff_712	194	153229150	787308
ONT_TR_PE_scaff_713	985	897268350	910656
ONT_TR_PE_scaff_714	321	298715592	930461
ONT_TR_PE_scaff_715	1181	1127869430	954897
ONT_TR_PE_scaff_716	656	635259871	967117
ONT_TR_PE_scaff_717	1186	1113027769	937767
ONT_TR_PE_scaff_718	198	181810324	916340
ONT_TR_PE_scaff_719	1124	1237500595	1100133
ONT_TR_PE_scaff_720	1045	1152291118	1102527
ONT_TR_PE_scaff_721	13	153023	11658
ONT_TR_PE_scaff_722	1166	1193197170	1022983
ONT_TR_PE_scaff_723	903	1102434433	1220785
ONT_TR_PE_scaff_724	1226	1549617828	1263076
ONT_TR_PE_scaff_725	748	967679527	1292274
ONT_TR_PE_scaff_726	1314	1804305997	1372834
ONT_TR_PE_scaff_727	348	540770261	1553582
ONT_TR_PE_scaff_728	204	318582809	1557014
ONT_TR_PE_scaff_729	507	947724973	1868597
ONT_TR_PE_scaff_730	789	1586291419	2009165
ONT_TR_PE_scaff_731	1110	2432833112	2190032
ONT_TR_PE_scaff_732	533	1209241695	2266230
ONT_TR_PE_scaff_733	614	2418208839	3934902
