Name_of_contig	scaffold_length	ONT_DNA_minimap2	PE_DNA_bowtie2	PE_RNA_hisat2	ONT_RNA_gmap	ONT_RNA_minimap2	GC_percentage
ONT_TR_PE_scaff_082	2545	40	28	4	0	0	36.1	
ONT_TR_PE_scaff_083	2591	1262	589	2088	478	586	47.1	
ONT_TR_PE_scaff_084	2597	292	236	439	32	24	38.1	
ONT_TR_PE_scaff_086	2641	30	27	0	0	0	39.9	
ONT_TR_PE_scaff_090	2771	158	121	34	1	2	32.2	
ONT_TR_PE_scaff_093	2945	25	20	397	5	6	35.9	
ONT_TR_PE_scaff_095	3012	61	32	154	17	8	39.6	
ONT_TR_PE_scaff_096	3037	100	95	0	0	0	32.8	
ONT_TR_PE_scaff_097	3039	74	85	13	0	0	37.4	
ONT_TR_PE_scaff_099	3061	88	133	3	13	6	37.0	
ONT_TR_PE_scaff_100	3078	24	33	3	0	0	36.6	
ONT_TR_PE_scaff_103	3142	393	397	0	11	0	35.6	
ONT_TR_PE_scaff_104	3178	43	61	1	0	0	33.2	
ONT_TR_PE_scaff_105	3192	292	193	350	86	69	50.1	
ONT_TR_PE_scaff_106	3206	58	49	1	0	0	36.0	
ONT_TR_PE_scaff_109	3293	108	89	762	13	14	33.7	
ONT_TR_PE_scaff_113	3364	98	87	12	3	0	36.3	
ONT_TR_PE_scaff_114	3370	629	568	0	49	0	40.0	
ONT_TR_PE_scaff_115	3427	70	79	94	1	0	35.4	
ONT_TR_PE_scaff_116	3443	260	203	0	27	0	33.5	
ONT_TR_PE_scaff_117	3470	780	640	84	11	7	40.9	
ONT_TR_PE_scaff_119	3597	58	66	0	0	0	37.7	
ONT_TR_PE_scaff_121	3628	31	35	2	0	0	36.5	
ONT_TR_PE_scaff_122	3684	65	65	462	33	32	46.1	
ONT_TR_PE_scaff_123	3690	72	68	0	5	1	33.5	
ONT_TR_PE_scaff_129	4101	147	137	0	1	1	33.9	
ONT_TR_PE_scaff_133	4233	40	24	170	0	1	43.2	
ONT_TR_PE_scaff_139	4343	104	69	5	12	0	35.5	
ONT_TR_PE_scaff_140	4482	76	72	1	0	0	35.5	
ONT_TR_PE_scaff_141	4530	67	84	6	4	1	37.0	
ONT_TR_PE_scaff_146	4737	132	208	37	6	0	41.7	
ONT_TR_PE_scaff_149	4863	23	27	0	0	0	39.3	
ONT_TR_PE_scaff_151	4901	20	26	68	2	2	39.0	
ONT_TR_PE_scaff_153	5019	76	83	93	1	5	35.0	
ONT_TR_PE_scaff_154	5048	26	47	266	50	45	38.8	
ONT_TR_PE_scaff_157	5179	28	32	0	0	0	34.3	
ONT_TR_PE_scaff_159	5210	81	116	0	1	0	33.2	
ONT_TR_PE_scaff_160	5211	78	76	1	7	0	34.8	
ONT_TR_PE_scaff_161	5220	83	88	1	0	0	34.3	
ONT_TR_PE_scaff_162	5235	43	55	61	1	1	31.1	
ONT_TR_PE_scaff_163	5244	33	42	0	0	0	42.0	
ONT_TR_PE_scaff_166	5304	147	172	0	1	0	32.4	
ONT_TR_PE_scaff_167	5376	27	25	3	0	0	35.6	
ONT_TR_PE_scaff_169	5413	25	35	20	5	1	41.2	
ONT_TR_PE_scaff_170	5435	50	59	13	0	0	33.7	
ONT_TR_PE_scaff_171	5477	76	74	41	1	0	35.6	
ONT_TR_PE_scaff_172	5501	45	49	0	0	0	41.5	
ONT_TR_PE_scaff_174	5549	116	91	60	9	7	38.0	
ONT_TR_PE_scaff_175	5625	32	29	24	0	0	31.4	
ONT_TR_PE_scaff_176	5627	52	49	2	0	0	36.9	
ONT_TR_PE_scaff_177	5664	105	118	5	0	0	31.1	
ONT_TR_PE_scaff_179	5772	23	30	1	0	0	34.0	
ONT_TR_PE_scaff_181	5849	90	87	13	6	4	35.6	
ONT_TR_PE_scaff_183	5885	29	27	0	1	0	36.2	
ONT_TR_PE_scaff_184	5914	37	28	114	2	2	37.3	
ONT_TR_PE_scaff_185	5972	33	27	10	2	0	38.2	
ONT_TR_PE_scaff_186	5977	25	36	126	6	3	34.9	
ONT_TR_PE_scaff_187	6007	32	28	1007	53	55	37.6	
ONT_TR_PE_scaff_188	6016	39	27	41	1	1	35.5	
ONT_TR_PE_scaff_189	6025	31	31	21	2	2	34.7	
ONT_TR_PE_scaff_190	6074	39	29	0	0	0	45.8	
ONT_TR_PE_scaff_191	6103	26	38	121	1	0	37.1	
ONT_TR_PE_scaff_192	6139	30	37	0	0	0	49.3	
ONT_TR_PE_scaff_193	6156	61	60	466	5	5	35.7	
ONT_TR_PE_scaff_194	6203	48	52	92	1	1	39.2	
ONT_TR_PE_scaff_197	6266	27	24	4	1	0	36.8	
ONT_TR_PE_scaff_198	6277	53	48	0	0	0	34.6	
ONT_TR_PE_scaff_200	6350	67	57	25	4	1	35.5	
ONT_TR_PE_scaff_201	6396	19	22	0	0	0	42.4	
ONT_TR_PE_scaff_207	6739	55	47	47	6	4	40.5	
ONT_TR_PE_scaff_209	6807	40	27	152	12	12	33.2	
ONT_TR_PE_scaff_210	6810	43	55	24	1	1	36.7	
ONT_TR_PE_scaff_211	6822	31	39	1150	4	3	44.6	
ONT_TR_PE_scaff_214	6896	46	59	4	0	0	32.7	
ONT_TR_PE_scaff_216	6980	20	15	0	4	0	41.9	
ONT_TR_PE_scaff_217	6996	68	60	64	0	4	33.8	
ONT_TR_PE_scaff_219	7060	70	69	1	0	0	34.5	
ONT_TR_PE_scaff_221	7087	52	52	143	9	8	37.2	
ONT_TR_PE_scaff_222	7111	37	25	1	0	0	38.1	
ONT_TR_PE_scaff_223	7146	41	48	0	0	0	35.2	
ONT_TR_PE_scaff_225	7287	56	36	0	1	0	36.3	
ONT_TR_PE_scaff_228	7536	45	43	12	0	0	43.8	
ONT_TR_PE_scaff_229	7563	49	57	129	4	3	34.1	
ONT_TR_PE_scaff_230	7565	21	30	6	0	0	35.9	
ONT_TR_PE_scaff_231	7726	32	38	0	0	0	45.5	
ONT_TR_PE_scaff_232	7820	46	49	12	1	0	36.4	
ONT_TR_PE_scaff_233	7919	48	54	2	0	0	34.7	
ONT_TR_PE_scaff_234	7933	84	84	56	3	2	34.6	
ONT_TR_PE_scaff_238	8118	26	22	0	0	0	36.4	
ONT_TR_PE_scaff_239	8146	70	128	10	1	0	41.9	
ONT_TR_PE_scaff_240	8156	48	54	13	2	2	35.8	
ONT_TR_PE_scaff_248	8533	35	50	0	0	0	43.3	
ONT_TR_PE_scaff_249	8673	23	31	97	1	1	34.5	
ONT_TR_PE_scaff_252	8787	30	26	1	0	0	38.4	
ONT_TR_PE_scaff_253	8859	75	81	8	0	0	33.9	
ONT_TR_PE_scaff_256	8910	40	37	0	0	0	33.0	
ONT_TR_PE_scaff_257	9036	41	49	885	11	11	35.0	
ONT_TR_PE_scaff_258	9165	72	78	31	12	7	41.2	
ONT_TR_PE_scaff_259	9199	49	52	3	40	148	35.5	
ONT_TR_PE_scaff_260	9263	48	56	2	0	0	35.6	
ONT_TR_PE_scaff_261	9265	24	28	2	0	0	37.5	
ONT_TR_PE_scaff_264	9357	147	141	60	0	0	35.4	
ONT_TR_PE_scaff_265	9463	27	36	2	0	0	33.6	
ONT_TR_PE_scaff_266	9563	26	28	438	1	2	35.5	
ONT_TR_PE_scaff_269	9729	60	37	30	1	1	34.6	
ONT_TR_PE_scaff_271	9902	28	39	146	3	3	36.1	
ONT_TR_PE_scaff_278	10518	31	29	4	0	0	36.5	
ONT_TR_PE_scaff_280	10654	28	29	263	3	3	36.7	
ONT_TR_PE_scaff_282	10693	35	27	6	5	0	41.5	
ONT_TR_PE_scaff_283	10698	267	173	0	24	0	36.3	
ONT_TR_PE_scaff_284	10739	26	20	9	1	0	33.8	
ONT_TR_PE_scaff_285	10793	62	60	67	13	13	33.3	
ONT_TR_PE_scaff_287	10927	28	28	451	7	7	36.4	
ONT_TR_PE_scaff_289	11050	79	82	6	0	0	35.1	
ONT_TR_PE_scaff_290	11092	52	55	40	2	1	36.6	
ONT_TR_PE_scaff_293	11276	27	26	3	0	0	32.8	
ONT_TR_PE_scaff_300	11669	63	64	0	0	0	35.8	
ONT_TR_PE_scaff_301	11695	72	66	119	4	4	36.2	
ONT_TR_PE_scaff_302	11861	23	31	10	6	2	34.9	
ONT_TR_PE_scaff_304	12007	211	282	0	1	0	32.5	
ONT_TR_PE_scaff_305	12023	73	67	1	1	0	36.5	
ONT_TR_PE_scaff_306	12047	91	76	1	0	0	36.7	
ONT_TR_PE_scaff_307	12063	49	37	11	1	0	34.2	
ONT_TR_PE_scaff_308	12064	57	59	509	18	18	34.0	
ONT_TR_PE_scaff_309	12121	34	26	4	2	3	38.3	
ONT_TR_PE_scaff_311	12227	62	56	1	2	0	40.8	
ONT_TR_PE_scaff_314	12481	52	53	0	0	0	39.2	
ONT_TR_PE_scaff_318	12938	54	52	1	0	0	35.7	
ONT_TR_PE_scaff_320	13018	84	72	79	4	3	34.6	
ONT_TR_PE_scaff_321	13120	107	82	25	4	2	36.5	
ONT_TR_PE_scaff_323	13311	61	53	0	0	0	33.3	
ONT_TR_PE_scaff_326	13763	45	57	383	7	22	34.5	
ONT_TR_PE_scaff_332	14445	26	36	5	1	0	38.9	
ONT_TR_PE_scaff_333	14499	38	44	7	1	0	34.8	
ONT_TR_PE_scaff_337	14795	56	59	2	0	0	33.3	
ONT_TR_PE_scaff_338	14858	24	31	0	0	0	42.4	
ONT_TR_PE_scaff_340	15089	29	27	0	0	0	36.9	
ONT_TR_PE_scaff_341	12489	48	57	449	29	29	35.5	
ONT_TR_PE_scaff_342	15139	79	78	0	0	0	32.9	
ONT_TR_PE_scaff_343	15237	64	67	55	32	30	36.1	
ONT_TR_PE_scaff_344	15347	639	345	0	0	0	35.6	
ONT_TR_PE_scaff_348	16048	34	34	255	2	2	36.5	
ONT_TR_PE_scaff_349	16170	29	26	5	0	0	37.4	
ONT_TR_PE_scaff_350	16492	27	35	28	3	2	34.7	
ONT_TR_PE_scaff_351	16791	28	30	62	12	6	32.3	
ONT_TR_PE_scaff_352	16848	59	72	118	2	2	34.2	
ONT_TR_PE_scaff_353	17030	25	25	0	0	0	47.5	
ONT_TR_PE_scaff_354	17044	27	29	669	6	5	35.0	
ONT_TR_PE_scaff_356	17399	59	66	564	28	30	38.5	
ONT_TR_PE_scaff_357	17889	47	49	24	0	0	37.5	
ONT_TR_PE_scaff_358	17900	53	43	18	0	0	36.7	
ONT_TR_PE_scaff_359	18136	41	44	0	0	0	48.1	
ONT_TR_PE_scaff_360	18476	39	36	0	0	0	28.8	
ONT_TR_PE_scaff_361	18576	56	53	59	1	1	35.9	
ONT_TR_PE_scaff_362	18637	39	49	12	2	1	36.1	
ONT_TR_PE_scaff_368	19472	162	138	2	0	0	38.8	
ONT_TR_PE_scaff_373	18936	662	526	9	91	0	36.8	
ONT_TR_PE_scaff_380	21350	78	50	1	0	0	35.3	
ONT_TR_PE_scaff_383	21380	66	59	2	1	0	35.3	
ONT_TR_PE_scaff_384	21571	27	31	74	7	7	37.6	
ONT_TR_PE_scaff_385	21735	48	46	337	44	24	39.1	
ONT_TR_PE_scaff_386	15230	52	50	31	2	1	36.1	
ONT_TR_PE_scaff_387	22229	32	31	39	2	2	33.0	
ONT_TR_PE_scaff_391	23940	45	42	2	1	0	35.0	
ONT_TR_PE_scaff_393	24028	26	31	69	4	4	35.4	
ONT_TR_PE_scaff_395	24658	57	58	112	236	236	34.1	
ONT_TR_PE_scaff_398	19174	26	34	17	1	0	35.1	
ONT_TR_PE_scaff_402	27308	27	32	1	1	0	34.6	
ONT_TR_PE_scaff_405	27954	93	95	18	4	1	35.1	
ONT_TR_PE_scaff_406	27972	53	58	202	1	1	33.9	
ONT_TR_PE_scaff_409	28448	51	43	88	14	14	34.4	
ONT_TR_PE_scaff_411	28745	38	38	1	0	0	34.2	
ONT_TR_PE_scaff_414	29199	130	105	174	21	15	36.3	
ONT_TR_PE_scaff_419	30080	29	29	1	2	2	33.3	
ONT_TR_PE_scaff_422	31023	34	33	35	1	0	40.0	
ONT_TR_PE_scaff_423	31137	37	33	30	0	0	36.6	
ONT_TR_PE_scaff_424	31246	57	54	1	0	0	35.5	
ONT_TR_PE_scaff_426	32045	34	38	35	0	0	35.3	
ONT_TR_PE_scaff_428	32547	42	32	58	4	2	36.3	
ONT_TR_PE_scaff_429	32850	53	54	0	0	0	37.2	
ONT_TR_PE_scaff_430	33169	35	41	378	8	8	38.2	
ONT_TR_PE_scaff_431	33279	112	104	91	11	10	37.5	
ONT_TR_PE_scaff_432	33329	160	142	66	8	4	37.2	
ONT_TR_PE_scaff_434	34477	107	97	100	3	2	32.3	
ONT_TR_PE_scaff_435	34693	58	53	95	3	2	37.6	
ONT_TR_PE_scaff_448	37805	25	27	6	1	0	39.5	
ONT_TR_PE_scaff_449	37935	81	78	303	34	29	36.9	
ONT_TR_PE_scaff_450	38491	91	79	8	3	1	36.4	
ONT_TR_PE_scaff_457	41396	162	158	755	36	36	39.1	
ONT_TR_PE_scaff_458	22085	95	105	10	1	0	35.9	
ONT_TR_PE_scaff_464	43452	30	29	28	0	0	34.8	
ONT_TR_PE_scaff_465	31044	49	52	55	1	0	35.6	
ONT_TR_PE_scaff_467	21956	67	67	31	1	0	34.9	
ONT_TR_PE_scaff_470	45995	75	74	20	2	2	34.3	
ONT_TR_PE_scaff_471	46611	45	48	108	3	3	36.8	
ONT_TR_PE_scaff_472	21920	55	63	0	0	0	47.8	
ONT_TR_PE_scaff_474	47987	81	73	177	12	6	37.6	
ONT_TR_PE_scaff_475	21312	48	37	8	2	1	34.3	
ONT_TR_PE_scaff_476	48619	116	98	179	8	5	35.2	
ONT_TR_PE_scaff_477	24077	82	86	108	16	14	35.0	
ONT_TR_PE_scaff_478	48841	51	40	38	1	1	40.8	
ONT_TR_PE_scaff_480	49444	48	50	18	2	1	34.1	
ONT_TR_PE_scaff_481	49874	32	28	45	0	0	35.8	
ONT_TR_PE_scaff_482	50285	61	56	7	1	0	34.7	
ONT_TR_PE_scaff_483	50664	33	34	15	1	1	34.1	
ONT_TR_PE_scaff_484	50825	111	108	587	22	21	36.6	
ONT_TR_PE_scaff_485	50882	29	31	49	0	0	35.5	
ONT_TR_PE_scaff_488	52498	47	33	124	7	4	34.2	
ONT_TR_PE_scaff_490	53259	52	58	9	4	2	37.2	
ONT_TR_PE_scaff_491	53737	85	76	631	52	53	38.4	
ONT_TR_PE_scaff_492	54484	67	64	247	20	16	36.1	
ONT_TR_PE_scaff_493	54833	61	56	3	1	0	37.2	
ONT_TR_PE_scaff_494	51396	563	420	247	40	19	39.0	
ONT_TR_PE_scaff_495	30535	32	35	44	1	0	37.2	
ONT_TR_PE_scaff_496	56289	50	53	0	0	0	36.1	
ONT_TR_PE_scaff_498	26793	28	35	29	1	1	33.3	
ONT_TR_PE_scaff_499	57086	77	73	15	2	1	36.5	
ONT_TR_PE_scaff_501	20978	33	20	5	1	1	37.5	
ONT_TR_PE_scaff_502	58015	55	54	91	3	3	36.3	
ONT_TR_PE_scaff_504	59205	106	101	511	139	38	35.4	
ONT_TR_PE_scaff_505	60910	38	35	0	0	0	47.1	
ONT_TR_PE_scaff_506	61475	66	67	111	8	7	35.9	
ONT_TR_PE_scaff_507	61741	104	108	163	20	19	34.7	
ONT_TR_PE_scaff_511	64849	216	129	808	88	76	41.5	
ONT_TR_PE_scaff_512	66442	93	89	134	28	18	36.0	
ONT_TR_PE_scaff_513	66861	52	48	24	5	2	36.3	
ONT_TR_PE_scaff_514	67744	401	338	248	43	13	38.9	
ONT_TR_PE_scaff_516	69989	95	79	831	33	32	39.3	
ONT_TR_PE_scaff_518	70753	61	61	164	3	2	35.2	
ONT_TR_PE_scaff_519	70894	53	55	33	2	1	34.9	
ONT_TR_PE_scaff_520	43363	39	32	15	2	1	35.4	
ONT_TR_PE_scaff_521	71779	109	109	89	3	2	34.8	
ONT_TR_PE_scaff_522	72009	33	9	0	0	0	50.0	
ONT_TR_PE_scaff_523	73147	54	48	148	10	8	36.6	
ONT_TR_PE_scaff_524	73189	77	71	22	1	1	34.6	
ONT_TR_PE_scaff_525	73218	227	83	561	41	40	39.4	
ONT_TR_PE_scaff_527	74820	77	74	65	5	2	36.0	
ONT_TR_PE_scaff_528	75406	66	58	193	14	16	35.7	
ONT_TR_PE_scaff_529	75836	73	54	211	10	9	39.1	
ONT_TR_PE_scaff_530	76791	108	103	977	20	20	38.4	
ONT_TR_PE_scaff_532	77007	136	134	351	20	19	36.9	
ONT_TR_PE_scaff_533	77847	27	34	0	0	0	35.4	
ONT_TR_PE_scaff_541	52137	105	90	2	0	0	35.6	
ONT_TR_PE_scaff_542	85162	50	46	53	6	4	35.9	
ONT_TR_PE_scaff_543	37220	42	42	2	1	0	35.4	
ONT_TR_PE_scaff_545	86862	120	110	12	0	0	33.3	
ONT_TR_PE_scaff_546	87970	101	106	51	3	3	35.1	
ONT_TR_PE_scaff_547	89250	107	101	46	1	1	35.5	
ONT_TR_PE_scaff_548	46574	31	29	0	0	0	34.8	
ONT_TR_PE_scaff_549	90823	110	102	563	65	64	38.2	
ONT_TR_PE_scaff_550	91112	111	104	222	8	8	34.0	
ONT_TR_PE_scaff_551	91990	89	89	3	0	0	38.0	
ONT_TR_PE_scaff_552	93380	53	57	18	0	1	34.7	
ONT_TR_PE_scaff_553	65000	104	97	89	8	4	36.7	
ONT_TR_PE_scaff_556	98824	102	100	246	13	12	34.7	
ONT_TR_PE_scaff_557	49804	42	37	183	21	13	35.0	
ONT_TR_PE_scaff_558	100566	106	88	22	0	0	34.5	
ONT_TR_PE_scaff_559	101746	59	56	43	5	3	35.9	
ONT_TR_PE_scaff_560	101762	32	33	16	0	0	34.6	
ONT_TR_PE_scaff_561	102028	58	45	99	0	0	35.6	
ONT_TR_PE_scaff_562	103762	34	36	59	9	6	33.8	
ONT_TR_PE_scaff_563	69869	108	104	749	27	28	38.1	
ONT_TR_PE_scaff_564	92131	107	107	391	22	22	36.3	
ONT_TR_PE_scaff_565	106951	54	54	0	0	0	35.8	
ONT_TR_PE_scaff_566	109287	91	80	89	19	9	35.8	
ONT_TR_PE_scaff_567	95607	105	86	1592	121	122	45.7	
ONT_TR_PE_scaff_568	110395	210	188	736	42	30	35.0	
ONT_TR_PE_scaff_569	112964	73	69	35	1	1	34.9	
ONT_TR_PE_scaff_570	115250	106	107	2	1	0	34.2	
ONT_TR_PE_scaff_571	72965	80	72	55	13	7	37.4	
ONT_TR_PE_scaff_572	103896	91	85	261	10	10	35.7	
ONT_TR_PE_scaff_573	119236	93	83	321	62	61	35.7	
ONT_TR_PE_scaff_574	122491	78	53	24	3	1	34.4	
ONT_TR_PE_scaff_575	122614	49	45	16	4	2	34.9	
ONT_TR_PE_scaff_576	100608	58	55	5	2	1	37.2	
ONT_TR_PE_scaff_577	122979	226	192	257	26	23	37.5	
ONT_TR_PE_scaff_578	123272	62	49	0	0	0	53.0	
ONT_TR_PE_scaff_579	93386	75	59	0	0	0	48.0	
ONT_TR_PE_scaff_580	122941	94	91	57	3	2	37.7	
ONT_TR_PE_scaff_581	124986	108	98	732	29	29	36.4	
ONT_TR_PE_scaff_582	59591	34	36	192	4	4	38.2	
ONT_TR_PE_scaff_583	128638	40	44	35	4	1	33.6	
ONT_TR_PE_scaff_584	130774	82	81	256	25	25	35.1	
ONT_TR_PE_scaff_585	89847	96	95	3	0	0	35.5	
ONT_TR_PE_scaff_586	131523	73	78	56	12	12	34.1	
ONT_TR_PE_scaff_587	132495	105	99	296	31	29	37.5	
ONT_TR_PE_scaff_588	132523	173	158	862	58	54	35.9	
ONT_TR_PE_scaff_589	56002	36	39	220	5	4	33.8	
ONT_TR_PE_scaff_590	50518	67	70	12	0	0	34.9	
ONT_TR_PE_scaff_591	108105	177	164	187	3	2	35.6	
ONT_TR_PE_scaff_592	134482	89	90	4	0	0	35.9	
ONT_TR_PE_scaff_593	118017	107	104	577	44	41	35.9	
ONT_TR_PE_scaff_594	138446	35	35	24	2	1	36.9	
ONT_TR_PE_scaff_595	142680	120	112	1	0	0	36.6	
ONT_TR_PE_scaff_596	111027	108	105	300	5	5	35.9	
ONT_TR_PE_scaff_597	85597	108	98	1545	92	90	41.7	
ONT_TR_PE_scaff_598	149197	60	57	0	0	0	48.6	
ONT_TR_PE_scaff_599	50161	91	109	12	0	0	33.4	
ONT_TR_PE_scaff_600	151164	72	71	0	0	0	48.4	
ONT_TR_PE_scaff_601	151617	94	88	403	26	26	35.4	
ONT_TR_PE_scaff_603	152873	59	61	0	0	0	49.4	
ONT_TR_PE_scaff_604	103185	109	105	925	51	47	36.5	
ONT_TR_PE_scaff_605	155161	112	108	1335	45	45	35.9	
ONT_TR_PE_scaff_606	155415	104	102	810	58	57	39.1	
ONT_TR_PE_scaff_607	155758	153	129	173	19	8	37.4	
ONT_TR_PE_scaff_608	146815	100	82	526	104	104	36.5	
ONT_TR_PE_scaff_609	106909	110	100	490	65	58	38.3	
ONT_TR_PE_scaff_610	137994	115	105	216	10	9	37.0	
ONT_TR_PE_scaff_611	117964	106	105	634	20	19	35.8	
ONT_TR_PE_scaff_612	79079	106	90	596	124	116	38.7	
ONT_TR_PE_scaff_613	179686	105	89	1248	190	194	43.1	
ONT_TR_PE_scaff_614	185362	95	92	64	5	2	35.0	
ONT_TR_PE_scaff_615	175875	139	136	219	71	62	37.1	
ONT_TR_PE_scaff_616	199895	87	83	376	31	29	36.8	
ONT_TR_PE_scaff_617	200878	105	95	158	20	19	35.2	
ONT_TR_PE_scaff_619	208173	103	97	30	3	3	35.9	
ONT_TR_PE_scaff_620	160943	95	85	578	43	41	38.1	
ONT_TR_PE_scaff_621	208829	113	108	560	39	38	39.4	
ONT_TR_PE_scaff_622	209582	49	46	6	4	1	35.1	
ONT_TR_PE_scaff_623	209882	103	101	963	51	50	39.4	
ONT_TR_PE_scaff_624	214156	99	89	263	16	11	36.7	
ONT_TR_PE_scaff_625	204520	74	70	229	11	11	35.2	
ONT_TR_PE_scaff_626	224216	60	59	81	5	5	35.1	
ONT_TR_PE_scaff_627	189340	106	106	1	0	0	36.0	
ONT_TR_PE_scaff_628	226107	82	76	118	5	4	35.8	
ONT_TR_PE_scaff_629	212281	48	46	49	11	8	34.5	
ONT_TR_PE_scaff_630	233752	116	105	1328	221	214	40.8	
ONT_TR_PE_scaff_631	235458	135	126	541	68	64	36.3	
ONT_TR_PE_scaff_632	237608	90	90	24	1	1	34.3	
ONT_TR_PE_scaff_633	229295	103	93	197	12	8	37.6	
ONT_TR_PE_scaff_634	240819	109	105	1103	73	73	37.7	
ONT_TR_PE_scaff_635	239853	110	104	1	0	0	35.6	
ONT_TR_PE_scaff_636	191052	97	93	615	58	58	36.2	
ONT_TR_PE_scaff_637	249066	110	108	281	11	11	35.0	
ONT_TR_PE_scaff_638	274233	106	100	331	20	19	37.8	
ONT_TR_PE_scaff_639	274290	111	106	1007	74	73	37.6	
ONT_TR_PE_scaff_640	268752	103	101	103	5	4	35.9	
ONT_TR_PE_scaff_641	200215	110	102	146	20	14	37.5	
ONT_TR_PE_scaff_642	230513	109	103	1283	134	132	40.0	
ONT_TR_PE_scaff_643	125873	43	45	18	5	2	34.4	
ONT_TR_PE_scaff_644	275004	101	101	190	11	6	35.7	
ONT_TR_PE_scaff_645	289600	74	77	0	0	0	48.2	
ONT_TR_PE_scaff_646	252610	104	92	1355	92	88	43.4	
ONT_TR_PE_scaff_647	297620	97	91	231	26	13	35.9	
ONT_TR_PE_scaff_648	303601	86	85	58	1	0	34.8	
ONT_TR_PE_scaff_649	304188	161	135	124	12	11	35.6	
ONT_TR_PE_scaff_650	261070	98	95	147	8	6	35.8	
ONT_TR_PE_scaff_651	308251	112	105	148	10	9	35.8	
ONT_TR_PE_scaff_652	266570	111	101	353	42	16	37.1	
ONT_TR_PE_scaff_653	261183	107	100	466	46	44	36.4	
ONT_TR_PE_scaff_654	319917	121	79	741	90	72	39.3	
ONT_TR_PE_scaff_655	321373	159	131	195	19	19	35.3	
ONT_TR_PE_scaff_656	323649	106	99	1327	60	60	41.6	
ONT_TR_PE_scaff_657	324510	119	121	795	51	45	39.3	
ONT_TR_PE_scaff_658	331233	113	112	1304	83	81	37.1	
ONT_TR_PE_scaff_659	332578	92	90	278	17	13	36.6	
ONT_TR_PE_scaff_660	333891	103	98	151	10	9	36.1	
ONT_TR_PE_scaff_661	300949	109	105	467	20	20	36.7	
ONT_TR_PE_scaff_662	351300	106	96	393	73	70	39.6	
ONT_TR_PE_scaff_663	355994	130	109	233	31	29	34.9	
ONT_TR_PE_scaff_664	350193	101	91	945	98	102	37.4	
ONT_TR_PE_scaff_665	367746	98	90	571	33	31	37.4	
ONT_TR_PE_scaff_666	377965	107	105	149	9	9	35.0	
ONT_TR_PE_scaff_667	391022	100	97	295	26	25	36.7	
ONT_TR_PE_scaff_668	406597	105	101	378	24	23	37.4	
ONT_TR_PE_scaff_669	399285	107	104	62	4	4	35.4	
ONT_TR_PE_scaff_670	410327	60	61	0	0	0	48.0	
ONT_TR_PE_scaff_671	421188	109	97	791	49	47	36.7	
ONT_TR_PE_scaff_672	397385	70	68	68	4	2	35.2	
