GID;CHROMOSOME
Avas.s001.g956.i1;1
Avas.s001.g960.i1;1
Avas.s001.g962.i1;1
Avas.s001.g963.i1;1
Avas.s001.g964.i1;1
Avas.s001.g965.i1;1
Avas.s001.g966.i1;1
Avas.s001.g966.i2;1
Avas.s001.g967.i1;1
Avas.s001.g970.i1;1
Avas.s001.g974.i1;1
Avas.s001.g978.i1;1
Avas.s001.g979.i1;1
Avas.s001.g983.i1;1
Avas.s001.g985.i1;1
Avas.s001.g986.i1;1
Avas.s001.g987.i1;1
Avas.s001.g989.i1;1
Avas.s001.g990.i1;1
Avas.s001.g991.i1;1
Avas.s001.g994.i1;1
Avas.s001.g996.i1;1
Avas.s001.g999.i1;1
Avas.s001.g1000.i1;1
Avas.s001.g1001.i1;1
Avas.s001.g1004.i1;1
Avas.s001.g1005.i1;1
Avas.s001.g1007.i1;1
Avas.s001.g1014.i1;1
Avas.s001.g1015.i1;1
Avas.s001.g1017.i1;1
Avas.s001.g1020.i1;1
Avas.s001.g1021.i1;1
Avas.s001.g1025.i1;1
Avas.s001.g1025.i2;1
Avas.s001.g1029.i1;1
Avas.s001.g1030.i1;1
Avas.s001.g1032.i1;1
Avas.s001.g1036.i1;1
Avas.s001.g1037.i1;1
Avas.s001.g1038.i1;1
Avas.s001.g1040.i1;1
Avas.s001.g1043.i1;1
Avas.s001.g1045.i1;1
Avas.s001.g1048.i1;1
Avas.s001.g1049.i1;1
Avas.s001.g1050.i2;1
Avas.s001.g1050.i1;1
Avas.s001.g1052.i1;1
Avas.s001.g1053.i1;1
Avas.s001.g1055.i1;1
Avas.s001.g1056.i1;1
Avas.s001.g1057.i1;1
Avas.s001.g1058.i1;1
Avas.s001.g1060.i1;1
Avas.s001.g1061.i1;1
Avas.s001.g1062.i1;1
Avas.s001.g1063.i1;1
Avas.s001.g1066.i1;1
Avas.s001.g1067.i1;1
Avas.s001.g1068.i1;1
Avas.s001.g1069.i1;1
Avas.s001.g1070.i1;1
Avas.s001.g1071.i1;1
Avas.s001.g1072.i1;1
Avas.s001.g1074.i1;1
Avas.s001.g1075.i1;1
Avas.s001.g1077.i1;1
Avas.s001.g1078.i1;1
Avas.s001.g1082.i1;1
Avas.s001.g1084.i1;1
Avas.s001.g1085.i1;1
Avas.s001.g1086.i1;1
Avas.s001.g1089.i1;1
Avas.s001.g1090.i1;1
Avas.s001.g1088.i1;1
Avas.s001.g1092.i1;1
Avas.s001.g1093.i1;1
Avas.s001.g1094.i1;1
Avas.s001.g1095.i1;1
Avas.s001.g1097.i1;1
Avas.s001.g1099.i1;1
Avas.s001.g1100.i1;1
Avas.s001.g1101.i1;1
Avas.s001.g1103.i1;1
Avas.s001.g1104.i1;1
Avas.s001.g1107.i1;1
Avas.s001.g1108.i1;1
Avas.s001.g1109.i1;1
Avas.s001.g1111.i1;1
Avas.s001.g1112.i1;1
Avas.s001.g1113.i1;1
Avas.s001.g1114.i1;1
Avas.s001.g1115.i1;1
Avas.s001.g1118.i1;1
Avas.s001.g1120.i1;1
Avas.s001.g1125.i1;1
Avas.s001.g1126.i1;1
Avas.s001.g1127.i1;1
Avas.s001.g1128.i1;1
Avas.s001.g1129.i1;1
Avas.s001.g1130.i1;1
Avas.s001.g1132.i1;1
Avas.s001.g1133.i1;1
Avas.s001.g1135.i1;1
Avas.s001.g1136.i1;1
Avas.s001.g1137.i1;1
Avas.s001.g1138.i1;1
Avas.s001.g1141.i1;1
Avas.s001.g1142.i1;1
Avas.s001.g1143.i1;1
Avas.s001.g1144.i1;1
Avas.s001.g1147.i1;1
Avas.s001.g1148.i1;1
Avas.s001.g1149.i1;1
Avas.s001.g1150.i1;1
Avas.s001.g1153.i1;1
Avas.s001.g1154.i1;1
Avas.s001.g1155.i1;1
Avas.s001.g1157.i1;1
Avas.s001.g1158.i1;1
Avas.s001.g1159.i1;1
Avas.s001.g1160.i1;1
Avas.s001.g1161.i1;1
Avas.s001.g1162.i1;1
Avas.s001.g1164.i1;1
Avas.s001.g1166.i1;1
Avas.s001.g1168.i1;1
Avas.s001.g1167.i1;1
Avas.s001.g1169.i1;1
Avas.s001.g1170.i1;1
Avas.s001.g1171.i1;1
Avas.s001.g1173.i1;1
Avas.s001.g1174.i1;1
Avas.s001.g1175.i1;1
Avas.s001.g1176.i1;1
Avas.s001.g1179.i1;1
Avas.s001.g1180.i1;1
Avas.s001.g1181.i1;1
Avas.s001.g1182.i1;1
Avas.s001.g1183.i1;1
Avas.s001.g1185.i1;1
Avas.s001.g1186.i1;1
Avas.s001.g1187.i1;1
Avas.s001.g1188.i1;1
Avas.s001.g1189.i1;1
Avas.s001.g1190.i1;1
Avas.s001.g1192.i1;1
Avas.s001.g1192.i2;1
Avas.s001.g1191.i1;1
Avas.s001.g1193.i1;1
Avas.s001.g1197.i1;1
Avas.s001.g1198.i1;1
Avas.s001.g1199.i1;1
Avas.s001.g1200.i1;1
Avas.s001.g1202.i1;1
Avas.s001.g1203.i1;1
Avas.s001.g1205.i1;1
Avas.s001.g1206.i1;1
Avas.s001.g1207.i1;1
Avas.s001.g1208.i1;1
Avas.s001.g1210.i1;1
Avas.s001.g1211.i1;1
Avas.s001.g1212.i1;1
Avas.s001.g1213.i1;1
Avas.s001.g1213.i2;1
Avas.s001.g1214.i1;1
Avas.s001.g1215.i1;1
Avas.s001.g1216.i1;1
Avas.s001.g1217.i1;1
Avas.s001.g1219.i1;1
Avas.s001.g1221.i1;1
Avas.s001.g1223.i1;1
Avas.s001.g1225.i1;1
Avas.s001.g1228.i1;1
Avas.s001.g1229.i1;1
Avas.s001.g1230.i1;1
Avas.s001.g1231.i1;1
Avas.s001.g1232.i1;1
Avas.s001.g1235.i1;1
Avas.s001.g1237.i1;1
Avas.s001.g1238.i1;1
Avas.s001.g1240.i1;1
Avas.s001.g1241.i1;1
Avas.s001.g1242.i1;1
Avas.s001.g1243.i1;1
Avas.s001.g1244.i1;1
Avas.s001.g1245.i1;1
Avas.s001.g1247.i1;1
Avas.s001.g1249.i1;1
Avas.s001.g1252.i1;1
Avas.s001.g1253.i1;1
Avas.s001.g1255.i1;1
Avas.s001.g1256.i1;1
Avas.s001.g1258.i1;1
Avas.s001.g1259.i1;1
Avas.s001.g1260.i1;1
Avas.s001.g1261.i1;1
Avas.s001.g1267.i1;1
Avas.s001.g1268.i1;1
Avas.s001.g1269.i1;1
Avas.s001.g1270.i1;1
Avas.s001.g1271.i1;1
Avas.s001.g1273.i1;1
Avas.s001.g1274.i1;1
Avas.s001.g1277.i1;1
Avas.s001.g1283.i1;1
Avas.s001.g1284.i1;1
Avas.s001.g1285.i1;1
Avas.s001.g1288.i1;1
Avas.s001.g1289.i1;1
Avas.s001.g1292.i1;1
Avas.s001.g1295.i1;1
Avas.s001.g1296.i1;1
Avas.s001.g1298.i1;1
Avas.s001.g1302.i1;1
Avas.s001.g1303.i1;1
Avas.s001.g1304.i1;1
Avas.s001.g1311.i1;1
Avas.s001.g1312.i1;1
Avas.s001.g1313.i1;1
Avas.s001.g1314.i1;1
Avas.s001.g1315.i1;1
Avas.s001.g1317.i1;1
Avas.s001.g1320.i1;1
Avas.s001.g1321.i1;1
Avas.s001.g1322.i1;1
Avas.s001.g1323.i1;1
Avas.s001.g1323.i2;1
Avas.s001.g1325.i1;1
Avas.s001.g1326.i1;1
Avas.s001.g1329.i1;1
Avas.s001.g1330.i1;1
Avas.s001.g1331.i1;1
Avas.s001.g1334.i1;1
Avas.s001.g1335.i1;1
Avas.s001.g1338.i1;1
Avas.s001.g1339.i1;1
Avas.s001.g1340.i1;1
Avas.s001.g1342.i1;1
Avas.s001.g1343.i1;1
Avas.s001.g1345.i1;1
Avas.s001.g1346.i1;1
Avas.s001.g1347.i1;1
Avas.s001.g1348.i1;1
Avas.s001.g1349.i1;1
Avas.s001.g1351.i1;1
Avas.s001.g1352.i1;1
Avas.s001.g1353.i1;1
Avas.s001.g1354.i1;1
Avas.s001.g1355.i1;1
Avas.s001.g1356.i1;1
Avas.s001.g1358.i1;1
Avas.s001.g1359.i1;1
Avas.s001.g1361.i1;1
Avas.s001.g1362.i1;1
Avas.s001.g1363.i1;1
Avas.s001.g1364.i1;1
Avas.s001.g1365.i1;1
Avas.s001.g1366.i1;1
Avas.s001.g1368.i1;1
Avas.s001.g1369.i1;1
Avas.s001.g1370.i1;1
Avas.s001.g1371.i1;1
Avas.s001.g1372.i1;1
Avas.s001.g1374.i1;1
Avas.s001.g1375.i1;1
Avas.s001.g1378.i1;1
Avas.s001.g1379.i1;1
Avas.s001.g1380.i1;1
Avas.s001.g1381.i1;1
Avas.s001.g1382.i1;1
Avas.s001.g1384.i1;1
Avas.s001.g1387.i1;1
Avas.s001.g1388.i1;1
Avas.s001.g1389.i1;1
Avas.s001.g1391.i1;1
Avas.s001.g1394.i1;1
Avas.s001.g1396.i1;1
Avas.s001.g1397.i3;1
Avas.s001.g1397.i1;1
Avas.s001.g1397.i2;1
Avas.s001.g1404.i1;1
Avas.s001.g1406.i1;1
Avas.s001.g1409.i1;1
Avas.s001.g1410.i1;1
Avas.s001.g1412.i1;1
Avas.s001.g1414.i1;1
Avas.s001.g1418.i1;1
Avas.s001.g1421.i1;1
Avas.s001.g1422.i1;1
Avas.s001.g1424.i1;1
Avas.s001.g1425.i1;1
Avas.s001.g1427.i1;1
Avas.s001.g1428.i1;1
Avas.s001.g1430.i1;1
Avas.s001.g1431.i1;1
Avas.s001.g1432.i1;1
Avas.s001.g1433.i1;1
Avas.s001.g1434.i1;1
Avas.s001.g1435.i1;1
Avas.s001.g1440.i1;1
Avas.s001.g1442.i1;1
Avas.s001.g1447.i2;1
Avas.s001.g1447.i1;1
Avas.s001.g1448.i1;1
Avas.s001.g1450.i1;1
Avas.s001.g1451.i1;1
Avas.s001.g1455.i1;1
Avas.s001.g1456.i1;1
Avas.s001.g1458.i1;1
Avas.s001.g1459.i1;1
Avas.s001.g1460.i1;1
Avas.s001.g1463.i1;1
Avas.s001.g1466.i1;1
Avas.s001.g1467.i1;1
Avas.s001.g1469.i1;1
Avas.s001.g1470.i1;1
Avas.s001.g1471.i1;1
Avas.s001.g1473.i1;1
Avas.s001.g1475.i1;1
Avas.s001.g1476.i1;1
Avas.s001.g1477.i1;1
Avas.s001.g1479.i1;1
Avas.s001.g1480.i1;1
Avas.s001.g1481.i1;1
Avas.s001.g1483.i1;1
Avas.s001.g1484.i1;1
Avas.s001.g1486.i1;1
Avas.s001.g1489.i1;1
Avas.s001.g1489.i2;1
Avas.s001.g1490.i1;1
Avas.s001.g1493.i1;1
Avas.s001.g1494.i1;1
Avas.s001.g1495.i1;1
Avas.s001.g1495.i2;1
Avas.s001.g1497.i1;1
Avas.s001.g1500.i1;1
Avas.s001.g1501.i1;1
Avas.s001.g1502.i1;1
Avas.s001.g1503.i1;1
Avas.s001.g1504.i1;1
Avas.s001.g1505.i1;1
Avas.s001.g1507.i1;1
Avas.s001.g1509.i1;1
Avas.s001.g1509.i2;1
Avas.s001.g1510.i1;1
Avas.s001.g1512.i1;1
Avas.s001.g1516.i1;1
Avas.s001.g1520.i1;1
Avas.s001.g1522.i1;1
Avas.s001.g1523.i1;1
Avas.s001.g1526.i1;1
Avas.s001.g1527.i1;1
Avas.s001.g1529.i1;1
Avas.s001.g1530.i1;1
Avas.s001.g1531.i1;1
Avas.s001.g1532.i1;1
Avas.s001.g1533.i1;1
Avas.s001.g1534.i1;1
Avas.s001.g1535.i1;1
Avas.s001.g1540.i1;1
Avas.s001.g1541.i1;1
Avas.s001.g1543.i1;1
Avas.s001.g1544.i1;1
Avas.s001.g1545.i1;1
Avas.s001.g1546.i1;1
Avas.s001.g1551.i1;1
Avas.s001.g1553.i1;1
Avas.s001.g1555.i1;1
Avas.s001.g1556.i1;1
Avas.s001.g1562.i1;1
Avas.s001.g1563.i1;1
Avas.s001.g1565.i1;1
Avas.s001.g1567.i1;1
Avas.s001.g1568.i1;1
Avas.s001.g1569.i1;1
Avas.s001.g1570.i1;1
Avas.s001.g1571.i1;1
Avas.s001.g1572.i1;1
Avas.s001.g1575.i1;1
Avas.s001.g1576.i1;1
Avas.s001.g1578.i1;1
Avas.s001.g1583.i1;1
Avas.s001.g1591.i1;1
Avas.s001.g1592.i1;1
Avas.s001.g1598.i1;1
Avas.s001.g1599.i1;1
Avas.s001.g1600.i1;1
Avas.s001.g1601.i1;1
Avas.s001.g1602.i1;1
Avas.s001.g1603.i1;1
Avas.s001.g1605.i1;1
Avas.s001.g1606.i1;1
Avas.s001.g1609.i1;1
Avas.s001.g1611.i1;1
Avas.s001.g1615.i1;1
Avas.s001.g1617.i1;1
Avas.s001.g1619.i1;1
Avas.s001.g1620.i1;1
Avas.s001.g1621.i1;1
Avas.s001.g1622.i1;1
Avas.s001.g1624.i1;1
Avas.s001.g1628.i1;1
Avas.s001.g1629.i1;1
Avas.s001.g1630.i1;1
Avas.s001.g1633.i1;1
Avas.s001.g1633.i2;1
Avas.s001.g1635.i1;1
Avas.s001.g1637.i3;1
Avas.s001.g1638.i1;1
Avas.s001.g1639.i1;1
Avas.s001.g1643.i1;1
Avas.s001.g1645.i1;1
Avas.s001.g1646.i1;1
Avas.s001.g1648.i1;1
Avas.s001.g1647.i1;1
Avas.s001.g1650.i1;1
Avas.s001.g1651.i1;1
Avas.s001.g1653.i1;1
Avas.s001.g1654.i1;1
Avas.s001.g1655.i1;1
Avas.s001.g1656.i1;1
Avas.s001.g1657.i1;1
Avas.s001.g1664.i1;1
Avas.s001.g1665.i1;1
Avas.s001.g1666.i1;1
Avas.s001.g1669.i1;1
Avas.s001.g1670.i1;1
Avas.s001.g1674.i1;1
Avas.s001.g1675.i1;1
Avas.s001.g1676.i1;1
Avas.s001.g1678.i1;1
Avas.s001.g1680.i1;1
Avas.s001.g1685.i1;1
Avas.s001.g1687.i1;1
Avas.s001.g1691.i1;1
Avas.s001.g1688.i1;1
Avas.s001.g1695.i1;1
Avas.s001.g1694.i1;1
Avas.s001.g1697.i1;1
Avas.s001.g1699.i1;1
Avas.s001.g1701.i1;1
Avas.s001.g1702.i2;1
Avas.s001.g1702.i1;1
Avas.s001.g1703.i1;1
Avas.s001.g1704.i1;1
Avas.s001.g1705.i1;1
Avas.s001.g1706.i1;1
Avas.s001.g1707.i1;1
Avas.s001.g1715.i1;1
Avas.s001.g1716.i1;1
Avas.s001.g1717.i1;1
Avas.s001.g1718.i1;1
Avas.s001.g1719.i1;1
Avas.s001.g1721.i1;1
Avas.s001.g1722.i1;1
Avas.s001.g1723.i1;1
Avas.s001.g1724.i1;1
Avas.s001.g1725.i1;1
Avas.s001.g1726.i1;1
Avas.s001.g1727.i1;1
Avas.s001.g1728.i1;1
Avas.s001.g1729.i1;1
Avas.s001.g1732.i1;1
Avas.s001.g1735.i1;1
Avas.s001.g1739.i1;1
Avas.s001.g1741.i1;1
Avas.s001.g1743.i1;1
Avas.s001.g1749.i1;1
Avas.s001.g1752.i1;1
Avas.s001.g1753.i1;1
Avas.s001.g1755.i1;1
Avas.s001.g1756.i1;1
Avas.s001.g1757.i1;1
Avas.s001.g1759.i1;1
Avas.s001.g1760.i1;1
Avas.s001.g1761.i1;1
Avas.s001.g1762.i1;1
Avas.s001.g1763.i1;1
Avas.s001.g1764.i1;1
Avas.s001.g1765.i1;1
Avas.s001.g1766.i1;1
Avas.s001.g1768.i1;1
Avas.s001.g1769.i1;1
Avas.s001.g1773.i1;1
Avas.s001.g1776.i1;1
Avas.s001.g1777.i1;1
Avas.s001.g1780.i1;1
Avas.s001.g1782.i1;1
Avas.s001.g1783.i1;1
Avas.s001.g1784.i1;1
Avas.s001.g1785.i1;1
Avas.s001.g1786.i1;1
Avas.s001.g1788.i1;1
Avas.s001.g1789.i1;1
Avas.s001.g1791.i1;1
Avas.s001.g1792.i1;1
Avas.s001.g1793.i1;1
Avas.s001.g1794.i1;1
Avas.s001.g1795.i1;1
Avas.s001.g1797.i1;1
Avas.s001.g1798.i1;1
Avas.s001.g1799.i1;1
Avas.s001.g1800.i1;1
Avas.s001.g1801.i1;1
Avas.s001.g1805.i1;1
Avas.s001.g1807.i1;1
Avas.s001.g1808.i1;1
Avas.s001.g1809.i1;1
Avas.s001.g1810.i1;1
Avas.s001.g1811.i1;1
Avas.s001.g1813.i1;1
Avas.s001.g1814.i1;1
Avas.s001.g1815.i1;1
Avas.s001.g1818.i1;1
Avas.s001.g1819.i1;1
Avas.s001.g1823.i1;1
Avas.s001.g1824.i1;1
Avas.s001.g1825.i1;1
Avas.s001.g1828.i1;1
Avas.s001.g1829.i1;1
Avas.s001.g1833.i1;1
Avas.s001.g1834.i1;1
Avas.s001.g1835.i1;1
Avas.s001.g1836.i1;1
Avas.s001.g1837.i1;1
Avas.s001.g1838.i1;1
Avas.s001.g1841.i1;1
Avas.s001.g1842.i1;1
Avas.s001.g1843.i1;1
Avas.s001.g1845.i1;1
Avas.s001.g1847.i1;1
Avas.s001.g1849.i1;1
Avas.s001.g1851.i1;1
Avas.s001.g1854.i1;1
Avas.s001.g1856.i1;1
Avas.s001.g1858.i1;1
Avas.s001.g1859.i1;1
Avas.s001.g1860.i1;1
Avas.s001.g1861.i1;1
Avas.s001.g1862.i1;1
Avas.s001.g1869.i1;1
Avas.s001.g1870.i1;1
Avas.s001.g1872.i1;1
Avas.s001.g1875.i1;1
