gene_id	Aphrocallistes_vastus	Oopsacas_minuta	Hyalonema_populiferum	Rosella_fibulata	Sympagella_nux	Euplectella_aspergillum	Amphidiscella_abyssalis	Aulocalyx_serialis	Bolosoma_cyanae	Caulophacus_discohexaster	Chaunoplectella_sp	Corbitella_sp	Eurete_sp	Farrea_occa	Farrea_similaris	Lanuginellinae_sp	Regadrella_okinoseana	Saccocalyx_tetractinus	Trychella_sp	Walteria_leuckarti	Amphimedon_queenslandica	Ephydatia_muelleri
108764at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
109109at33208	1	1	0	0.01	1	0.01	0.01	1	0.01	1	0.01	0.01	1	1	0.01	0.01	100	100	1	100	1	1
111730at33208	1	0	0	0	100	1	0.01	1	1	0.01	1	1	0	1	0	0.01	1	1	1	1	1	1
111746at33208	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
114954at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0
115878at33208	1	1	0	0	0.01	1	0.01	100	100	0.01	1	0.01	100	100	0	0.01	1	0.01	100	100	1	100
118209at33208	1	1	0.01	1	1	0.01	1	1	1	1	100	0.01	1	1	0.01	1	1	1	1	1	1	1
119252at33208	1	1	0.01	1	100	0.01	0.01	1	1	1	1	0	1	1	0.01	0.01	1	0.01	1	1	1	1
119591at33208	1	1	0	0.01	100	0	0.01	1	0	0.01	1	0	0.01	1	0	0.01	1	0.01	0.01	0.01	1	1
121127at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
123923at33208	1	1	0	0	0	0	0	0	0	1	0.01	0	1	1	0	0.01	1	0	0.01	0	1	1
124302at33208	1	1	0.01	1	0.01	0	0.01	1	0.01	1	1	0	1	1	0	1	1	0.01	0.01	0.01	1	0
127766at33208	1	1	0	0.01	100	0	0	1	0.01	1	1	0	1	1	0	1	1	0.01	1	1	1	100
129179at33208	1	1	0.01	1	1	0.01	0.01	1	1	1	100	0.01	1	1	0.01	1	1	1	1	1	1	1
130245at33208	1	1	0.01	1	100	0	0.01	1	1	1	100	0	1	1	0	1	1	1	1	1	1	1
130256at33208	1	1	0	0.01	0.01	0	0.01	1	0.01	1	1	0	0.01	0.01	0	0.01	1	0.01	0.01	0.01	1	1
131349at33208	1	1	0	0.01	100	0	0.01	1	1	1	1	0	1	1	0	0.01	1	0.01	1	0.01	1	1
131848at33208	1	1	0.01	1	1	0.01	1	1	1	1	0.01	0.01	1	1	0.01	1	1	0.01	1	1	1	1
132087at33208	1	1	0	1	1	0	0.01	1	1	1	1	1	1	1	0.01	1	1	1	1	100	1	1
134492at33208	1	1	0	0.01	1	0.01	0.01	1	1	1	0.01	0.01	1	1	0.01	1	1	0.01	1	0.01	1	1
135294at33208	1	1	0.01	100	100	0.01	0.01	0.01	0.01	1	0.01	0.01	1	1	0.01	1	1	1	1	0.01	1	1
137383at33208	1	1	0.01	0.01	1	0.01	0.01	1	0.01	0.01	1	0	1	1	0	1	1	0.01	1	0.01	1	1
139188at33208	1	1	0	1	0.01	0	0	1	1	1	0.01	0	1	1	0	0	1	0	1	0.01	0.01	1
143619at33208	1	1	0	100	0.01	0	0.01	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1
143997at33208	1	1	0	0	0	0	0	100	0	100	1	0	1	1	0	1	1	1	1	1	1	100
146671at33208	1	1	0.01	0	100	0	1	0.01	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	100
147873at33208	1	1	0.01	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0.01	1	1	100	0
148067at33208	1	1	0	1	0.01	0	0.01	1	0.01	1	1	0	1	1	0.01	1	1	0.01	1	0.01	1	1
148325at33208	1	1	0.01	1	1	1	1	1	100	1	1	0.01	1	1	0.01	1	1	1	1	1	1	100
152327at33208	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1
152977at33208	1	1	0	1	0.01	0	0.01	1	1	1	0.01	0.01	1	1	0.01	0.01	1	0.01	1	1	1	1
153034at33208	1	1	0	0	1	0	0	0.01	0.01	1	0	0.01	1	1	0	0.01	1	0.01	0.01	0.01	1	1
157109at33208	1	1	0	100	1	0	0.01	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1
157138at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
158845at33208	1	1	1	0.01	1	0.01	0.01	1	0.01	1	1	0.01	1	1	0	1	1	0.01	1	1	1	1
158962at33208	1	1	0	0.01	0.01	0.01	0.01	1	1	1	0	0.01	1	1	0	0.01	1	0	1	0.01	1	1
162821at33208	1	1	0.01	1	100	0.01	0.01	1	1	1	1	0.01	1	1	0.01	100	1	0.01	1	1	1	100
164767at33208	1	1	0	100	0.01	0	0	0.01	0.01	0.01	0.01	0	1	1	0	0.01	1	0	0.01	0.01	1	1
166097at33208	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.01	0	0.01	0.01	0	0
168850at33208	1	1	0	100	100	1	0.01	1	1	100	1	0.01	100	100	0.01	1	1	0.01	1	100	1	1
168924at33208	1	1	0.01	1	1	0	0.01	1	1	1	1	1	1	1	0.01	1	1	1	100	1	1	0.01
169864at33208	1	1	0	0	1	0	0	1	100	1	0.01	0	1	1	0	0.01	1	0	100	0.01	1	1
172677at33208	1	1	0.01	1	0.01	0.01	1	1	1	1	100	0.01	1	1	0.01	1	1	1	1	1	1	1
176247at33208	1	1	0.01	0	1	0.01	0	1	100	0.01	1	0	1	1	0.01	0.01	1	1	1	1	1	1
177718at33208	1	1	0	1	0.01	0	0	0.01	0.01	0.01	1	0	1	1	0	0.01	1	0	0.01	0.01	100	0
177858at33208	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1
178537at33208	1	1	0.01	1	1	0.01	0.01	1	1	1	1	0.01	1	1	0.01	1	1	1	1	0.01	1	1
179485at33208	1	1	0	100	1	1	0	1	1	1	100	0	1	1	0	1	1	1	1	1	1	1
180808at33208	1	1	0	1	100	1	0.01	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1	1	1	1
182834at33208	0	1	0	0	100	0.01	0	1	1	1	1	0	1	1	0.01	1	1	0.01	1	1	0.01	1
184508at33208	1	0.01	0.01	100	100	1	1	1	1	1	100	1	1	1	1	1	100	1	1	1	1	1
184717at33208	1	1	0	1	1	1	0.01	1	1	1	1	0.01	1	1	0	0.01	100	0.01	1	1	1	100
186208at33208	1	1	0.01	1	0.01	0	0	1	0.01	0.01	1	0.01	1	1	0	0.01	1	0.01	1	0.01	1	1
186707at33208	0	1	0	1	100	0	1	1	1	1	100	1	1	1	0	1	1	1	1	1	1	1
187280at33208	1	1	0	100	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1
189414at33208	1	1	0	1	100	0	0.01	1	1	1	0.01	0	1	100	0	1	1	0.01	1	0	0.01	1
190726at33208	1	0.01	0.01	1	1	0.01	1	1	1	1	1	1	1	1	1	1	1	1	1	100	1	1
191938at33208	1	1	0	1	100	0.01	0	0.01	1	1	1	0	1	1	0	1	1	0	1	0.01	1	1
192250at33208	1	1	0	1	100	0.01	1	1	1	1	1	1	1	1	0.01	1	1	0.01	1	0.01	1	1
194754at33208	1	1	0	1	1	0.01	1	100	1	100	100	1	1	1	0.01	100	1	1	1	1	1	0
195986at33208	1	1	0.01	1	0.01	0.01	0.01	1	1	1	1	0.01	1	1	0	1	1	1	1	1	1	1
196950at33208	1	1	0	0	1	0	0	0.01	0.01	0.01	0	0	0.01	1	0	0.01	1	0	0	0.01	1	1
197549at33208	1	1	0	1	0.01	0	0	1	1	1	1	0	0.01	0.01	0	1	1	0	1	1	1	1
197652at33208	1	1	0	0.01	1	0	0.01	1	1	1	0.01	0	1	1	0	1	1	1	1	1	100	1
200997at33208	1	1	0	1	1	0	0	1	0	1	0.01	0	1	0.01	0	1	1	0	0.01	1	1	1
201397at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
202545at33208	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0.01	0.01	0.01	1	100
203128at33208	100	1	0	0.01	1	0.01	0.01	1	1	0.01	0.01	0	100	1	0	0.01	100	0.01	1	0.01	1	100
203698at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
205220at33208	1	1	0	1	1	0	0.01	1	1	1	1	0	1	100	0	1	1	1	100	1	100	1
206786at33208	1	1	0	1	1	0	0	1	0.01	1	1	0	100	100	0.01	1	1	0	1	1	1	1
206858at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
207599at33208	1	1	0	100	1	0.01	1	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1
208219at33208	1	1	0.01	1	1	0	1	100	1	100	100	0.01	1	100	1	100	100	1	1	100	0.01	1
210614at33208	1	1	0	1	1	0.01	0.01	100	1	100	1	0	1	1	0.01	1	1	1	1	1	1	1
212972at33208	1	1	0	0.01	1	0	0.01	1	0.01	1	1	0	1	100	0	1	100	0	100	1	1	1
214788at33208	1	1	0	1	1	0	0	1	0.01	1	1	0	1	1	0	1	1	0	1	1	1	0
215654at33208	1	1	0.01	1	1	1	0.01	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1
216257at33208	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0
216563at33208	1	1	0	1	1	1	0.01	1	1	1	1	0.01	1	1	0	1	1	1	1	1	1	1
218441at33208	1	1	0.01	1	1	0.01	0.01	1	1	1	1	0.01	1	1	0.01	1	1	1	1	1	1	100
219795at33208	1	1	0.01	1	0.01	0.01	0.01	1	0.01	1	1	0.01	1	1	0.01	1	100	0.01	0.01	1	1	1
219856at33208	1	1	0	1	1	0	0.01	1	1	1	1	0.01	1	1	1	1	1	1	1	100	1	1
222489at33208	1	0.01	0	1	1	0.01	1	1	0.01	1	1	0.01	1	1	0	1	100	0.01	1	1	1	1
223234at33208	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.01
224280at33208	1	1	1	1	1	0	0.01	1	1	1	1	0.01	1	1	0.01	1	1	1	1	1	1	0
226335at33208	1	1	0.01	1	1	0.01	1	1	1	1	1	0.01	1	1	0.01	1	100	1	1	100	1	1
226941at33208	1	1	0	1	1	0	0	1	1	1	1	0.01	1	1	0	1	100	0.01	1	1	1	1
227087at33208	1	1	0	1	1	0	0.01	1	1	1	1	0.01	1	1	0	1	1	0.01	1	1	1	0
227453at33208	1	1	0	1	0.01	0	0	1	0.01	1	1	0	0.01	1	0	1	1	0	1	100	1	100
227979at33208	1	1	0.01	1	0.01	0	1	1	0.01	1	1	0.01	1	1	0.01	0.01	1	1	1	0.01	0.01	1
231157at33208	1	1	0	1	1	0.01	0	1	1	1	1	0	100	1	0	1	100	0.01	1	1	1	0
231700at33208	0	1	0	0	0	0	0	0.01	1	0.01	1	0.01	0	0	0	0.01	1	0.01	1	0.01	1	100
234290at33208	100	1	100	1	1	1	0.01	1	1	1	1	0.01	1	1	1	1	1	1	1	100	1	1
235149at33208	1	1	0	1	1	1	0.01	1	1	100	1	0	1	1	0.01	1	1	1	1	1	1	0
235430at33208	1	1	0	1	1	0	0.01	1	1	1	1	0	1	1	0	0.01	1	0	1	1	1	1
235458at33208	1	0.01	0	0	1	0	0.01	0.01	1	1	1	0	1	1	0	1	1	0.01	1	0.01	1	100
239016at33208	1	1	0	0.01	1	0.01	0	1	1	1	1	0	1	1	0.01	1	1	0.01	1	1	0.01	1
239149at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239597at33208	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	100	1	1
240437at33208	1	1	0	1	1	1	1	1	1	1	100	1	1	100	0	100	1	0.01	1	0.01	1	0.01
244863at33208	1	1	0	0	0.01	0	0	0	0	0.01	0.01	0	1	1	0	100	100	0.01	0.01	0	1	100
245482at33208	1	1	0	0.01	100	1	0.01	1	1	1	100	1	1	1	0	1	1	0	1	1	100	100
245567at33208	1	1	0	0.01	1	0.01	0	1	0.01	0.01	0.01	0.01	1	1	0	0	1	0.01	0.01	0.01	1	1
246241at33208	1	0.01	0	1	1	1	1	100	1	1	1	0.01	1	1	0.01	1	1	1	1	1	1	1
247183at33208	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1
247905at33208	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
249486at33208	1	1	0	0	0.01	0	0.01	1	1	1	1	0.01	1	1	0.01	0.01	1	0.01	1	1	1	1
251076at33208	0	0	0	0	0	0	0	0.01	0.01	0	1	0	1	0	0	0	0	0	0	0	1	1
251577at33208	1	1	0	1	1	1	0.01	100	1	1	100	0.01	1	1	0.01	1	1	1	1	100	1	0.01
255117at33208	1	1	0.01	1	100	0	0	1	0.01	100	100	0	100	100	0	100	1	0.01	1	0.01	1	1
255242at33208	1	1	0	0	0.01	0	0	1	1	100	0	0	1	1	0	1	0	0	1	0.01	1	1
255924at33208	1	1	0	0	100	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	100	1
257141at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
257339at33208	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	100
259581at33208	0	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	100
260752at33208	1	1	0	0.01	0	0.01	0	0.01	0.01	1	0.01	0	100	1	0	1	1	0	100	0.01	1	0
261284at33208	1	1	0.01	1	0.01	0.01	0.01	1	0.01	1	1	0	1	1	0.01	1	1	0.01	1	1	1	0.01
261614at33208	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0
262757at33208	1	1	0	0.01	100	0	0.01	1	100	1	1	0	1	1	0	1	100	1	1	1	1	1
266460at33208	1	1	0	1	1	1	1	100	1	100	100	1	100	1	0.01	100	100	0.01	100	100	1	0
266469at33208	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1
266808at33208	1	1	0.01	1	1	1	0	1	1	1	1	1	1	1	0	1	100	1	1	1	1	1
267439at33208	1	1	0.01	1	100	1	0.01	1	1	100	100	0.01	1	1	0.01	1	100	1	1	1	1	1
268134at33208	100	1	0.01	1	1	1	100	1	100	1	1	1	100	100	1	1	100	1	100	1	100	100
268397at33208	1	0.01	0	0	1	0	0	0.01	0	1	0	0	1	1	0.01	0.01	1	0	1	0	1	1
270594at33208	1	1	0	0	1	0	0.01	1	1	1	1	0	1	1	0	1	1	1	1	0.01	1	1
271297at33208	1	1	0	1	1	1	0	100	100	100	100	0	100	1	0	1	100	0.01	100	100	1	1
271742at33208	1	1	0	100	1	0.01	0	100	1	100	100	0.01	1	1	0	1	100	0.01	1	1	0	1
272605at33208	0	1	0	0	0	0	0	0.01	0	0	0	0	0	1	0	0	0	0	0	1	0.01	1
273040at33208	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	100	100
273367at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1
273989at33208	1	1	0	0	0.01	0	0	1	1	1	0.01	0	1	1	0	1	1	0	100	0.01	1	0.01
274044at33208	1	1	0.01	1	1	0.01	0.01	1	1	1	100	0.01	1	1	0	0.01	100	1	1	0.01	1	1
274064at33208	1	1	0	1	0	0	1	1	1	1	100	0.01	1	1	0	1	1	0.01	100	1	1	0.01
274769at33208	1	1	0.01	100	1	0.01	0.01	1	0.01	1	1	0.01	1	0.01	0	1	1	0	100	1	1	1
274992at33208	1	1	0.01	1	1	1	1	1	1	1	1	1	100	1	0.01	1	1	1	1	100	1	1
277935at33208	1	1	0	0	1	0	1	1	1	1	1	0.01	1	1	0	1	1	1	1	0.01	1	1
278227at33208	1	1	0.01	0.01	100	0.01	1	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1
279631at33208	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1
279992at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
280914at33208	1	1	0	1	1	0.01	0.01	1	1	1	1	0.01	1	1	0	1	100	1	1	100	1	0
281304at33208	1	1	0	0	1	0	0	100	100	0.01	100	1	100	100	0	1	1	0.01	100	1	1	1
281693at33208	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1
283637at33208	1	0.01	0.01	0.01	1	1	1	1	1	1	1	0.01	1	1	0	1	1	0.01	1	1	1	0.01
284059at33208	1	1	0	0.01	1	0.01	1	1	1	1	100	0.01	1	1	1	1	1	0.01	1	1	1	0
285146at33208	1	1	0	0.01	0.01	0	0.01	1	1	1	1	0.01	1	1	0	1	100	0.01	1	0.01	0.01	1
285902at33208	1	1	0.01	1	0.01	0	0.01	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	0
285966at33208	1	1	0.01	0.01	100	0.01	1	0.01	1	1	0.01	0	1	1	0	1	1	0.01	1	1	100	1
286553at33208	1	1	0.01	1	0.01	0	0	1	1	1	1	0.01	1	1	0.01	1	1	0	1	0.01	1	0.01
289235at33208	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
289928at33208	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	100	100	1	1	1	1	1
291505at33208	1	1	0.01	1	100	0.01	1	1	1	1	1	0.01	1	1	0.01	1	100	1	1	1	1	1
291875at33208	1	1	0.01	0.01	0.01	0.01	0.01	1	1	1	1	0	1	1	0	1	1	0.01	1	0.01	100	1
295556at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
295775at33208	1	1	0	0	1	0.01	0	0.01	1	1	0.01	0	1	0.01	0	0	1	0.01	1	0.01	1	1
300303at33208	1	1	0	100	0	0	1	1	1	1	1	0	1	1	0.01	100	1	0.01	1	1	1	0.01
301572at33208	1	1	0.01	100	1	1	0.01	1	1	100	1	0	1	1	0	1	100	0.01	1	1	1	1
302186at33208	1	1	0	0.01	0.01	0	0	0.01	0.01	0.01	0	0	1	1	0	0.01	100	0	1	0.01	1	0
302279at33208	1	1	0	100	1	0	0	1	1	1	0.01	0	1	1	0	1	0.01	0.01	1	0.01	1	0
302921at33208	1	1	0	0	0.01	0	0	1	0.01	0.01	1	0	0.01	1	0	0.01	0.01	0	0.01	0.01	1	1
303117at33208	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1
304388at33208	1	1	0	1	1	0	0	1	100	1	1	1	1	100	0	1	1	0	1	1	1	0
305260at33208	1	1	0	0.01	0.01	0.01	0.01	1	0.01	1	0.01	0.01	1	1	0	1	1	0	1	0.01	1	100
306101at33208	1	1	0	0	1	1	0.01	1	1	1	100	1	1	1	0.01	1	1	0.01	1	100	1	1
307109at33208	0	0	0.01	0	0	0	0	0	0.01	1	1	0	0.01	1	0	0.01	1	0	1	0	0	0
308610at33208	1	0	0	1	1	1	1	100	1	1	1	1	1	1	1	100	1	1	100	1	1	0.01
311438at33208	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0
311758at33208	1	1	0	1	1	0.01	0.01	1	1	1	0.01	0.01	1	1	0.01	1	1	1	1	1	1	0.01
311761at33208	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0.01	1	1
312577at33208	1	1	0	0	1	0	0.01	1	1	1	1	0	1	1	0.01	1	1	0.01	1	1	1	1
313091at33208	1	1	0	0.01	1	0.01	0	1	1	1	1	0	1	1	0.01	1	1	0.01	1	0.01	1	1
315044at33208	1	1	0	0.01	1	0.01	1	1	1	1	1	0.01	1	1	0	0.01	1	0.01	1	1	1	0.01
315393at33208	1	1	0	0.01	0.01	0.01	0	1	1	0.01	1	0	1	1	0	1	1	0.01	1	100	1	1
317470at33208	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0
318483at33208	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0
318532at33208	1	1	1	100	1	0.01	1	100	1	1	100	0.01	0.01	1	0	1	1	1	1	100	1	1
319574at33208	1	1	0	0	100	0.01	1	100	1	1	100	0	1	1	0	1	1	1	1	1	1	1
320390at33208	1	1	0	1	1	1	0.01	1	1	1	1	0.01	100	1	0.01	1	100	1	1	1	1	1
321332at33208	1	1	0	0.01	1	0	0	1	1	1	0.01	0.01	1	1	0.01	1	1	1	1	1	1	1
323399at33208	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1
323473at33208	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1
324249at33208	1	1	0	0.01	0	0.01	0	1	1	100	1	0.01	1	1	0.01	100	1	0	1	100	1	0.01
325183at33208	1	1	0.01	1	1	1	1	100	1	100	100	1	1	1	0.01	100	100	1	1	100	1	1
327301at33208	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	1	1
331112at33208	0	1	0	1	1	0	0	1	0	1	100	0	0	0	0	0	0	0	0	0	1	1
331186at33208	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0
332870at33208	1	100	0	0	100	1	0.01	1	100	1	1	0	1	100	0.01	1	100	0.01	100	1	1	1
333062at33208	1	1	0.01	1	1	1	0.01	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1	100	1	100
333800at33208	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0	0.01	0	0
334272at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1
334331at33208	1	1	0.01	0.01	0.01	0.01	0.01	0.01	1	100	0.01	0.01	1	1	0	1	1	0.01	0	0.01	1	1
334336at33208	1	1	0.01	1	0.01	0	0.01	1	0.01	1	1	0.01	1	1	0	1	1	0.01	1	1	1	1
334342at33208	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0.01	1	1	1	1	1	1	1
334764at33208	1	1	0	1	1	1	1	1	1	0.01	1	0.01	1	1	0	0.01	1	0.01	1	100	1	0
334820at33208	1	1	0.01	1	1	1	1	1	1	1	1	0.01	100	1	0	1	1	1	1	1	1	1
335107at33208	1	1	0	0.01	1	1	1	100	1	1	100	1	100	1	1	1	1	1	1	100	1	1
336647at33208	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
338191at33208	1	1	0.01	1	0.01	1	0.01	1	1	100	1	0.01	1	100	0	1	1	1	1	1	1	100
338482at33208	1	1	0	100	0	0	0	1	1	1	1	0	1	100	0	1	100	0	100	1	1	1
339127at33208	1	1	0	1	0.01	1	0.01	100	1	1	1	0	1	1	0.01	1	1	0.01	1	0.01	1	0.01
339319at33208	1	1	0	1	1	0.01	1	1	1	1	1	0.01	1	1	1	1	100	1	1	1	1	1
340558at33208	1	1	0.01	1	1	0.01	1	1	1	1	1	0.01	1	1	0	1	100	1	1	1	1	1
340577at33208	1	1	0	0.01	1	1	1	1	1	1	1	0	1	1	0.01	1	1	1	1	1	0.01	0
344338at33208	1	1	0	100	1	0	1	100	100	100	100	1	1	1	1	100	1	1	100	100	1	100
344346at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344442at33208	1	1	0.01	100	0.01	0	0.01	1	1	1	1	0	1	1	0.01	1	1	0.01	1	1	1	1
344581at33208	1	1	0	1	1	1	1	100	1	1	100	100	1	1	0	1	1	1	1	1	1	1
344611at33208	1	1	0	100	1	0	0.01	1	1	1	1	0	1	100	0.01	1	1	1	1	1	1	1
345099at33208	1	1	0	100	0.01	0.01	0.01	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	0.01	1	100
345959at33208	1	1	0.01	0	1	0	0	1	0.01	1	0	0	1	1	0	0.01	0.01	0	1	0.01	1	0
