FeoB_N               PF02421.18   156 Avas.s022.g383.i1    -            523    0.0085   15.6   0.2   1   2     0.001       2.6    7.6   0.2     2    25    19    42    18   127 0.69 Ferrous iron transport protein B
FeoB_N               PF02421.18   156 Avas.s022.g383.i1    -            523    0.0085   15.6   0.2   2   2      0.11   2.8e+02    1.0   0.0    49    67   322   340   310   356 0.78 Ferrous iron transport protein B
SRPRB                PF09439.10   181 Avas.s022.g383.i1    -            523    0.0089   15.5   0.8   1   2   9.5e-06     0.024   14.1   0.1     4   105    18   146    15   161 0.69 Signal recognition particle receptor beta subunit
SRPRB                PF09439.10   181 Avas.s022.g383.i1    -            523    0.0089   15.5   0.8   2   2       1.6     4e+03   -2.9   0.1    25    46   413   436   405   442 0.71 Signal recognition particle receptor beta subunit
RsgA_GTPase          PF03193.16   167 Avas.s022.g383.i1    -            523     0.022   14.6   0.2   1   3   5.2e-05      0.13   12.1   0.0    92   143    10    81     2   100 0.64 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g383.i1    -            523     0.022   14.6   0.2   2   3       2.3   5.9e+03   -3.0   0.0    48    63   154   169   115   184 0.68 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g383.i1    -            523     0.022   14.6   0.2   3   3      0.71   1.8e+03   -1.3   0.0    17    51   199   233   198   301 0.79 RsgA GTPase
Dynamin_N            PF00350.23   168 Avas.s022.g383.i1    -            523      0.44   10.6   3.1   1   3    0.0051        13    5.8   0.5     2    22    21    41    20    50 0.89 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g383.i1    -            523      0.44   10.6   3.1   2   3      0.14   3.6e+02    1.1   0.0    96   115    79    98    48   139 0.67 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g383.i1    -            523      0.44   10.6   3.1   3   3     0.082   2.1e+02    1.9   0.0    59    97   276   314   244   328 0.81 Dynamin family
AIG1                 PF04548.16   212 Avas.s022.g413.i1    -            523   1.6e-14   53.7   1.1   1   2   1.8e-13   4.5e-10   39.2   0.1     2   179    19   223    18   247 0.69 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g413.i1    -            523   1.6e-14   53.7   1.1   2   2   2.5e-05     0.064   12.6   0.1   113   204   339   428   272   435 0.69 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g413.i1    -            523   2.3e-06   27.7   0.0   1   1     2e-09   5.1e-06   26.5   0.0     2    90    20   134    19   160 0.64 50S ribosome-binding GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g413.i1    -            523     0.027   14.4   0.1   1   3   0.00016      0.42   10.5   0.0    93   137    11    75     2   100 0.63 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g413.i1    -            523     0.027   14.4   0.1   2   3       3.4   8.6e+03   -3.5   0.0    49    63   155   169   132   182 0.70 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g413.i1    -            523     0.027   14.4   0.1   3   3      0.17   4.3e+02    0.7   0.0    17    51   199   233   197   303 0.80 RsgA GTPase
Septin               PF00735.18   281 Avas.s022.g413.i1    -            523      0.03   13.6   0.0   1   1   2.6e-05     0.066   12.5   0.0     2    75    15    97    14   111 0.72 Septin
Dynamin_N            PF00350.23   168 Avas.s022.g413.i1    -            523     0.046   13.8   0.5   1   3    0.0046        12    5.9   0.1     2    22    21    41    20    49 0.89 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g413.i1    -            523     0.046   13.8   0.5   2   3     0.082   2.1e+02    1.9   0.0    98   143    81   129    56   144 0.72 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g413.i1    -            523     0.046   13.8   0.5   3   3     0.073   1.9e+02    2.0   0.0    59    98   276   315   244   328 0.81 Dynamin family
SRPRB                PF09439.10   181 Avas.s022.g413.i1    -            523     0.072   12.5   0.7   1   2   7.9e-05       0.2   11.1   0.0     4    86    18   125    15   159 0.66 Signal recognition particle receptor beta subunit
SRPRB                PF09439.10   181 Avas.s022.g413.i1    -            523     0.072   12.5   0.7   2   2       1.8   4.6e+03   -3.2   0.1    25    45   413   435   405   440 0.69 Signal recognition particle receptor beta subunit
FeoB_N               PF02421.18   156 Avas.s022.g413.i1    -            523      0.14   11.6   0.1   1   3    0.0086        22    4.5   0.0     2    24    19    41    18    47 0.86 Ferrous iron transport protein B
FeoB_N               PF02421.18   156 Avas.s022.g413.i1    -            523      0.14   11.6   0.1   2   3     0.056   1.4e+02    1.9   0.0    40    74    77   116    68   127 0.74 Ferrous iron transport protein B
FeoB_N               PF02421.18   156 Avas.s022.g413.i1    -            523      0.14   11.6   0.1   3   3      0.14   3.6e+02    0.6   0.0    48    66   321   339   310   355 0.78 Ferrous iron transport protein B
AIG1                 PF04548.16   212 Avas.s022.g356.i1    -            454     1e-06   28.3   0.1   1   2    0.0017        31    3.8   0.0   113   157   119   162   110   185 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g356.i1    -            454     1e-06   28.3   0.1   2   2   4.7e-09   8.4e-05   22.0   0.3    67   202   221   356   207   366 0.77 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g496.i1    -            533   1.5e-13   50.5   8.4   1   2   1.4e-11   1.2e-07   31.2   2.6     2   180    29   238    28   250 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g496.i1    -            533   1.5e-13   50.5   8.4   2   2   1.3e-08   0.00011   21.6   0.3    67   202   300   435   286   445 0.77 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g496.i1    -            533   1.9e-05   24.7   0.0   1   2   7.4e-09   6.6e-05   23.0   0.0     2    99    30   151    29   172 0.62 50S ribosome-binding GTPase
MMR_HSR1             PF01926.23   114 Avas.s022.g496.i1    -            533   1.9e-05   24.7   0.0   2   2      0.87   7.8e+03   -3.0   0.0     9    14   183   188   182   231 0.75 50S ribosome-binding GTPase
AIG1                 PF04548.16   212 Avas.s022.g366.i1    -            383     1e-07   31.5   4.2   1   2   2.5e-06     0.044   13.1   0.3    88   179     7   110     2   124 0.72 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g366.i1    -            383     1e-07   31.5   4.2   2   2   2.3e-08   0.00042   19.7   0.4    81   206   187   312   168   319 0.71 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g499.i1    -            527     2e-16   59.9   4.4   1   2   2.1e-15   1.9e-11   43.7   0.4     3   179    18   224    16   238 0.77 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g499.i1    -            527     2e-16   59.9   4.4   2   2   3.4e-07    0.0031   16.9   0.3    77   206   297   427   282   435 0.71 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g499.i1    -            527   0.00012   22.1   0.0   1   1   3.5e-08   0.00032   20.8   0.0     3    86    19   126    17   161 0.63 50S ribosome-binding GTPase
AIG1                 PF04548.16   212 Avas.s050.g11.i1     -            527     2e-16   59.9   4.4   1   2   2.1e-15   1.9e-11   43.7   0.4     3   179    18   224    16   238 0.77 AIG1 family
AIG1                 PF04548.16   212 Avas.s050.g11.i1     -            527     2e-16   59.9   4.4   2   2   3.4e-07    0.0031   16.9   0.3    77   206   297   427   282   435 0.71 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s050.g11.i1     -            527   0.00012   22.1   0.0   1   1   3.5e-08   0.00032   20.8   0.0     3    86    19   126    17   161 0.63 50S ribosome-binding GTPase
AIG1                 PF04548.16   212 Avas.s025.g159.i1    -            283   7.3e-11   41.8   1.7   1   1   1.7e-13   3.1e-10   39.8   1.7     3   161    18   206    16   225 0.71 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s025.g159.i1    -            283     7e-07   29.3   0.0   1   1   5.8e-10     1e-06   28.8   0.0     3    58    19    92    17   198 0.70 50S ribosome-binding GTPase
Gtr1_RagA            PF04670.12   232 Avas.s025.g159.i1    -            283   0.00068   19.1   0.1   1   1   4.8e-07   0.00086   18.7   0.1     3   152    19   194    17   228 0.76 Gtr1/RagA G protein conserved region
AAA_15               PF13175.6    369 Avas.s025.g159.i1    -            283    0.0022   17.8   6.1   1   1   1.7e-06     0.003   17.3   6.1    20   178    13   254     9   267 0.76 AAA ATPase domain
RsgA_GTPase          PF03193.16   167 Avas.s025.g159.i1    -            283    0.0049   16.8   0.3   1   2   1.3e-05     0.023   14.6   0.1   100   135    16    52     8    59 0.86 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s025.g159.i1    -            283    0.0049   16.8   0.3   2   2      0.76   1.4e+03   -0.9   0.0    49    73   156   180   134   193 0.77 RsgA GTPase
PduV-EutP            PF10662.9    143 Avas.s025.g159.i1    -            283     0.032   14.0   0.0   1   1   4.3e-05     0.076   12.8   0.0     3    34    17    48    15    54 0.88 Ethanolamine utilisation - propanediol utilisation
AAA_29               PF13555.6     61 Avas.s025.g159.i1    -            283     0.033   13.9   0.0   1   1   3.8e-05     0.068   12.9   0.0    18    38    13    31     7    33 0.79 P-loop containing region of AAA domain
Septin               PF00735.18   281 Avas.s025.g159.i1    -            283     0.037   13.3   0.0   1   1   3.9e-05      0.07   12.4   0.0     3    76    14    94    12   111 0.64 Septin
ABC_tran             PF00005.27   137 Avas.s025.g159.i1    -            283      0.27   11.7   1.0   1   1    0.0003      0.54   10.8   0.9    15    37    19    41    15   190 0.72 ABC transporter
Dynamin_N            PF00350.23   168 Avas.s025.g159.i1    -            283       1.2    9.2   5.1   1   1    0.0089        16    5.5   5.1     3    24    20    41    18   254 0.89 Dynamin family
AIG1                 PF04548.16   212 Avas.s022.g359.i1    -            526   7.5e-16   58.1   4.1   1   2   1.9e-14   1.7e-10   40.6   0.2     3   170    18   215    16   225 0.76 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g359.i1    -            526   7.5e-16   58.1   4.1   2   2   1.9e-07    0.0017   17.7   0.6    80   206   300   426   282   434 0.68 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g359.i1    -            526   7.6e-05   22.8   0.0   1   1   2.2e-08    0.0002   21.4   0.0     3    57    19    96    17   160 0.63 50S ribosome-binding GTPase
AIG1                 PF04548.16   212 Avas.s022.g361.i1    -            525   1.6e-15   57.0   5.5   1   2   1.8e-14   1.6e-10   40.6   0.5     3   169    17   213    15   224 0.77 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g361.i1    -            525   1.6e-15   57.0   5.5   2   2     2e-07    0.0018   17.7   0.5    77   206   296   425   279   432 0.70 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g361.i1    -            525     4e-05   23.7   0.0   1   1   1.1e-08    0.0001   22.4   0.0     3    58    18    90    16   183 0.68 50S ribosome-binding GTPase
PIN_5                PF08745.11   206 Avas.s022.g379.i1    -            244     0.065   12.7   0.1   1   1   5.5e-06     0.098   12.1   0.1    19    68   103   152    88   175 0.79 PINc domain ribonuclease
AIG1                 PF04548.16   212 Avas.s022.g418.i1    -            525   4.7e-15   55.5   5.8   1   2   7.9e-15   3.5e-11   42.8   1.6     3   178    17   221    15   230 0.82 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g418.i1    -            525   4.7e-15   55.5   5.8   2   2   8.2e-06     0.037   13.4   0.1   106   200   331   418   279   432 0.74 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g418.i1    -            525   3.4e-07   30.3   0.0   1   2   1.5e-09   6.9e-06   26.1   0.0     3    66    18   101    16   175 0.67 50S ribosome-binding GTPase
MMR_HSR1             PF01926.23   114 Avas.s022.g418.i1    -            525   3.4e-07   30.3   0.0   2   2      0.07   3.1e+02    1.4   0.0    37    87   356   407   351   446 0.55 50S ribosome-binding GTPase
Dynamin_N            PF00350.23   168 Avas.s022.g418.i1    -            525    0.0035   17.4   1.0   1   3   0.00012      0.55   10.3   0.1     3    25    19    41    17    61 0.85 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g418.i1    -            525    0.0035   17.4   1.0   2   3      0.01        47    4.0   0.0    96   120    73   100    52   141 0.72 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g418.i1    -            525    0.0035   17.4   1.0   3   3      0.43   1.9e+03   -1.3   0.1    58    86   178   210   135   231 0.52 Dynamin family
RsgA_GTPase          PF03193.16   167 Avas.s022.g418.i1    -            525     0.015   15.2   0.2   1   2   8.2e-05      0.37   10.7   0.0   100   132    15    47     4    53 0.86 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g418.i1    -            525     0.015   15.2   0.2   2   2     0.051   2.3e+02    1.6   0.1    20    75   118   180   113   209 0.64 RsgA GTPase
AIG1                 PF04548.16   212 Avas.s022.g352.i1    -            550   6.9e-17   61.5   2.5   1   2   7.1e-14   3.2e-10   39.7   0.1     3   180    46   252    44   270 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g352.i1    -            550   6.9e-17   61.5   2.5   2   2   4.3e-08   0.00019   20.8   0.4    66   200   310   447   286   463 0.71 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g352.i1    -            550   2.2e-05   24.5   0.0   1   2   7.2e-08   0.00032   20.7   0.0     3    91    47   158    45   187 0.62 50S ribosome-binding GTPase
MMR_HSR1             PF01926.23   114 Avas.s022.g352.i1    -            550   2.2e-05   24.5   0.0   2   2     0.093   4.1e+02    1.1   0.1    63   104   407   454   393   472 0.70 50S ribosome-binding GTPase
Dynamin_N            PF00350.23   168 Avas.s022.g352.i1    -            550     0.097   12.7   0.1   1   2   0.00043       1.9    8.5   0.1     3    22    48    67    46    77 0.85 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g352.i1    -            550     0.097   12.7   0.1   2   2      0.12   5.2e+02    0.6   0.0   101   120   107   138    89   176 0.71 Dynamin family
AlphaC_N             PF08829.10   106 Avas.s022.g352.i1    -            550      0.11   12.5   0.0   1   1   6.8e-05       0.3   11.1   0.0    14   100    80   169    75   175 0.89 Alpha C protein N terminal
AIG1                 PF04548.16   212 Avas.s075.g1.i1      -            521   4.9e-15   55.4   1.1   1   2   4.7e-11   1.2e-07   31.3   0.0     3   179    14   219    12   240 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s075.g1.i1      -            521   4.9e-15   55.4   1.1   2   2   3.6e-08   9.2e-05   21.9   0.2    73   198   288   413   268   428 0.75 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s075.g1.i1      -            521   5.9e-07   29.6   0.0   1   2   1.6e-09   4.2e-06   26.8   0.0     3    86    15   121    13   155 0.67 50S ribosome-binding GTPase
MMR_HSR1             PF01926.23   114 Avas.s075.g1.i1      -            521   5.9e-07   29.6   0.0   2   2      0.62   1.6e+03   -0.8   0.1    63    87   375   403   337   430 0.72 50S ribosome-binding GTPase
DUF87                PF01935.17   227 Avas.s075.g1.i1      -            521    0.0062   16.7   1.2   1   3   0.00026      0.66   10.0   0.0    19    45     7    33     5    35 0.90 Helicase HerA, central domain
DUF87                PF01935.17   227 Avas.s075.g1.i1      -            521    0.0062   16.7   1.2   2   3      0.17   4.5e+02    0.8   0.2    97   202   125   222   106   290 0.70 Helicase HerA, central domain
DUF87                PF01935.17   227 Avas.s075.g1.i1      -            521    0.0062   16.7   1.2   3   3     0.052   1.3e+02    2.5   0.0    98   152   336   409   333   453 0.62 Helicase HerA, central domain
RNA_pol_Rpb2_2       PF04561.14   190 Avas.s075.g1.i1      -            521     0.032   13.9   1.7   1   3     0.014        35    4.0   0.1    68   150   138   234   108   244 0.70 RNA polymerase Rpb2, domain 2
RNA_pol_Rpb2_2       PF04561.14   190 Avas.s075.g1.i1      -            521     0.032   13.9   1.7   2   3   0.00073       1.9    8.1   0.0    50    88   297   335   279   344 0.88 RNA polymerase Rpb2, domain 2
RNA_pol_Rpb2_2       PF04561.14   190 Avas.s075.g1.i1      -            521     0.032   13.9   1.7   3   3       1.2     3e+03   -2.3   0.0    72   108   358   394   353   419 0.71 RNA polymerase Rpb2, domain 2
RsgA_GTPase          PF03193.16   167 Avas.s075.g1.i1      -            521     0.049   13.5   0.1   1   3   0.00013      0.34   10.8   0.0   100   139    12    51     6    55 0.87 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s075.g1.i1      -            521     0.049   13.5   0.1   2   3         2   5.1e+03   -2.8   0.0    19    73   151   175   138   190 0.56 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s075.g1.i1      -            521     0.049   13.5   0.1   3   3       1.1   2.7e+03   -1.9   0.0    53    78   273   298   243   316 0.72 RsgA GTPase
PIN_5                PF08745.11   206 Avas.s075.g1.i1      -            521     0.062   12.7   0.8   1   2       2.2   5.6e+03   -3.5   0.0    15    65   175   224   170   229 0.66 PINc domain ribonuclease
PIN_5                PF08745.11   206 Avas.s075.g1.i1      -            521     0.062   12.7   0.8   2   2   3.7e-05     0.095   12.1   0.2    21    64   383   426   371   464 0.77 PINc domain ribonuclease
Dynamin_N            PF00350.23   168 Avas.s075.g1.i1      -            521     0.071   13.2   0.0   1   3   0.00016      0.42   10.7   0.0     2    22    15    35    14    43 0.83 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s075.g1.i1      -            521     0.071   13.2   0.0   2   3       2.8   7.1e+03   -3.1   0.0   102   114    76    88    65   120 0.70 Dynamin family
