s1	Aphrocallistes_vastus_HiC-scaffold_022	22	1744046	0.021714	73090747	0.909994	-
g	Avas.s022.g22.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16304.mRNA.1	JAKMXF010000133.1	71418457.0	23885729.5	1202.0
g	Avas.s022.g23.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16305.mRNA.1	JAKMXF010000133.1	71422549.0	23889554.5	595.0
g	Avas.s022.g24.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16307.mRNA.1	JAKMXF010000133.1	71443992.5	23906491.5	493.0
g	Avas.s022.g25.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16308.mRNA.1	JAKMXF010000133.1	71446363.0	23908743.5	1073.0
g	Avas.s022.g26.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71450413.5	0	0
g	Avas.s022.g27.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_106.mRNA.1	JAKMXF010000111.1	71452861.5	430304.0	101.0
g	Avas.s022.g28.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_1451.mRNA.1	JAKMXF010000155.1	71453911.0	25659036.0	582.0
g	Avas.s022.g29.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16310.mRNA.1	JAKMXF010000133.1	71455273.0	23915187.5	142.0
g	Avas.s022.g30.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16225.mRNA.1	JAKMXF010000133.1	71456592.5	23704881.5	280.0
g	Avas.s022.g31.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_10477.mRNA.1	JAKMXF010000038.1	71458150.0	57806299.0	197.0
g	Avas.s022.g32.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_8670.mRNA.1	JAKMXF010000340.1	71462513.0	50001043.0	313.0
g	Avas.s022.g33.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71465930.0	0	0
g	Avas.s022.g34.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16311.mRNA.1	JAKMXF010000133.1	71467273.5	23920549.5	109.0
g	Avas.s022.g35.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71469799.0	0	0
g	Avas.s022.g35.i2	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71470269.5	0	0
g	Avas.s022.g36.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71471861.5	0	0
g	Avas.s022.g37.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_6196.mRNA.1	JAKMXF010000314.1	71472660.0	41329562.0	93.2
g	Avas.s022.g38.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_13256.mRNA.1	JAKMXF010000365.1	71475259.5	13875922.5	603.0
g	Avas.s022.g39.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71478348.5	0	0
g	Avas.s022.g40.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_9098.mRNA.1	JAKMXF010000350.1	71487904.5	52483599.0	3502.0
g	Avas.s022.g41.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71498507.5	0	0
g	Avas.s022.g42.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_11749.mRNA.1	JAKMXF010000321.1	71501501.0	9957383.0	108.0
g	Avas.s022.g43.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71506422.5	0	0
g	Avas.s022.g44.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_5612.mRNA.1	JAKMXF010000308.1	71510611.5	39941665.0	294.0
g	Avas.s022.g45.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71512709.5	0	0
g	Avas.s022.g46.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_11750.mRNA.1	JAKMXF010000321.1	71516666.0	9959275.5	122.0
g	Avas.s022.g47.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71523401.5	0	0
g	Avas.s022.g48.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16287.mRNA.1	JAKMXF010000133.1	71532885.5	23836206.5	125.0
g	Avas.s022.g48.i2	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16287.mRNA.1	JAKMXF010000133.1	71533760.0	23836206.5	768.0
g	Avas.s022.g49.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71543123.5	0	0
g	Avas.s022.g50.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71546952.0	0	0
g	Avas.s022.g51.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_9820.mRNA.1	JAKMXF010000006.1	71550667.0	54700215.0	461.0
g	Avas.s022.g52.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_6565.mRNA.1	JAKMXF010000318.1	71553870.0	43740349.0	377.0
g	Avas.s022.g53.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_9098.mRNA.1	JAKMXF010000350.1	71562891.0	52483599.0	2303.0
g	Avas.s022.g54.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_9098.mRNA.1	JAKMXF010000350.1	71570670.5	52483599.0	1145.0
g	Avas.s022.g55.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_6565.mRNA.1	JAKMXF010000318.1	71575391.5	43740349.0	136.0
g	Avas.s022.g56.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_11749.mRNA.1	JAKMXF010000321.1	71578427.5	9957383.0	131.0
g	Avas.s022.g57.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16286.mRNA.1	JAKMXF010000133.1	71583567.0	23832401.0	676.0
g	Avas.s022.g58.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16225.mRNA.1	JAKMXF010000133.1	71585987.5	23704881.5	304.0
g	Avas.s022.g59.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_7738.mRNA.1	JAKMXF010000310.1	71589645.0	8631562.5	253.0
g	Avas.s022.g60.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_3039.mRNA.1	JAKMXF010000233.1	71592547.5	31281083.0	307.0
g	Avas.s022.g61.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16285.mRNA.1	JAKMXF010000133.1	71596719.5	23830661.0	385.0
g	Avas.s022.g62.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71598149.0	0	0
g	Avas.s022.g63.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71600606.5	0	0
g	Avas.s022.g64.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71603008.0	0	0
g	Avas.s022.g65.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71606572.5	0	0
g	Avas.s022.g66.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71608379.5	0	0
g	Avas.s022.g67.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16278.mRNA.1	JAKMXF010000133.1	71612371.0	23816113.0	250.0
g	Avas.s022.g68.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16277.mRNA.1	JAKMXF010000133.1	71613951.5	23814733.0	664.0
g	Avas.s022.g68.i2	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16277.mRNA.1	JAKMXF010000133.1	71613606.0	23814733.0	581.0
g	Avas.s022.g68.i3	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16277.mRNA.1	JAKMXF010000133.1	71614720.0	23814733.0	58.5
g	Avas.s022.g69.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71616875.5	0	0
g	Avas.s022.g70.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16225.mRNA.1	JAKMXF010000133.1	71620743.0	23704881.5	222.0
g	Avas.s022.g71.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_13814.mRNA.1	JAKMXF010000022.1	71624034.5	15740787.0	281.0
g	Avas.s022.g72.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16276.mRNA.1	JAKMXF010000133.1	71625712.5	23811710.5	1021.0
g	Avas.s022.g73.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16275.mRNA.1	JAKMXF010000133.1	71627674.0	23809779.5	489.0
g	Avas.s022.g74.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16274.mRNA.1	JAKMXF010000133.1	71629878.0	23808527.5	577.0
g	Avas.s022.g75.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16273.mRNA.1	JAKMXF010000133.1	71626509.5	23807454.0	149.0
g	Avas.s022.g76.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16270.mRNA.1	JAKMXF010000133.1	71633905.5	23803711.5	187.0
g	Avas.s022.g77.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16271.mRNA.1	JAKMXF010000133.1	71634959.5	23805302.0	450.0
g	Avas.s022.g78.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16269.mRNA.1	JAKMXF010000133.1	71637873.5	23802726.5	201.0
g	Avas.s022.g79.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16268.mRNA.1	JAKMXF010000133.1	71639591.5	23801139.0	588.0
g	Avas.s022.g80.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16267.mRNA.1	JAKMXF010000133.1	71641286.5	23799196.0	333.0
g	Avas.s022.g80.i2	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16267.mRNA.1	JAKMXF010000133.1	71639374.0	23799196.0	333.0
g	Avas.s022.g81.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16266.mRNA.1	JAKMXF010000133.1	71643006.5	23797956.0	98.2
g	Avas.s022.g82.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_7732.mRNA.1	JAKMXF010000310.1	71643967.0	8613702.5	130.0
g	Avas.s022.g83.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16225.mRNA.1	JAKMXF010000133.1	71646562.0	23704881.5	316.0
g	Avas.s022.g84.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_514.mRNA.1	JAKMXF010000111.1	71652567.5	1512951.0	408.0
g	Avas.s022.g85.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_6002.mRNA.1	JAKMXF010000312.1	71657879.0	42102963.5	106.0
g	Avas.s022.g86.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16295.mRNA.1	JAKMXF010000133.1	71663790.5	23850936.0	907.0
g	Avas.s022.g87.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71664554.5	0	0
g	Avas.s022.g88.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_8256.mRNA.1	JAKMXF010000333.1	71666382.0	47946635.5	215.0
g	Avas.s022.g89.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16265.mRNA.1	JAKMXF010000133.1	71667867.0	23796484.5	451.0
g	Avas.s022.g90.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16264.mRNA.1	JAKMXF010000133.1	71669568.5	23794800.0	396.0
g	Avas.s022.g91.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16263.mRNA.1	JAKMXF010000133.1	71671504.5	23793262.5	274.0
g	Avas.s022.g92.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16261.mRNA.1	JAKMXF010000133.1	71672762.5	23789643.5	340.0
g	Avas.s022.g93.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16259.mRNA.1	JAKMXF010000133.1	71673985.0	23787900.0	316.0
g	Avas.s022.g94.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_14127.mRNA.1	JAKMXF010000033.1	71675332.5	17635056.0	165.0
g	Avas.s022.g95.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_14280.mRNA.1	JAKMXF010000044.1	71677029.0	18275467.0	87.4
g	Avas.s022.g96.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_9633.mRNA.1	JAKMXF010000001.1	71677806.5	54489295.5	122.0
g	Avas.s022.g97.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71679122.0	0	0
g	Avas.s022.g98.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71679623.5	0	0
g	Avas.s022.g99.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16258.mRNA.1	JAKMXF010000133.1	71680541.0	23786504.5	405.0
g	Avas.s022.g100.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16257.mRNA.1	JAKMXF010000133.1	71682166.0	23783555.0	750.0
g	Avas.s022.g101.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_4279.mRNA.1	JAKMXF010000297.1	71684842.0	35758111.0	502.0
g	Avas.s022.g102.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_4279.mRNA.1	JAKMXF010000297.1	71690981.5	35758111.0	428.0
g	Avas.s022.g103.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16256.mRNA.1	JAKMXF010000133.1	71695044.5	23780620.5	634.0
g	Avas.s022.g104.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16255.mRNA.1	JAKMXF010000133.1	71696840.5	23778830.5	186.0
g	Avas.s022.g105.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16254.mRNA.1	JAKMXF010000133.1	71698749.5	23776573.5	485.0
g	Avas.s022.g106.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71701490.5	23765490.0	391.0
g	Avas.s022.g107.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16249.mRNA.1	JAKMXF010000133.1	71702706.5	23762871.0	124.0
g	Avas.s022.g108.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71707229.5	23765490.0	559.0
g	Avas.s022.g108.i2	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71704081.5	0	0
g	Avas.s022.g109.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71712839.5	23770679.5	542.0
g	Avas.s022.g110.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71723382.5	23765490.0	249.0
g	Avas.s022.g111.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71727822.5	0	0
g	Avas.s022.g112.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71729188.5	23770679.5	580.0
g	Avas.s022.g113.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71734834.5	23770679.5	628.0
g	Avas.s022.g114.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71738724.5	23765490.0	605.0
g	Avas.s022.g115.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71742045.0	23765490.0	427.0
g	Avas.s022.g116.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16298.mRNA.1	JAKMXF010000133.1	71744906.0	23862986.0	408.0
g	Avas.s022.g117.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16255.mRNA.1	JAKMXF010000133.1	71747050.5	23778830.5	186.0
g	Avas.s022.g118.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16256.mRNA.1	JAKMXF010000133.1	71748329.0	23780620.5	450.0
g	Avas.s022.g119.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71752355.0	23765490.0	181.0
g	Avas.s022.g120.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71756122.5	23765490.0	392.0
g	Avas.s022.g121.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71760111.0	23765490.0	426.0
g	Avas.s022.g122.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71763991.5	23770679.5	546.0
g	Avas.s022.g122.i2	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71764762.0	23770679.5	546.0
g	Avas.s022.g123.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_7815.mRNA.1	JAKMXF010000310.1	71771261.0	8871929.0	835.0
g	Avas.s022.g124.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16249.mRNA.1	JAKMXF010000133.1	71776252.5	23762871.0	261.0
g	Avas.s022.g125.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16248.mRNA.1	JAKMXF010000133.1	71779464.0	23761551.5	381.0
g	Avas.s022.g126.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71783475.5	23765490.0	651.0
g	Avas.s022.g127.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71787331.0	23770679.5	534.0
g	Avas.s022.g128.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71794469.0	23770679.5	143.0
g	Avas.s022.g129.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71798068.0	23770679.5	625.0
g	Avas.s022.g130.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_15894.mRNA.1	JAKMXF010000122.1	71801181.0	22591656.5	134.0
g	Avas.s022.g131.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_15966.mRNA.1	JAKMXF010000122.1	71802116.0	23032075.5	38.5
g	Avas.s022.g132.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71802632.5	0	0
g	Avas.s022.g133.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71808211.0	0	0
g	Avas.s022.g134.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71817748.0	23770679.5	641.0
g	Avas.s022.g135.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16252.mRNA.1	JAKMXF010000133.1	71821853.5	23770679.5	127.0
g	Avas.s022.g136.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71827380.5	23765490.0	592.0
g	Avas.s022.g137.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71831712.5	23765490.0	289.0
g	Avas.s022.g138.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16250.mRNA.1	JAKMXF010000133.1	71835125.5	23765490.0	91.7
g	Avas.s022.g139.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71837479.0	0	0
g	Avas.s022.g140.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71838389.5	0	0
g	Avas.s022.g141.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_14345.mRNA.1	JAKMXF010000044.1	71839558.5	18488374.5	42.0
g	Avas.s022.g142.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71840915.0	0	0
g	Avas.s022.g143.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16240.mRNA.1	JAKMXF010000133.1	71843037.5	23751021.0	508.0
g	Avas.s022.g144.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16238.mRNA.1	JAKMXF010000133.1	71847193.0	23747074.0	790.0
g	Avas.s022.g145.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16236.mRNA.1	JAKMXF010000133.1	71849634.0	23744345.5	428.0
g	Avas.s022.g146.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16235.mRNA.1	JAKMXF010000133.1	71852498.0	23741465.0	895.0
g	Avas.s022.g147.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16234.mRNA.1	JAKMXF010000133.1	71854733.0	23739013.0	92.8
g	Avas.s022.g148.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71856433.5	0	0
g	Avas.s022.g149.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_13256.mRNA.1	JAKMXF010000365.1	71859886.5	13875922.5	697.0
g	Avas.s022.g150.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16231.mRNA.1	JAKMXF010000133.1	71867153.5	23723033.0	407.0
g	Avas.s022.g151.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16232.mRNA.1	JAKMXF010000133.1	71863933.5	23729841.5	823.0
g	Avas.s022.g152.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16230.mRNA.1	JAKMXF010000133.1	71884112.0	23715817.5	586.0
g	Avas.s022.g153.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16229.mRNA.1	JAKMXF010000133.1	71887762.5	23711289.5	388.0
g	Avas.s022.g154.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16228.mRNA.1	JAKMXF010000133.1	71893184.5	23708933.0	184.0
g	Avas.s022.g155.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71894050.0	0	0
g	Avas.s022.g156.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16227.mRNA.1	JAKMXF010000133.1	71894993.5	23707509.0	181.0
g	Avas.s022.g157.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71896551.5	0	0
g	Avas.s022.g158.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16222.mRNA.1	JAKMXF010000133.1	71898182.0	23699201.0	585.0
g	Avas.s022.g159.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16220.mRNA.1	JAKMXF010000133.1	71902981.0	23695789.0	377.0
g	Avas.s022.g160.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16221.mRNA.1	JAKMXF010000133.1	71901540.0	23695652.0	134.0
g	Avas.s022.g161.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71902660.5	0	0
g	Avas.s022.g162.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16219.mRNA.1	JAKMXF010000133.1	71907871.0	23692435.0	223.0
g	Avas.s022.g163.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_10406.mRNA.1	JAKMXF010000034.1	71913471.5	57413249.5	204.0
g	Avas.s022.g164.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16218.mRNA.1	JAKMXF010000133.1	71916730.5	23690387.5	592.0
g	Avas.s022.g165.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16217.mRNA.1	JAKMXF010000133.1	71921643.0	23688130.5	659.0
g	Avas.s022.g165.i2	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16217.mRNA.1	JAKMXF010000133.1	71920330.0	23688130.5	561.0
g	Avas.s022.g166.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16216.mRNA.1	JAKMXF010000133.1	71924897.0	23685098.0	694.0
g	Avas.s022.g167.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71928593.0	0	0
g	Avas.s022.g168.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16215.mRNA.1	JAKMXF010000133.1	71930815.0	23682235.0	1017.0
g	Avas.s022.g169.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16214.mRNA.1	JAKMXF010000133.1	71933240.0	23680379.0	160.0
g	Avas.s022.g170.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16213.mRNA.1	JAKMXF010000133.1	71935642.5	23677364.5	1085.0
g	Avas.s022.g171.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16212.mRNA.1	JAKMXF010000133.1	71938403.0	23675237.5	419.0
g	Avas.s022.g172.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16211.mRNA.1	JAKMXF010000133.1	71943401.0	23670072.5	538.0
g	Avas.s022.g173.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16210.mRNA.1	JAKMXF010000133.1	71945124.0	23668218.0	575.0
g	Avas.s022.g174.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16209.mRNA.1	JAKMXF010000133.1	71949862.5	23663586.0	1218.0
g	Avas.s022.g175.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16204.mRNA.1	JAKMXF010000133.1	71958591.5	23653351.0	695.0
