# Getting manual annotations from -m
# Reading GFF file manually_edited_genes_revised.gff
# File contained:
#exon	1397
#CDS	1181
#mRNA	270
#gene	224
#rRNA	22
#transcript	3
# Collected exons for 295 transcripts
# Getting main gene annotation from -g
# Reading GFF file BRAKER2_ONT-RNA.revised.sort.gff3
ERROR: identical bounds of subfeature exon within brakerONT.m1-g9644.t1, 4408681 4409142 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17788.t1, 1540257 1540634 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18474.t1, 3464234 3465331 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18536.t1, 3623132 3623524 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g5909.t1, 784198 784677 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g5910.t1, 785407 785871 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g6169.t1, 1587341 1588102 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g6331.t1, 2248442 2248837 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g6396.t1, 2517541 2517804 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g6644.t1, 3648242 3650692 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g15521.t1, 271023 271844 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g15523.t1, 286095 286724 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g16246.t1, 3617741 3619186 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g3525.t1, 373471 374625 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g3581.t1, 516330 516851 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g3584.t1, 523362 523853 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12855.t1, 123756 125081 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12858.t1, 158221 158502 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12859.t1, 197235 197504 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12876.t1, 268999 269384 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12876.t1, 271059 271851 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12880.t1, 309165 309860 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g13079.t1, 1394475 1394831 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g13120.t1, 1537242 1538078 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g13196.t1, 1850764 1852041 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g13455.t1, 2795726 2796076 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g13459.t1, 2833224 2833985 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g13491.t1, 2924696 2925022 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2756.t1, 992023 992340 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2766.t1, 1042420 1042665 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2767.t1, 1043256 1043468 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2774.t1, 1072290 1072505 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2774.t1, 1072576 1072665 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2833.t1, 1381580 1381774 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2833.t2, 1381762 1382445 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2833.t1, 1381831 1382337 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2979.t1, 2122279 2123784 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g3167.t1, 2843629 2844444 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g3168.t1, 2845265 2846623 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g3172.t1, 2880223 2880497 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g3172.t1, 2880571 2880655 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g3173.t1, 2880810 2881715 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g14829.t1, 306866 307684 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g14970.t1, 906929 907068 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g14970.t1, 907221 907386 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g14978.t1, 948875 949152 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g14978.t1, 949368 949593 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g14987.t1, 1045488 1045910 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g14995.t1, 1091129 1091398 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g14996.t1, 1091851 1092201 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g15042.t1, 1357695 1358012 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g15073.t1, 1663917 1664234 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g15074.t1, 1664845 1665297 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18881.t1, 256548 257750 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18881.t2, 256548 258584 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18932.t1, 567735 568076 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18933.t1, 568101 568538 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18939.t1, 614436 615017 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18947.t1, 643880 644188 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18950.t1, 655306 655704 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18966.t1, 751582 751918 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18966.t1, 752135 752850 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g18971.t1, 819743 820138 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19066.t1, 1412080 1412163 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19066.t1, 1419751 1420083 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19068.t1, 1447415 1447723 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19087.t1, 1554007 1554336 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19089.t1, 1578407 1578410 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19089.t1, 1578555 1578787 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19123.t1, 1820386 1820607 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19124.t1, 1820646 1821026 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19192.t1, 2373376 2373664 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19192.t1, 2373724 2373899 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19192.t1, 2373970 2374333 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19192.t1, 2374401 2374576 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19234.t1, 2637341 2637414 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19234.t1, 2637474 2637759 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g19285.t1, 3080589 3081032 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g7064.t1, 1706158 1706830 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g7064.t1, 1707015 1707340 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1823.t1, 145482 146069 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2124.t1, 1120877 1121195 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2124.t1, 1122334 1122479 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2130.t1, 1160858 1161051 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2130.t1, 1161162 1161375 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2131.t1, 1164876 1165133 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2132.t1, 1175289 1175346 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2132.t1, 1175451 1175632 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2196.t1, 1659060 1659410 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g2472.t1, 2723706 2724686 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g16949.t1, 622995 623675 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17373.t1, 2484436 2485030 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17373.t1, 2485408 2486009 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17398.t1, 2571025 2571585 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g5100.t1, 27197 27532 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g5226.t1, 427922 428464 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g5350.t1, 923788 924921 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g5383.t1, 1041901 1042593 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g5438.t1, 1231776 1233884 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g60.t1, 225938 227053 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g61.t1, 233169 234407 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g292.t1, 1478003 1478248 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g292.t1, 1478401 1478652 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1279.t1, 352598 352996 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1417.t1, 988900 989328 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1418.t1, 989558 989687 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1418.t1, 989782 990119 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1458.t1, 1182451 1182951 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1459.t1, 1183655 1184008 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1500.t1, 1494444 1494782 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1501.t1, 1505051 1505392 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1502.t1, 1505946 1506320 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1503.t1, 1508317 1508664 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g4670.t1, 702373 702687 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g4754.t1, 1044282 1044581 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g4871.t1, 1450672 1452255 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g13697.t1, 114321 114800 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g13789.t1, 414799 415287 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g925.t1, 996380 997024 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1065.t1, 1473772 1474203 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g467.t1, 388668 388760 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g467.t1, 388841 389083 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g476.t1, 473148 473882 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g479.t1, 489797 490183 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g483.t1, 514478 514954 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1632.t1, 48189 48407 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1649.t1, 154877 155359 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1650.t1, 161459 161800 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1678.t1, 380817 381047 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1680.t1, 381888 382142 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1697.t1, 461640 462620 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1714.t1, 592285 593247 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1716.t1, 601315 601598 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g1716.t1, 601672 601969 , check GFF
# File contained:
#exon	53762
#CDS	53592
#intron	33079
#mRNA	20513
#gene	19317
# Collected exons for 20513 transcripts
# 170 errors detected
# Getting alternate annotation from -a
# Reading GFF file BRAKER2_ref_proteins_aln.gff3
# File contained:
#exon	41596
#CDS	40762
#five_prime_cis_splice_site	25225
#three_prime_cis_splice_site	25225
#mRNA	16371
#gene	13966
# Collected exons for 16371 transcripts
# Reading GFF file BRAKER2_PE-RNA.gff3
ERROR: identical bounds of subfeature exon within m1-g10988.t1, 1527755 1532215 , check GFF
ERROR: identical bounds of subfeature exon within m1-g7604.t1, 4408681 4409142 , check GFF
ERROR: identical bounds of subfeature exon within m1-g248.t1, 1381580 1381774 , check GFF
ERROR: identical bounds of subfeature exon within m1-g248.t1, 1381831 1382445 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10991.t1, 1540257 1540634 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2078.t1, 989558 989672 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2078.t1, 989782 990119 , check GFF
ERROR: identical bounds of subfeature exon within m1-g1917.t1, 261029 261685 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5773.t1, 388668 388760 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5773.t1, 388841 389083 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8540.t1, 7768721 7769350 , check GFF
ERROR: identical bounds of subfeature exon within m1-g15596.t1, 1092507 1093016 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9843.t1, 1714336 1714926 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9848.t1, 1749302 1749817 , check GFF
ERROR: identical bounds of subfeature exon within m1-g17630.t1, 3648242 3650692 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13064.t1, 1706158 1706830 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13064.t1, 1707015 1707340 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10032.t1, 2505452 2506735 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2118.t1, 1308271 1308339 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2118.t1, 1308459 1308723 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2118.t1, 1308786 1309693 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9849.t1, 1754528 1754842 , check GFF
ERROR: identical bounds of subfeature exon within m1-g12328.t1, 427922 428464 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10025.t1, 2478051 2479337 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2504.t1, 373471 374625 , check GFF
ERROR: identical bounds of subfeature exon within m1-g12479.t1, 1041901 1042593 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11733.t1, 3623132 3623524 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4494.t1, 1820386 1820565 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4494.t1, 1820637 1821026 , check GFF
ERROR: identical bounds of subfeature exon within m1-g16892.t1, 784198 784677 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4319.t1, 656233 656496 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10990.t1, 1538711 1539145 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9468.t1, 145482 146069 , check GFF
ERROR: identical bounds of subfeature exon within m1-g15253.t1, 114321 114800 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4663.t1, 3059510 3059628 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4663.t1, 3059712 3059874 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14718.t1, 368615 368935 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2184.t1, 1649284 1650066 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4269.t1, 388761 389255 , check GFF
ERROR: identical bounds of subfeature exon within m1-g3932.t1, 996380 997024 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9770.t1, 1164876 1165133 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13857.t1, 158221 158556 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4458.t1, 1554007 1554336 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4856.t1, 460689 461027 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8958.t1, 1091851 1092201 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5104.t1, 1315057 1316193 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5985.t1, 408124 408624 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8412.t1, 7081544 7082272 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2151.t1, 1505946 1506320 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13859.t1, 197235 197504 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18489.t1, 2728573 2729469 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5784.t1, 473148 473882 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5793.t1, 514478 514954 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10114.t1, 2723706 2724686 , check GFF
ERROR: identical bounds of subfeature exon within m1-g15885.t1, 286095 286724 , check GFF
ERROR: identical bounds of subfeature exon within m1-g173.t1, 991489 991581 , check GFF
ERROR: identical bounds of subfeature exon within m1-g173.t1, 992056 992340 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9840.t1, 1659060 1659410 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9842.t1, 1713484 1713840 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9769.t1, 1160858 1161051 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9769.t1, 1161162 1161375 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4265.t1, 372001 373617 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9040.t1, 1730293 1730692 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9040.t1, 1730878 1731104 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14869.t1, 1044282 1044581 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13005.t1, 1403025 1403468 , check GFF
ERROR: identical bounds of subfeature exon within m1-g16346.t1, 2055277 2055615 , check GFF
ERROR: identical bounds of subfeature exon within m1-g16345.t1, 2050971 2051855 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4837.t1, 381799 382176 , check GFF
ERROR: identical bounds of subfeature exon within m1-g159.t1, 884191 884712 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5673.t1, 4016268 4016434 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5673.t1, 4018976 4019037 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5673.t1, 4019355 4019647 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9037.t1, 1664495 1664574 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9037.t1, 1664793 1665297 , check GFF
ERROR: identical bounds of subfeature exon within m1-g12533.t1, 1231776 1233884 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4483.t1, 1749501 1749800 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18865.t1, 225938 227053 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13600.t1, 308486 309379 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6439.t1, 2484436 2485158 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6439.t2, 2484436 2484990 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6439.t2, 2485428 2486009 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5576.t1, 3600902 3601306 , check GFF
ERROR: identical bounds of subfeature exon within m1-g17641.t1, 3686590 3687717 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2152.t1, 1508317 1508664 , check GFF
ERROR: identical bounds of subfeature exon within m1-g12319.t1, 391204 391560 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18497.t1, 2828550 2828981 , check GFF
ERROR: identical bounds of subfeature exon within m1-g17152.t1, 1587341 1588102 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4570.t1, 2373376 2373664 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4570.t1, 2373724 2373899 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4570.t1, 2373970 2374333 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4570.t1, 2374401 2374576 , check GFF
ERROR: identical bounds of subfeature exon within m1-g580.t1, 2845265 2846623 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8265.t1, 6585268 6586629 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2116.t1, 1300696 1300980 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4886.t1, 557938 558789 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2112.t1, 1182451 1182853 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2112.t1, 1183255 1183461 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2112.t1, 1183650 1184008 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8164.t1, 6262816 6263874 , check GFF
ERROR: identical bounds of subfeature exon within m1-g585.t1, 2880810 2881715 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11913.t1, 87925 88308 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5964.t1, 251532 251906 , check GFF
ERROR: identical bounds of subfeature exon within m1-g1941.t1, 352598 352996 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10917.t1, 1379103 1379819 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11923.t1, 161459 161800 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5786.t1, 489291 489674 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13858.t1, 189027 189413 , check GFF
ERROR: identical bounds of subfeature exon within m1-g17349.t1, 2446502 2447791 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8339.t1, 6816411 6816824 , check GFF
ERROR: identical bounds of subfeature exon within m1-g15341.t1, 414799 415287 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5980.t1, 358746 359246 , check GFF
ERROR: identical bounds of subfeature exon within m1-g894.t1, 381642 382739 , check GFF
ERROR: identical bounds of subfeature exon within m1-g17312.t1, 2248442 2248837 , check GFF
ERROR: identical bounds of subfeature exon within m1-g189.t1, 1072290 1072505 , check GFF
ERROR: identical bounds of subfeature exon within m1-g189.t1, 1072576 1072665 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5168.t1, 1620770 1621222 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8790.t1, 306866 307684 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11977.t1, 592285 593247 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5788.t1, 490913 491227 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4263.t1, 352280 352690 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14478.t1, 2924696 2925022 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13877.t1, 309165 309860 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18449.t1, 2443800 2444048 , check GFF
